Source Name	Characteristics [age]	Unit[time unit]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Parameter Value [growth humidity]	Parameter Value [growth temperature]	Unit [temperature unit]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Parameter Value [Percentile]	Parameter Value [Outlier low]	Parameter Value [Outlier high]	Parameter Value [Cell margin]	Protocol REF	Parameter Value [scanner]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Comment [Derived ArrayExpress FTP file]	Factor Value [time]	Unit[time unit]	Factor Value [organism part]	Term Source REF	Term Accession Number	Factor Value [ecotype]
CS1092_186	21	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.12 Boyes key	  	  	shoot	P-TABM-42	40%	20	degree celsius	Col-0_sedlGM-213	P-TABM-51	Col-0_sedlGM-213	total_RNA	P-TABM-52	Col-0_sedlGM-213 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_100_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_100_C	ATGE_100_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21	day	shoot	EFO	EFO_0000992	Columbia-0
CLV3-7_4	21+	day	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 12 flower	  	  	flower	P-TABM-42	65%	23	degree celsius	clv3-7_flow121	P-TABM-51	clv3-7_flow121	total_RNA	P-TABM-52	clv3-7_flow121 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_53_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_53_A	ATGE_53_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower	  	  	CLV3-7
CS1092_46	17	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.12 Boyes key	  	  	rosette leaf	P-TABM-42	65%	23	degree celsius	Col-0_roset121	P-TABM-51	Col-0_roset121	total_RNA	P-TABM-52	Col-0_roset121 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_17_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_17_A	ATGE_17_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	17	day	rosette leaf	EFO	EFO_0001984	Columbia-0
CS1092_112	21+	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 15 flower	  	  	flower	P-TABM-42	65%	23	degree celsius	Col-0_flow15_petal1	P-TABM-51	Col-0_flow15_petal1	total_RNA	P-TABM-52	Col-0_flow15_petal1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_42_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_42_B	ATGE_42_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower	  	  	Columbia-0
AP3-6_6	21+	day	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 12 flower	  	  	flower	P-TABM-42	65%	23	degree celsius	ap3-6_flow123	P-TABM-51	ap3-6_flow123	total_RNA	P-TABM-52	ap3-6_flow123 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_57_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_57_C	ATGE_57_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower	  	  	AP3-6
CS1092_141	8	week	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	curled cotyledon stage	  	  	seed	P-TABM-42	50-60%	23	degree celsius	Col-0_seed83	P-TABM-51	Col-0_seed83	total_RNA	P-TABM-52	Col-0_seed83 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_82_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_82_C	ATGE_82_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	56	day	seed	  	  	Columbia-0
CS1092_45	17	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.12 Boyes key	  	  	rosette leaf	P-TABM-42	65%	23	degree celsius	Col-0_roset103	P-TABM-51	Col-0_roset103	total_RNA	P-TABM-52	Col-0_roset103 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_16_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_16_C	ATGE_16_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	17	day	rosette leaf	EFO	EFO_0001984	Columbia-0
CS1092_182	21	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.12 Boyes key	  	  	root	P-TABM-42	40%	20	degree celsius	Col-0_root_GM5-212	P-TABM-51	Col-0_root_GM5-212	total_RNA	P-TABM-52	Col-0_root_GM5-212 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_99_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_99_B	ATGE_99_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21	day	root	EFO	EFO_0000989	Columbia-0
SALK_014999_4	21+	day	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 12 flower	  	  	flower	P-TABM-42	65%	23	degree celsius	ag-12_flow121	P-TABM-51	ag-12_flow121	total_RNA	P-TABM-52	ag-12_flow121 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_58_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_58_A	ATGE_58_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower	  	  	SALK_014999
CS1092_22	14	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 1 flower	  	  	inflorescence + shoot apex	P-TABM-42	65%	23	degree celsius	Col-0_shoot_trans1	P-TABM-51	Col-0_shoot_trans1	total_RNA	P-TABM-52	Col-0_shoot_trans1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_8_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_8_A	ATGE_8_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	14	day	inflorescence + shoot apex	  	  	Columbia-0
CS1092_8	7	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	root	P-TABM-42	65%	23	degree celsius	Col-0_root72	P-TABM-51	Col-0_root72	total_RNA	P-TABM-52	Col-0_root72 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_3_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_3_B	ATGE_3_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	7	day	root	EFO	EFO_0000989	Columbia-0
CS1092_29	10	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	early rosette growth	  	  	rosette leaf	P-TABM-42	65%	23	degree celsius	Col-0_roset4_1l2	P-TABM-51	Col-0_roset4_1l2	total_RNA	P-TABM-52	Col-0_roset4_1l2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_10_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_10_B	ATGE_10_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	10	day	rosette leaf	EFO	EFO_0001984	Columbia-0
CS1092_129	8	week	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	heart stage	  	  	silique	P-TABM-42	50-60%	23	degree celsius	Col-0_sil43	P-TABM-51	Col-0_sil43	total_RNA	P-TABM-52	Col-0_sil43 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_77_F	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_77_F	ATGE_77_F.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	56	day	silique	  	  	Columbia-0
CS1092_134	8	week	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	torpedo stage	  	  	seed	P-TABM-42	50-60%	23	degree celsius	Col-0_seed62	P-TABM-51	Col-0_seed62	total_RNA	P-TABM-52	Col-0_seed62 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_79_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_79_B	ATGE_79_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	56	day	seed	  	  	Columbia-0
CS1092_178	21	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.12 Boyes key	  	  	root	P-TABM-42	40%	20	degree celsius	Col-0_root_GM-211	P-TABM-51	Col-0_root_GM-211	total_RNA	P-TABM-52	Col-0_root_GM-211 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_98_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_98_A	ATGE_98_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21	day	root	EFO	EFO_0000989	Columbia-0
SALK_014999_2	21+	day	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 1 flower	  	  	flower + shoot apex	P-TABM-42	65%	23	degree celsius	ag-12_inflor2	P-TABM-51	ag-12_inflor2	total_RNA	P-TABM-52	ag-12_inflor2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_51_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_51_B	ATGE_51_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower + shoot apex	  	  	SALK_014999
CS1092_179	21	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.12 Boyes key	  	  	root	P-TABM-42	40%	20	degree celsius	Col-0_root_GM-212	P-TABM-51	Col-0_root_GM-212	total_RNA	P-TABM-52	Col-0_root_GM-212 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_98_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_98_B	ATGE_98_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21	day	root	EFO	EFO_0000989	Columbia-0
CS1092_14	7	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	rosette leaf	P-TABM-42	65%	23	degree celsius	Col-0_leaf_1-22	P-TABM-51	Col-0_leaf_1-22	total_RNA	P-TABM-52	Col-0_leaf_1-22 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_5_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_5_B	ATGE_5_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	7	day	rosette leaf	EFO	EFO_0001984	Columbia-0
CS1092_43	17	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.12 Boyes key	  	  	rosette leaf	P-TABM-42	65%	23	degree celsius	Col-0_roset101	P-TABM-51	Col-0_roset101	total_RNA	P-TABM-52	Col-0_roset101 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_16_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_16_A	ATGE_16_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	17	day	rosette leaf	EFO	EFO_0001984	Columbia-0
CS1092_52	17	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.12 Boyes key	  	  	rosette leaf	P-TABM-42	65%	23	degree celsius	Col-0_lf7_prox1	P-TABM-51	Col-0_lf7_prox1	total_RNA	P-TABM-52	Col-0_lf7_prox1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_20_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_20_A	ATGE_20_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	17	day	rosette leaf	EFO	EFO_0001984	Columbia-0
CS1092_162	4	week	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 12 flower	  	  	flower	P-TABM-42	50%	20	degree celsius	Col-0_flower3	P-TABM-51	Col-0_flower3	total_RNA	P-TABM-52	Col-0_flower3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_92_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_92_C	ATGE_92_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	28	day	flower	  	  	Columbia-0
CS1092_12	7	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	leaf + shoot apex	P-TABM-42	65%	23	degree celsius	Col-0_veg_leaf3	P-TABM-51	Col-0_veg_leaf3	total_RNA	P-TABM-52	Col-0_veg_leaf3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_4_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_4_C	ATGE_4_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	7	day	leaf + shoot apex	  	  	Columbia-0
