Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [growth media]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ecotype]	FactorValue [genotype]	FactorValue [organism part]
GSM1466707 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving BLJ biological replicate 3	Seedling roots, 5 days after germination	: C24	SHR UAS driving BLJ	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466707 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466707 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466707	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466707_At_J0571_shr_2_BLJ_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466707_sample_table.txt norm	GSM1466707_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving BLJ	ground tissue
GSM1466706 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving BLJ biological replicate 2	Seedling roots, 5 days after germination	: C24	SHR UAS driving BLJ	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466706 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466706 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466706	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466706_At_J0571_shr_2_BLJ_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466706_sample_table.txt norm	GSM1466706_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving BLJ	ground tissue
GSM1466705 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving BLJ biological replicate 1	Seedling roots, 5 days after germination	: C24	SHR UAS driving BLJ	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466705 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466705 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466705	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466705_At_J0571_shr_2_BLJ_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466705_sample_table.txt norm	GSM1466705_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving BLJ	ground tissue
GSM1466704 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR biological replicate 2_3	Seedling roots, 5 days after germination	: C24	SHR	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466704 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466704 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466704	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466704_At_J0571_shr_2_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466704_sample_table.txt norm	GSM1466704_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR	ground tissue
GSM1466703 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR biological replicate 2_2	Seedling roots, 5 days after germination	: C24	SHR	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466703 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466703 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466703	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466703_At_J0571_shr_2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466703_sample_table.txt norm	GSM1466703_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR	ground tissue
GSM1466702 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR biological replicate 2_1	Seedling roots, 5 days after germination	: C24	SHR	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466702 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466702 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466702	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466702_At_J0571_shr_2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466702_sample_table.txt norm	GSM1466702_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR	ground tissue
GSM1466701 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker WT biological replicate 2_3	Seedling roots, 5 days after germination	: C24	WT	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466701 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466701 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466701	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466701_At_J0571_2_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466701_sample_table.txt norm	GSM1466701_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	WT	ground tissue
GSM1466700 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker WT biological replicate 2_2	Seedling roots, 5 days after germination	: C24	WT	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466700 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466700 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466700	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466700_At_J0571_2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466700_sample_table.txt norm	GSM1466700_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	WT	ground tissue
GSM1466699 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker WT biological replicate 2_1	Seedling roots, 5 days after germination	: C24	WT	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466699 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466699 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466699	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466699_At_J0571_2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466699_sample_table.txt norm	GSM1466699_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	WT	ground tissue
GSM1466698 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy two-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR biological replicate 3	Seedling roots, 5 days after germination	: C24	SHR	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466698 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466698 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466698	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466698_At_J0571_shr_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466698_sample_table.txt norm	GSM1466698_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR	ground tissue
GSM1466697 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy two-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR biological replicate 2	Seedling roots, 5 days after germination	: C24	SHR	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466697 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466697 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466697	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466697_At_J0571_shr_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466697_sample_table.txt norm	GSM1466697_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR	ground tissue
GSM1466696 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy two-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR biological replicate 1	Seedling roots, 5 days after germination	: C24	SHR	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466696 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466696 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466696	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466696_At_J0571_shr_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466696_sample_table.txt norm	GSM1466696_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR	ground tissue
GSM1466695 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy two-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker WT biological replicate 3	Seedling roots, 5 days after germination	: C24	WT	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466695 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466695 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466695	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466695_At_J0571_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466695_sample_table.txt norm	GSM1466695_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	WT	ground tissue
GSM1466694 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy two-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker WT biological replicate 2	Seedling roots, 5 days after germination	: C24	WT	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466694 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466694 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466694	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466694_At_J0571_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466694_sample_table.txt norm	GSM1466694_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	WT	ground tissue
GSM1466693 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy two-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker WT biological replicate 1	Seedling roots, 5 days after germination	: C24	WT	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466693 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466693 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466693	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466693_At_J0571_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466693_sample_table.txt norm	GSM1466693_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	WT	ground tissue
