Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Characteristics [organism part]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [genotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]	FactorValue [dose]	Unit [concentration unit]
GSM1009039 1	gene expression data from rao2 arabidopsis 14-day-old seedlings treated with 20 mM H2O2 for 3h	leaf tissue H2O2 treated 3h	rao2_EMS_mutant_14-day-seedling-leaf_H2O2_treated_3h_rep2	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rao2_EMS_mutant	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009039 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009039 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009039	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009039_rao2-1_H2O2_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009039_sample_table.txt norm	GSM1009039_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	rao2_EMS_mutant	hydrogen peroxide	20	millimolar
GSM1009038 1	gene expression data from rao2 arabidopsis 14-day-old seedlings treated with 20 mM H2O2 for 3h	leaf tissue H2O2 treated 3h	rao2_EMS_mutant_14-day-seedling-leaf_H2O2_treated_3h_rep1	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rao2_EMS_mutant	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009038 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009038 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009038	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009038_rao2-1_H2O2_1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009038_sample_table.txt norm	GSM1009038_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	rao2_EMS_mutant	hydrogen peroxide	20	millimolar
GSM1009037 1	gene expression data from rao2 arabidopsis 14-day-old seedlings treated with 50 uM Antimycin A for 3h	leaf tissue AntimycinA treated 3h	rao2_EMS_mutant_14-day-seedling-leaf_AntimycinA_treated_3h_rep3	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rao2_EMS_mutant	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009037 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009037 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009037	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009037_rao2-1_AA_3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009037_sample_table.txt norm	GSM1009037_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	rao2_EMS_mutant	antimycin A	50	micromolar
GSM1009036 1	gene expression data from rao2 arabidopsis 14-day-old seedlings treated with 50 uM Antimycin A for 3h	leaf tissue AntimycinA treated 3h	rao2_EMS_mutant_14-day-seedling-leaf_AntimycinA_treated_3h_rep2	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rao2_EMS_mutant	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009036 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009036 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009036	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009036_rao2-1_AA_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009036_sample_table.txt norm	GSM1009036_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	rao2_EMS_mutant	antimycin A	50	micromolar
GSM1009035 1	gene expression data from rao2 arabidopsis 14-day-old seedlings treated with 50 uM Antimycin A for 3h	leaf tissue AntimycinA treated 3h	rao2_EMS_mutant_14-day-seedling-leaf_AntimycinA_treated_3h_rep1	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	rao2_EMS_mutant	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009035 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009035 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009035	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009035_rao2-1_AA_1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009035_sample_table.txt norm	GSM1009035_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	rao2_EMS_mutant	antimycin A	50	micromolar
GSM1009034 1	gene expression data from wild-type Col:LUC arabidopsis 14-day-old seedlings treated with water control for 3h	leaf tissue water treated 3h	Wild-type_14-day-seedling-leaf_water_treated_3h_rep3	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009034 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009034 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009034	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009034_Col_luc_water_3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009034_sample_table.txt norm	GSM1009034_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	wild type	water	  	        
GSM1009033 1	gene expression data from wild-type Col:LUC arabidopsis 14-day-old seedlings treated with water control for 3h	leaf tissue water treated 3h	Wild-type_14-day-seedling-leaf_water_treated_3h_rep2	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009033 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009033 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009033	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009033_Col_luc_water_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009033_sample_table.txt norm	GSM1009033_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	wild type	water	  	        
GSM1009032 1	gene expression data from wild-type Col:LUC arabidopsis 14-day-old seedlings treated with water control for 3h	leaf tissue water treated 3h	Wild-type_14-day-seedling-leaf_water_treated_3h_rep1	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009032 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009032 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009032	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009032_Col_luc_water_1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009032_sample_table.txt norm	GSM1009032_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	wild type	water	  	        
GSM1009031 1	gene expression data from wild-type Col:LUC arabidopsis 14-day-old seedlings treated with 20 mM H2O2 for 3h	leaf tissue H2O2 treated 3h	Wild-type_14-day-seedling-leaf_H2O2_treated_3h_rep3	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009031 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009031 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009031	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009031_Col_luc_H2O2_3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009031_sample_table.txt norm	GSM1009031_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	wild type	hydrogen peroxide	20	millimolar
GSM1009030 1	gene expression data from wild-type Col:LUC arabidopsis 14-day-old seedlings treated with 20 mM H2O2 for 3h	leaf tissue H2O2 treated 3h	Wild-type_14-day-seedling-leaf_H2O2_treated_3h_rep2	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009030 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009030 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009030	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009030_Col_luc_H2O2_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009030_sample_table.txt norm	GSM1009030_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	wild type	hydrogen peroxide	20	millimolar
GSM1009029 1	gene expression data from wild-type Col:LUC arabidopsis 14-day-old seedlings treated with 20 mM H2O2 for 3h	leaf tissue H2O2 treated 3h	Wild-type_14-day-seedling-leaf_H2O2_treated_3h_rep1	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009029 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009029 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009029	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009029_Col_luc_H2O2_1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009029_sample_table.txt norm	GSM1009029_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	wild type	hydrogen peroxide	20	millimolar
GSM1009028 1	gene expression data from wild-type Col:LUC arabidopsis 14-day-old seedlings treated with 50 uM Antimycin A for 3h	leaf tissue AntimycinA treated 3h	Wild-type_14-day-seedling-leaf_AntimycinA_treated_3h_rep3	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009028 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009028 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009028	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009028_Col_luc_AA_3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009028_sample_table.txt norm	GSM1009028_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	wild type	antimycin A	50	micromolar
GSM1009027 1	gene expression data from wild-type Col:LUC arabidopsis 14-day-old seedlings treated with 50 uM Antimycin A for 3h	leaf tissue AntimycinA treated 3h	Wild-type_14-day-seedling-leaf_AntimycinA_treated_3h_rep2	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009027 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009027 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009027	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009027_Col_luc_AA_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009027_sample_table.txt norm	GSM1009027_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	wild type	antimycin A	50	micromolar
GSM1009026 1	gene expression data from wild-type Col:LUC arabidopsis 14-day-old seedlings treated with 50 uM Antimycin A for 3h	leaf tissue AntimycinA treated 3h	Wild-type_14-day-seedling-leaf_AntimycinA_treated_3h_rep1	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009026 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009026 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009026	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009026_Col_luc_AA_1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009026_sample_table.txt norm	GSM1009026_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	wild type	antimycin A	50	micromolar
