Source Name	Material Type	Characteristics[organism]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [organism part]	FactorValue[compound]	Factor Value [dose]	Unit[concentration unit]
GSM486909 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 mutant	guard cells	Gene expression data from agb1 mutant guard cells treated with ABA (50 μM) for 3 hrs	agb1 mutant guard cells, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486909 extract 1	total RNA	P-GSE19520-5	GSM486909 LE 1	biotin	P-GSE19520-6	GSM486909	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486909.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486909_sample_table.txt norm	GSM486909_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 mutant	guard cells	abscisic acid	50	micromolar
GSM486908 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 mutant	guard cells	Gene expression data from agb1 mutant guard cells treated with ABA (50 μM) for 3 hrs	agb1 mutant guard cells, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486908 extract 1	total RNA	P-GSE19520-5	GSM486908 LE 1	biotin	P-GSE19520-6	GSM486908	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486908.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486908_sample_table.txt norm	GSM486908_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 mutant	guard cells	abscisic acid	50	micromolar
GSM486907 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 mutant	guard cells	Gene expression data from agb1 mutant guard cells treated with ABA (50 μM) for 3 hrs	agb1 mutant guard cells, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486907 extract 1	total RNA	P-GSE19520-5	GSM486907 LE 1	biotin	P-GSE19520-6	GSM486907	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486907.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486907_sample_table.txt norm	GSM486907_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 mutant	guard cells	abscisic acid	50	micromolar
GSM486906 1	organism part	Arabidopsis thaliana	Col-0	wild type genotype	guard cells	Gene expression data from wild type (Col) guard cells treated with ABA (50 μM) for 3 hrs	Columbia wild-type guard cells, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486906 extract 1	total RNA	P-GSE19520-5	GSM486906 LE 1	biotin	P-GSE19520-6	GSM486906	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486906.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486906_sample_table.txt norm	GSM486906_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	wild type genotype	guard cells	abscisic acid	50	micromolar
GSM486905 1	organism part	Arabidopsis thaliana	Col-0	wild type genotype	guard cells	Gene expression data from wild type (Col) guard cells treated with ABA (50 μM) for 3 hrs	Columbia wild-type guard cells, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486905 extract 1	total RNA	P-GSE19520-5	GSM486905 LE 1	biotin	P-GSE19520-6	GSM486905	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486905_sample_table.txt norm	GSM486905_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	wild type genotype	guard cells	abscisic acid	50	micromolar
GSM486904 1	organism part	Arabidopsis thaliana	Col-0	wild type genotype	guard cells	Gene expression data from wild type (Col) guard cells treated with ABA (50 μM) for 3 hrs	Columbia wild-type guard cells, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486904 extract 1	total RNA	P-GSE19520-5	GSM486904 LE 1	biotin	P-GSE19520-6	GSM486904	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486904.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486904_sample_table.txt norm	GSM486904_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	wild type genotype	guard cells	abscisic acid	50	micromolar
GSM486903 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 gpa1-4 double mutant	guard cells	Gene expression data from agb1 gpa1 mutant guard cells treated with EtOH (solvent control) for 3 hrs	agb1 gpa1 mutant guard cells, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486903 extract 1	total RNA	P-GSE19520-5	GSM486903 LE 1	biotin	P-GSE19520-6	GSM486903	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486903.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486903_sample_table.txt norm	GSM486903_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 gpa1-4 double mutant	guard cells	control (ethanol vehicle)	  	        
GSM486902 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 gpa1-4 double mutant	guard cells	Gene expression data from agb1 gpa1 mutant guard cells treated with EtOH (solvent control) for 3 hrs	agb1 gpa1 mutant guard cells, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486902 extract 1	total RNA	P-GSE19520-5	GSM486902 LE 1	biotin	P-GSE19520-6	GSM486902	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486902.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486902_sample_table.txt norm	GSM486902_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 gpa1-4 double mutant	guard cells	control (ethanol vehicle)	  	        
GSM486901 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 gpa1-4 double mutant	guard cells	Gene expression data from agb1 gpa1 mutant guard cells treated with EtOH (solvent control) for 3 hrs	agb1 gpa1 mutant guard cells, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486901 extract 1	total RNA	P-GSE19520-5	GSM486901 LE 1	biotin	P-GSE19520-6	GSM486901	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486901.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486901_sample_table.txt norm	GSM486901_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 gpa1-4 double mutant	guard cells	control (ethanol vehicle)	  	        
GSM486900 1	organism part	Arabidopsis thaliana	Col-0	gpa1-4 mutant	guard cells	Gene expression data from gpa1 mutant guard cells treated with EtOH (solvent control) for 3 hrs	gpa1 mutant guard cells, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486900 extract 1	total RNA	P-GSE19520-5	GSM486900 LE 1	biotin	P-GSE19520-6	GSM486900	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486900.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486900_sample_table.txt norm	GSM486900_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	gpa1-4 mutant	guard cells	control (ethanol vehicle)	  	        
GSM486899 1	organism part	Arabidopsis thaliana	Col-0	gpa1-4 mutant	guard cells	Gene expression data from gpa1 mutant guard cells treated with EtOH (solvent control) for 3 hrs	gpa1 mutant guard cells, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486899 extract 1	total RNA	P-GSE19520-5	GSM486899 LE 1	biotin	P-GSE19520-6	GSM486899	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486899.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486899_sample_table.txt norm	GSM486899_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	gpa1-4 mutant	guard cells	control (ethanol vehicle)	  	        
GSM486898 1	organism part	Arabidopsis thaliana	Col-0	gpa1-4 mutant	guard cells	Gene expression data from gpa1 mutant guard cells treated with EtOH (solvent control) for 3 hrs	gpa1 mutant guard cells, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486898 extract 1	total RNA	P-GSE19520-5	GSM486898 LE 1	biotin	P-GSE19520-6	GSM486898	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486898.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486898_sample_table.txt norm	GSM486898_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	gpa1-4 mutant	guard cells	control (ethanol vehicle)	  	        
GSM486897 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 mutant	guard cells	Gene expression data from agb1 mutant guard cells treated with EtOH (solvent control) for 3 hrs	agb1 mutant guard cells, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486897 extract 1	total RNA	P-GSE19520-5	GSM486897 LE 1	biotin	P-GSE19520-6	GSM486897	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486897.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486897_sample_table.txt norm	GSM486897_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 mutant	guard cells	control (ethanol vehicle)	  	        
GSM486896 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 mutant	guard cells	Gene expression data from agb1 mutant guard cells treated with EtOH (solvent control) for 3 hrs	agb1 mutant guard cells, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486896 extract 1	total RNA	P-GSE19520-5	GSM486896 LE 1	biotin	P-GSE19520-6	GSM486896	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486896.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486896_sample_table.txt norm	GSM486896_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 mutant	guard cells	control (ethanol vehicle)	  	        
GSM486895 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 mutant	guard cells	Gene expression data from agb1 mutant guard cells treated with EtOH (solvent control) for 3 hrs	agb1 mutant guard cells, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486895 extract 1	total RNA	P-GSE19520-5	GSM486895 LE 1	biotin	P-GSE19520-6	GSM486895	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486895.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486895_sample_table.txt norm	GSM486895_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 mutant	guard cells	control (ethanol vehicle)	  	        
GSM486894 1	organism part	Arabidopsis thaliana	Col-0	wild type genotype	guard cells	Gene expression data from wild type (Col) guard cells treated with EtOH (solvent control) for 3 hrs	Columbia wild-type guard cells, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486894 extract 1	total RNA	P-GSE19520-5	GSM486894 LE 1	biotin	P-GSE19520-6	GSM486894	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486894.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486894_sample_table.txt norm	GSM486894_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	wild type genotype	guard cells	control (ethanol vehicle)	  	        
GSM486893 1	organism part	Arabidopsis thaliana	Col-0	wild type genotype	guard cells	Gene expression data from wild type (Col) guard cells treated with EtOH (solvent control) for 3 hrs	Columbia wild-type guard cells, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486893 extract 1	total RNA	P-GSE19520-5	GSM486893 LE 1	biotin	P-GSE19520-6	GSM486893	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486893.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486893_sample_table.txt norm	GSM486893_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	wild type genotype	guard cells	control (ethanol vehicle)	  	        
GSM486892 1	organism part	Arabidopsis thaliana	Col-0	wild type genotype	guard cells	Gene expression data from wild type (Col) guard cells treated with EtOH (solvent control) for 3 hrs	Columbia wild-type guard cells, no treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486892 extract 1	total RNA	P-GSE19520-5	GSM486892 LE 1	biotin	P-GSE19520-6	GSM486892	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486892.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486892_sample_table.txt norm	GSM486892_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	wild type genotype	guard cells	control (ethanol vehicle)	  	        
