Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype background]	Characteristics [genotype]	Characteristics [harvested at]	Characteristics [molecule subtype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [harvested at]	FactorValue [molecule subtype]
GSM1516728 1	12am_S_1	CCA1-ox_12am_small polysomal	CCA1-ox, 12am, small polysomal, replicate 1	10 days	Columbia	CCA1-ox	12am	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516728 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516728 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516728	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516728_14CCA_SP_12AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516728_sample_table.txt norm	GSM1516728_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12am	Small polysomal RNA
GSM1516727 1	12am_N_1	CCA1-ox_12am_non-polysomal	CCA1-ox, 12am, non-polysomal, replicate 1	10 days	Columbia	CCA1-ox	12am	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516727 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516727 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516727	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516727_13CCA_NP_12AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516727_sample_table.txt norm	GSM1516727_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12am	Non-polysomal RNA
GSM1516726 1	6pm_L_1	CCA1-ox_6pm_large polysomal	CCA1-ox, 6pm, large polysomal, replicate 1	10 days	Columbia	CCA1-ox	6pm	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516726 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516726 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516726	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516726_11CCA_LP_6PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516726_sample_table.txt norm	GSM1516726_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6pm	Large polysomal RNA
GSM1516725 1	6pm_S_1	CCA1-ox_6pm_small polysomal	CCA1-ox, 6pm, small polysomal, replicate 1	10 days	Columbia	CCA1-ox	6pm	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516725 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516725 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516725	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516725_10CCA_SP_6PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516725_sample_table.txt norm	GSM1516725_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6pm	Small polysomal RNA
GSM1516724 1	6pm_N_1	CCA1-ox_6pm_non-polysomal	CCA1-ox, 6pm, non-polysomal, replicate 1	10 days	Columbia	CCA1-ox	6pm	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516724 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516724 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516724	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516724_09CCA_NP_6PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516724_sample_table.txt norm	GSM1516724_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6pm	Non-polysomal RNA
GSM1516723 1	12pm_L_1	CCA1-ox_12pm_large polysomal	CCA1-ox, 12pm, large polysomal, replicate 1	10 days	Columbia	CCA1-ox	12pm	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516723 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516723 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516723	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516723_07CCA_LP_12PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516723_sample_table.txt norm	GSM1516723_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12pm	Large polysomal RNA
GSM1516722 1	12pm_S_1	CCA1-ox_12pm_small polysomal	CCA1-ox, 12pm, small polysomal, replicate 1	10 days	Columbia	CCA1-ox	12pm	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516722 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516722 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516722	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516722_06CCA_SP_12PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516722_sample_table.txt norm	GSM1516722_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12pm	Small polysomal RNA
GSM1516721 1	12pm_N_1	CCA1-ox_12pm_non-polysomal	CCA1-ox, 12pm, non-polysomal, replicate 1	10 days	Columbia	CCA1-ox	12pm	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516721 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516721 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516721	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516721_05CCA_NP_12PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516721_sample_table.txt norm	GSM1516721_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12pm	Non-polysomal RNA
GSM1516720 1	6am_L_1	CCA1-ox_6am_large polysomal	CCA1-ox, 6am, large polysomal, replicate 1	10 days	Columbia	CCA1-ox	6am	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516720 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516720 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516720	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516720_03CCA_LP_6AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516720_sample_table.txt norm	GSM1516720_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6am	Large polysomal RNA
GSM1516719 1	6am_S_1	CCA1-ox_6am_small polysomal	CCA1-ox, 6am, small polysomal, replicate 1	10 days	Columbia	CCA1-ox	6am	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516719 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516719 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516719	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516719_02CCA_SP_6AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516719_sample_table.txt norm	GSM1516719_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6am	Small polysomal RNA
GSM1516718 1	6am_N_1	CCA1-ox_6am_non-polysomal	CCA1-ox, 6am, non-polysomal, replicate 1	10 days	Columbia	CCA1-ox	6am	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516718 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516718 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516718	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516718_01CCA_NP_6AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516718_sample_table.txt norm	GSM1516718_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6am	Non-polysomal RNA
