Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[cell type]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[cell type]
GSE7641GSM184891	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	epidermal and lateral root cap cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated epidermal and lateral root cap cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WER::GFP; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184891 sample	P-G7641-4	GSE7641GSM184891 extract	total_RNA	P-G7641-3	GSE7641GSM184891 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, epidermis and lateral root cap, standard conditions, replicate 3"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, epidermis and lateral root cap, standard conditions, replicate 3"	GSM184891.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	epidermal and lateral root cap cells
GSE7641GSM184890	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	epidermal and lateral root cap cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated epidermal and lateral root cap cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WER::GFP; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184890 sample	P-G7641-4	GSE7641GSM184890 extract	total_RNA	P-G7641-3	GSE7641GSM184890 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, epidermis and lateral root cap, standard conditions, replicate 2"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, epidermis and lateral root cap, standard conditions, replicate 2"	GSM184890.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	epidermal and lateral root cap cells
GSE7641GSM184889	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	epidermal and lateral root cap cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated epidermal and lateral root cap cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WER::GFP; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184889 sample	P-G7641-4	GSE7641GSM184889 extract	total_RNA	P-G7641-3	GSE7641GSM184889 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, epidermis and lateral root cap, standard conditions, replicate 1"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, epidermis and lateral root cap, standard conditions, replicate 1"	GSM184889.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	epidermal and lateral root cap cells
GSE7641GSM184923	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	protophloem cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated protophloem cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: S32; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184923 sample	P-G7641-4	GSE7641GSM184923 extract	total_RNA	P-G7641-3	GSE7641GSM184923 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, protophloem, 140 mM NaCl, replicate 2"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, protophloem, 140 mM NaCl, replicate 2"	GSM184923.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	protophloem cells
GSE7641GSM184924	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	protophloem cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated protophloem cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: S32; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184924 sample	P-G7641-4	GSE7641GSM184924 extract	total_RNA	P-G7641-3	GSE7641GSM184924 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, protophloem, 140 mM NaCl, replicate 3"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, protophloem, 140 mM NaCl, replicate 3"	GSM184924.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	protophloem cells
GSE7641GSM184922	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	protophloem cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated protophloem cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: S32; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184922 sample	P-G7641-4	GSE7641GSM184922 extract	total_RNA	P-G7641-3	GSE7641GSM184922 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, protophloem, 140 mM NaCl, replicate 1"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, protophloem, 140 mM NaCl, replicate 1"	GSM184922.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	protophloem cells
GSE7641GSM184905	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	protophloem cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated protophloem cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: S32; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184905 sample	P-G7641-4	GSE7641GSM184905 extract	total_RNA	P-G7641-3	GSE7641GSM184905 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, protophloem, standard conditions, replicate 2"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, protophloem, standard conditions, replicate 2"	GSM184905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	protophloem cells
GSE7641GSM184906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	protophloem cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated protophloem cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: S32; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184906 sample	P-G7641-4	GSE7641GSM184906 extract	total_RNA	P-G7641-3	GSE7641GSM184906 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, protophloem, standard conditions, replicate 3"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, protophloem, standard conditions, replicate 3"	GSM184906.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	protophloem cells
GSE7641GSM184904	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	protophloem cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated protophloem cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: S32; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184904 sample	P-G7641-4	GSE7641GSM184904 extract	total_RNA	P-G7641-3	GSE7641GSM184904 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, protophloem, standard conditions, replicate 1"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, protophloem, standard conditions, replicate 1"	GSM184904.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	protophloem cells
GSE7641GSM184920	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	stele cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated stele cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WOL::GFP; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184920 sample	P-G7641-4	GSE7641GSM184920 extract	total_RNA	P-G7641-3	GSE7641GSM184920 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, stele, 140 mM NaCls, replicate 2"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, stele, 140 mM NaCls, replicate 2"	GSM184920.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	stele cells
GSE7641GSM184921	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	stele cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated stele cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WOL::GFP; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184921 sample	P-G7641-4	GSE7641GSM184921 extract	total_RNA	P-G7641-3	GSE7641GSM184921 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, stele, 140 mM NaCls, replicate 3"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, stele, 140 mM NaCls, replicate 3"	GSM184921.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	stele cells
GSE7641GSM184919	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	stele cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated stele cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WOL::GFP; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184919 sample	P-G7641-4	GSE7641GSM184919 extract	total_RNA	P-G7641-3	GSE7641GSM184919 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, stele, 140 mM NaCls, replicate 1"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, stele, 140 mM NaCls, replicate 1"	GSM184919.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	stele cells
GSE7641GSM184901	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	stele cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated stele cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WOL::GFP; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184901 sample	P-G7641-4	GSE7641GSM184901 extract	total_RNA	P-G7641-3	GSE7641GSM184901 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, stele, standard conditions, replicate 1"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, stele, standard conditions, replicate 1"	GSM184901.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	stele cells
GSE7641GSM184903	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	stele cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated stele cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WOL::GFP; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184903 sample	P-G7641-4	GSE7641GSM184903 extract	total_RNA	P-G7641-3	GSE7641GSM184903 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, stele, standard conditions, replicate 3"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, stele, standard conditions, replicate 3"	GSM184903.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	stele cells
GSE7641GSM184902	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	stele cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated stele cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WOL::GFP; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184902 sample	P-G7641-4	GSE7641GSM184902 extract	total_RNA	P-G7641-3	GSE7641GSM184902 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, stele, standard conditions, replicate 2"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, stele, standard conditions, replicate 2"	GSM184902.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	stele cells
