Source Name	Characteristics [SampleType]	Characteristics [Ecotype]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceProvider]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [OrganismPart]	Term Source REF	Term Accession Number	Factor Value [Ecotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]
BioSource:ATGE_13_A	fresh_sample	Columbia-0	rosette leaf # 4	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_13_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_13_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_13_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	rosette leaf # 4	  	  	Columbia-0	ATGE_13_A	E-AFMX-9-raw-data-365450383.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.3.zip
BioSource:ATGE_76_A	fresh_sample	Columbia-0	siliques, w/  seeds stage 3	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_76_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_76_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_76_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	mature pollen	  	  	Columbia-0	ATGE_76_A	E-AFMX-9-raw-data-365455633.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.3.zip
BioSource:ATGE_11_B	fresh_sample	gl1T	rosette leaf #4, 1cm long	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_11_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_11_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_11_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	rosette leaf #4, 1cm long	  	  	gl1T	ATGE_11_B	E-AFMX-9-raw-data-365450208.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.3.zip
BioSource:ATGE_21_C	fresh_sample	Columbia-0	leaf 7, distal half	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_21_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_21_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_21_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	leaf 7, proximal half	  	  	Columbia-0	ATGE_21_C	E-AFMX-9-raw-data-365451293.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.3.zip
BioSource:ATGE_52_C	fresh_sample	ufo-1	shoot apex, inflorescence (after bolting)	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_52_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_52_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_52_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	shoot apex, inflorescence (after bolting)	  	  	ag-12	ATGE_52_C	E-AFMX-9-raw-data-365454548.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.3.zip
BioSource:ATGE_98_C	fresh_sample	Columbia-0	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_98_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_98_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_98_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	seedling - green parts	  	  	Columbia-0	ATGE_98_C	E-AFMX-9-raw-data-365457803.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.4.zip
BioSource:ATGE_32_A2	fresh_sample	Columbia-0	flowers stage 10/11	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_32_A2	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_32_A2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_32_A2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 9	  	  	Columbia-0	ATGE_32_A2	E-AFMX-9-raw-data-365452378.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.4.zip
BioSource:ATGE_89_B	fresh_sample	Columbia-0	veg rosette (for phase change)	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_89_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_89_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_89_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	veg rosette (for phase change)	  	  	Columbia-0	ATGE_89_B	E-AFMX-9-raw-data-365456718.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.4.zip
BioSource:ATGE_76_B	fresh_sample	Columbia-0	siliques, w/  seeds stage 3	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_76_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_76_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_76_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	mature pollen	  	  	Columbia-0	ATGE_76_B	E-AFMX-9-raw-data-365455668.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.4.zip
BioSource:ATGE_11_A	fresh_sample	gl1T	rosette leaf #4, 1cm long	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_11_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_11_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_11_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	rosette leaf #4, 1cm long	  	  	gl1T	ATGE_11_A	E-AFMX-9-raw-data-365450173.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.4.zip
BioSource:ATGE_42_C	fresh_sample	Columbia-0	flowers stage 15, petals	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_42_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_42_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_42_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 15, sepals	  	  	Columbia-0	ATGE_42_C	E-AFMX-9-raw-data-365453463.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.4.zip
BioSource:ATGE_21_B	fresh_sample	Columbia-0	leaf 7, distal half	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_21_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_21_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_21_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	leaf 7, proximal half	  	  	Columbia-0	ATGE_21_B	E-AFMX-9-raw-data-365451258.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.4.zip
BioSource:ATGE_53_A	fresh_sample	clv3-7	flower stage 12 equivalent; multi-carpel gyneoceum; enlarged meristem; increased organ number	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_53_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_53_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_53_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	shoot apex, inflorescence (after bolting)	  	  	ufo-1	ATGE_53_A	E-AFMX-9-raw-data-365454583.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.4.zip
BioSource:ATGE_99_A	fresh_sample	Columbia-0	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_99_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_99_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_99_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	root	EFO	EFO_0000989	Columbia-0	ATGE_99_A	E-AFMX-9-raw-data-365457838.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.4.zip
BioSource:ATGE_89_C	fresh_sample	Columbia-0	veg rosette (for phase change)	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_89_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_89_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_89_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	veg rosette (for phase change)	  	  	Columbia-0	ATGE_89_C	E-AFMX-9-raw-data-365456753.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.4.zip
BioSource:ATGE_12_A	fresh_sample	Columbia-0	rosette leaf # 2	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_12_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_12_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_12_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	rosette leaf # 2	  	  	Columbia-0	ATGE_12_A	E-AFMX-9-raw-data-365450278.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.4.zip
BioSource:ATGE_73_B	fresh_sample	Columbia-0	mature pollen	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_73_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_73_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_73_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	seedling - green parts	  	  	Columbia-0	ATGE_73_B	E-AFMX-9-raw-data-365455563.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.4.zip
BioSource:ATGE_42_B	fresh_sample	Columbia-0	flowers stage 15, petals	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_42_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_42_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_42_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 15, sepals	  	  	Columbia-0	ATGE_42_B	E-AFMX-9-raw-data-365453428.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.5.zip
BioSource:ATGE_98_A	fresh_sample	Columbia-0	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_98_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_98_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_98_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	seedling - green parts	  	  	Columbia-0	ATGE_98_A	E-AFMX-9-raw-data-365457733.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.5.zip
BioSource:ATGE_8_A	fresh_sample	Columbia-0	shoot apex, transition (before bolting)	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_8_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_8_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_8_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	veg rosette (for phase change)	  	  	Columbia-0	ATGE_8_A	E-AFMX-9-raw-data-365456788.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.5.zip
BioSource:ATGE_32_C2	fresh_sample	Columbia-0	flowers stage 10/11	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_32_C2	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_32_C2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_32_C2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 9	  	  	Columbia-0	ATGE_32_C2	E-AFMX-9-raw-data-365452448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.5.zip
BioSource:ATGE_41_C	fresh_sample	Columbia-0	flowers stage 15, sepals	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_41_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_41_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_41_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 15, pedicels	  	  	Columbia-0	ATGE_41_C	E-AFMX-9-raw-data-365453393.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.5.zip
BioSource:ATGE_73_C	fresh_sample	Columbia-0	mature pollen	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_73_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_73_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_73_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	seedling - green parts	  	  	Columbia-0	ATGE_73_C	E-AFMX-9-raw-data-365455598.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.5.zip
BioSource:ATGE_11_C	fresh_sample	gl1T	rosette leaf #4, 1cm long	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_11_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_11_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_11_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	rosette leaf #4, 1cm long	  	  	gl1T	ATGE_11_C	E-AFMX-9-raw-data-365450243.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.5.zip
BioSource:ATGE_8_B	fresh_sample	Columbia-0	shoot apex, transition (before bolting)	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_8_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_8_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_8_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	veg rosette (for phase change)	  	  	Columbia-0	ATGE_8_B	E-AFMX-9-raw-data-365456823.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.5.zip
BioSource:ATGE_98_B	fresh_sample	Columbia-0	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_98_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_98_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_98_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	seedling - green parts	  	  	Columbia-0	ATGE_98_B	E-AFMX-9-raw-data-365457768.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.5.zip
BioSource:ATGE_21_A	fresh_sample	Columbia-0	leaf 7, distal half	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_21_A	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_21_A	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_21_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	leaf 7, proximal half	  	  	Columbia-0	ATGE_21_A	E-AFMX-9-raw-data-365451223.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.5.zip
BioSource:ATGE_53_B	fresh_sample	clv3-7	flower stage 12 equivalent; multi-carpel gyneoceum; enlarged meristem; increased organ number	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_53_B	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_53_B	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_53_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	shoot apex, inflorescence (after bolting)	  	  	ufo-1	ATGE_53_B	E-AFMX-9-raw-data-365454618.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.5.zip
BioSource:ATGE_32_B2	fresh_sample	Columbia-0	flowers stage 10/11	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_32_B2	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_32_B2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_32_B2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 9	  	  	Columbia-0	ATGE_32_B2	E-AFMX-9-raw-data-365452413.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.5.zip
BioSource:ATGE_43_C	fresh_sample	Columbia-0	flowers stage 15, stamen	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_43_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_43_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_43_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	flowers stage 15, petals	  	  	Columbia-0	ATGE_43_C	E-AFMX-9-raw-data-365453603.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.6.zip
BioSource:ATGE_82_C	fresh_sample	Columbia-0	seeds, stage 8, w/o siliques	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ATGE_82_C	nucleic_acid	P-AFFY-2	LabeledExtract:ATGE_82_C	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-9:ATGE_82_C	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	seeds, stage 7, w/o siliques	  	  	Columbia-0	ATGE_82_C	E-AFMX-9-raw-data-365456333.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-9/E-AFMX-9.raw.6.zip
