Source Name	Comment [Sample_characteristics]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[antibody]	Characteristics[antibody manufacturer]	Characteristics[cell type]	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[longitudinal zone]	Characteristics[marker line]	Characteristics[media]	Characteristics[teatment]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [AGE]	FactorValue [CELL TYPE]	FactorValue [DEVELOPMENTAL STAGE]	FactorValue [GENOTYPE]	FactorValue [LONGITUDINAL ZONE]	FactorValue [MARKER LINE]	FactorValue [MEDIA]	FactorValue [TEATMENT]	FactorValue [TREATMENT]
GSM744818 1	  	Expression analysis of cortex cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the cortex	Arabidopsis root cells, cortex, sulfur deficient media, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	cortex	  	Columbia	  	  	pCOR::GFP	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744818 extract 1	total RNA	P-GSE30166-14	GSM744818 LE 1	biotin	P-GSE30166-15	GSM744818	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744818.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744818_sample_table.txt norm	GSM744818_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	cortex	not specified	not specified	not specified	pCOR::GFP	not specified	not specified	not specified
GSM744817 1	  	Expression analysis of epidermal and lateral root cap cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the epidermis and lateral root cap	Arabidopsis root cells, epidermis and lateral root cap, sulfur deficient media, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	epidermis and lateral root cap	  	Columbia	  	  	pWER::GFP	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744817 extract 1	total RNA	P-GSE30166-14	GSM744817 LE 1	biotin	P-GSE30166-15	GSM744817	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744817.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744817_sample_table.txt norm	GSM744817_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	epidermis and lateral root cap	not specified	not specified	not specified	pWER::GFP	not specified	not specified	not specified
GSM744816 1	  	Expression analysis of epidermal and lateral root cap cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the epidermis and lateral root cap	Arabidopsis root cells, epidermis and lateral root cap, sulfur deficient media, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	epidermis and lateral root cap	  	Columbia	  	  	pWER::GFP	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744816 extract 1	total RNA	P-GSE30166-14	GSM744816 LE 1	biotin	P-GSE30166-15	GSM744816	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744816.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744816_sample_table.txt norm	GSM744816_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	epidermis and lateral root cap	not specified	not specified	not specified	pWER::GFP	not specified	not specified	not specified
GSM744815 1	  	Expression analysis of epidermal and lateral root cap cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the epidermis and lateral root cap	Arabidopsis root cells, epidermis and lateral root cap, sulfur deficient media, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	epidermis and lateral root cap	  	Columbia	  	  	pWER::GFP	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744815 extract 1	total RNA	P-GSE30166-14	GSM744815 LE 1	biotin	P-GSE30166-15	GSM744815	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744815.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744815_sample_table.txt norm	GSM744815_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	epidermis and lateral root cap	not specified	not specified	not specified	pWER::GFP	not specified	not specified	not specified
GSM744814 1	  	Expression analysis of columella cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the columella root cap	Arabidopsis root cells, columella root cap, sulfur deficient media, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	columella root cap	  	Columbia	  	  	Pet111	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744814 extract 1	total RNA	P-GSE30166-14	GSM744814 LE 1	biotin	P-GSE30166-15	GSM744814	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744814.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744814_sample_table.txt norm	GSM744814_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	columella root cap	not specified	not specified	not specified	Pet111	not specified	not specified	not specified
GSM744813 1	  	Expression analysis of columella cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the columella root cap	Arabidopsis root cells, columella root cap, sulfur deficient media, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	columella root cap	  	Columbia	  	  	Pet111	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744813 extract 1	total RNA	P-GSE30166-14	GSM744813 LE 1	biotin	P-GSE30166-15	GSM744813	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744813.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744813_sample_table.txt norm	GSM744813_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	columella root cap	not specified	not specified	not specified	Pet111	not specified	not specified	not specified
GSM744812 1	  	Expression analysis of columella cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the columella root cap	Arabidopsis root cells, columella root cap, sulfur deficient media, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	columella root cap	  	Columbia	  	  	Pet111	  	  	P-GSE30166-27	P-GSE30166-26	P-GSE30166-13	GSM744812 extract 1	total RNA	P-GSE30166-14	GSM744812 LE 1	biotin	P-GSE30166-15	GSM744812	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744812.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744812_sample_table.txt norm	GSM744812_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	columella root cap	not specified	not specified	not specified	Pet111	not specified	not specified	not specified
GSM744811 1	  	Expression analysis of roots transferred to sulfur deficient media for 72H	whole roots transferred to sulfur deficient media, 72H	Whole root - S_72H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole roots	Columbia	  	  	  	  	sulfur deficient media for 72 hr	P-GSE30166-25	P-GSE30166-24	P-GSE30166-19	GSM744811 extract 1	total RNA	P-GSE30166-23	GSM744811 LE 1	biotin	P-GSE30166-15	GSM744811	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744811_sample_table.txt norm	GSM744811_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole roots	not specified	not specified	not specified	not specified	sulfur deficient media for 72 hr	not specified
GSM744810 1	  	Expression analysis of roots transferred to sulfur deficient media for 72H	whole roots transferred to sulfur deficient media, 72H	Whole root - S_72H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole roots	Columbia	  	  	  	  	sulfur deficient media for 72 hr	P-GSE30166-25	P-GSE30166-24	P-GSE30166-19	GSM744810 extract 1	total RNA	P-GSE30166-23	GSM744810 LE 1	biotin	P-GSE30166-15	GSM744810	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744810.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744810_sample_table.txt norm	GSM744810_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole roots	not specified	not specified	not specified	not specified	sulfur deficient media for 72 hr	not specified
GSM744809 1	  	Expression analysis of roots transferred to sulfur deficient media for 48H	whole roots transferred to sulfur deficient media, 48H	Whole root - S_48H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole roots	Columbia	  	  	  	  	sulfur deficient media for 48 hr	P-GSE30166-25	P-GSE30166-24	P-GSE30166-19	GSM744809 extract 1	total RNA	P-GSE30166-23	GSM744809 LE 1	biotin	P-GSE30166-15	GSM744809	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744809.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744809_sample_table.txt norm	GSM744809_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole roots	not specified	not specified	not specified	not specified	sulfur deficient media for 48 hr	not specified
GSM744808 1	  	Expression analysis of roots transferred to sulfur deficient media for 48H	whole roots transferred to sulfur deficient media, 48H	Whole root - S_48H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole roots	Columbia	  	  	  	  	sulfur deficient media for 48 hr	P-GSE30166-25	P-GSE30166-24	P-GSE30166-19	GSM744808 extract 1	total RNA	P-GSE30166-23	GSM744808 LE 1	biotin	P-GSE30166-15	GSM744808	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744808.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.2.zip	P-GSE30166-1	GSM744808_sample_table.txt norm	GSM744808_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole roots	not specified	not specified	not specified	not specified	sulfur deficient media for 48 hr	not specified
GSM744807 1	  	Expression analysis of roots transferred to sulfur deficient media for 24H	whole roots transferred to sulfur deficient media, 24H	Whole root - S_24H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole roots	Columbia	  	  	  	  	sulfur deficient media for 24 hr	P-GSE30166-25	P-GSE30166-24	P-GSE30166-19	GSM744807 extract 1	total RNA	P-GSE30166-23	GSM744807 LE 1	biotin	P-GSE30166-15	GSM744807	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744807.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744807_sample_table.txt norm	GSM744807_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole roots	not specified	not specified	not specified	not specified	sulfur deficient media for 24 hr	not specified
GSM744806 1	  	Expression analysis of roots transferred to sulfur deficient media for 24H	whole roots transferred to sulfur deficient media, 24H	Whole root - S_24H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole roots	Columbia	  	  	  	  	sulfur deficient media for 24 hr	P-GSE30166-25	P-GSE30166-24	P-GSE30166-19	GSM744806 extract 1	total RNA	P-GSE30166-23	GSM744806 LE 1	biotin	P-GSE30166-15	GSM744806	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744806.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744806_sample_table.txt norm	GSM744806_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole roots	not specified	not specified	not specified	not specified	sulfur deficient media for 24 hr	not specified
GSM744805 1	  	Expression analysis of roots transferred to sulfur deficient media for 12H	whole roots transferred to sulfur deficient media, 12H	Whole root - S_12H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole roots	Columbia	  	  	  	  	sulfur deficient media for 12 hr	P-GSE30166-25	P-GSE30166-24	P-GSE30166-19	GSM744805 extract 1	total RNA	P-GSE30166-23	GSM744805 LE 1	biotin	P-GSE30166-15	GSM744805	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744805.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744805_sample_table.txt norm	GSM744805_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole roots	not specified	not specified	not specified	not specified	sulfur deficient media for 12 hr	not specified
GSM744804 1	  	Expression analysis of roots transferred to sulfur deficient media for 12H	whole roots transferred to sulfur deficient media, 12H	Whole root - S_12H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole roots	Columbia	  	  	  	  	sulfur deficient media for 12 hr	P-GSE30166-25	P-GSE30166-24	P-GSE30166-19	GSM744804 extract 1	total RNA	P-GSE30166-23	GSM744804 LE 1	biotin	P-GSE30166-15	GSM744804	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744804.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744804_sample_table.txt norm	GSM744804_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole roots	not specified	not specified	not specified	not specified	sulfur deficient media for 12 hr	not specified
GSM744803 1	  	Expression analysis of roots transferred to sulfur deficient media for 3H	whole roots transferred to sulfur deficient media, 3H	Whole root - S_3H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole roots	Columbia	  	  	  	  	sulfur deficient media for 3 hr	P-GSE30166-25	P-GSE30166-24	P-GSE30166-19	GSM744803 extract 1	total RNA	P-GSE30166-23	GSM744803 LE 1	biotin	P-GSE30166-15	GSM744803	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744803.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744803_sample_table.txt norm	GSM744803_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole roots	not specified	not specified	not specified	not specified	sulfur deficient media for 3 hr	not specified
GSM744802 1	  	Expression analysis of roots transferred to sulfur deficient media for 3H	whole roots transferred to sulfur deficient media, 3H	Whole root - S_3H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole roots	Columbia	  	  	  	  	sulfur deficient media for 3 hr	P-GSE30166-25	P-GSE30166-24	P-GSE30166-19	GSM744802 extract 1	total RNA	P-GSE30166-23	GSM744802 LE 1	biotin	P-GSE30166-15	GSM744802	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744802.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744802_sample_table.txt norm	GSM744802_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole roots	not specified	not specified	not specified	not specified	sulfur deficient media for 3 hr	not specified
GSM744801 1	  	Expression analysis of roots transferred to fresh MS (i.e. 0H)	whole roots transferred to std media, 0H	Whole root - S_0H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole roots	Columbia	  	  	  	  	MS for 0 hr	P-GSE30166-25	P-GSE30166-24	P-GSE30166-19	GSM744801 extract 1	total RNA	P-GSE30166-23	GSM744801 LE 1	biotin	P-GSE30166-15	GSM744801	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744801.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744801_sample_table.txt norm	GSM744801_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole roots	not specified	not specified	not specified	not specified	MS for 0 hr	not specified
GSM744800 1	  	Expression analysis of roots transferred to fresh MS (i.e. 0H)	whole roots transferred to std media, 0H	Whole root - S_0H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole roots	Columbia	  	  	  	  	MS for 0 hr	P-GSE30166-25	P-GSE30166-24	P-GSE30166-19	GSM744800 extract 1	total RNA	P-GSE30166-23	GSM744800 LE 1	biotin	P-GSE30166-15	GSM744800	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744800.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744800_sample_table.txt norm	GSM744800_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole roots	not specified	not specified	not specified	not specified	MS for 0 hr	not specified
GSM744799 1	  	Expression profile of whole root exposed to pH 4.6 for 48H	whole roots transferred to low pH, 48H	Whole root - low pH 48H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole root	Columbia	  	  	  	  	  	P-GSE30166-22	P-GSE30166-21	P-GSE30166-19	GSM744799 extract 1	total RNA	P-GSE30166-23	GSM744799 LE 1	biotin	P-GSE30166-15	GSM744799	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744799.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744799_sample_table.txt norm	GSM744799_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole root	not specified	not specified	not specified	not specified	not specified	pH 4.6 for 48 hr
GSM744798 1	  	Expression profile of whole root exposed to pH 4.6 for 48H	whole roots transferred to low pH, 48H	Whole root - low pH 48H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole root	Columbia	  	  	  	  	  	P-GSE30166-22	P-GSE30166-21	P-GSE30166-19	GSM744798 extract 1	total RNA	P-GSE30166-23	GSM744798 LE 1	biotin	P-GSE30166-15	GSM744798	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744798.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744798_sample_table.txt norm	GSM744798_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole root	not specified	not specified	not specified	not specified	not specified	pH 4.6 for 48 hr
GSM744797 1	  	Expression profile of whole root exposed to pH 4.6 for 24H	whole roots transferred to low pH, 24H	Whole root - low pH_24H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole root	Columbia	  	  	  	  	  	P-GSE30166-22	P-GSE30166-21	P-GSE30166-19	GSM744797 extract 1	total RNA	P-GSE30166-23	GSM744797 LE 1	biotin	P-GSE30166-15	GSM744797	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744797.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744797_sample_table.txt norm	GSM744797_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole root	not specified	not specified	not specified	not specified	not specified	pH 4.6 for 24 hr
GSM744796 1	  	Expression profile of whole root exposed to pH 4.6 for 24H	whole roots transferred to low pH, 24H	Whole root - low pH_24H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole root	Columbia	  	  	  	  	  	P-GSE30166-22	P-GSE30166-21	P-GSE30166-19	GSM744796 extract 1	total RNA	P-GSE30166-23	GSM744796 LE 1	biotin	P-GSE30166-15	GSM744796	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744796.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744796_sample_table.txt norm	GSM744796_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole root	not specified	not specified	not specified	not specified	not specified	pH 4.6 for 24 hr
GSM744795 1	  	Expression profile of whole root exposed to pH 4.6 for 12H	whole roots transferred to low pH, 12H	Whole root - low pH 12H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole root	Columbia	  	  	  	  	  	P-GSE30166-22	P-GSE30166-21	P-GSE30166-19	GSM744795 extract 1	total RNA	P-GSE30166-23	GSM744795 LE 1	biotin	P-GSE30166-15	GSM744795	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744795.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744795_sample_table.txt norm	GSM744795_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole root	not specified	not specified	not specified	not specified	not specified	pH 4.6 for 12 hr
GSM744794 1	  	Expression profile of whole root exposed to pH 4.6 for 12H	whole roots transferred to low pH, 12H	Whole root - low pH 12H_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole root	Columbia	  	  	  	  	  	P-GSE30166-22	P-GSE30166-21	P-GSE30166-19	GSM744794 extract 1	total RNA	P-GSE30166-23	GSM744794 LE 1	biotin	P-GSE30166-15	GSM744794	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744794.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744794_sample_table.txt norm	GSM744794_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole root	not specified	not specified	not specified	not specified	not specified	pH 4.6 for 12 hr
GSM744793 1	  	Expression profile of whole root exposed to pH 4.6 for 6H	whole roots transferred to low pH, 6H	Whole root - low pH 6H_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	  	  	  	whole root	Columbia	  	  	  	  	  	P-GSE30166-22	P-GSE30166-21	P-GSE30166-19	GSM744793 extract 1	total RNA	P-GSE30166-23	GSM744793 LE 1	biotin	P-GSE30166-15	GSM744793	A-AFFY-2	  	P-GSE30166-16	P-GSE30166-10	GSM744793.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.raw.3.zip	P-GSE30166-1	GSM744793_sample_table.txt norm	GSM744793_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30166/E-GEOD-30166.processed.1.zip	not specified	not specified	whole root	not specified	not specified	not specified	not specified	not specified	pH 4.6 for 6 hr
