Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics[age]	Unit [time unit]	Characteristics [organism part]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ecotype]	FactorValue [environmental stress]	FactorValue [time]	Unit[time unit]
GSM1346924 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Columbia-0 sub-zero acclimated for 3d at -3 C	Columbia-0 sub-zero acclimated at -3  for 3 days, replicate 2	Col_3d_rep 2	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346924 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346924 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346924	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346924_C2_3d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346924_sample_table.txt norm	GSM1346924_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Col-0	sub-zero acclimation	72	hour
GSM1346923 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Columbia-0 sub-zero acclimated for 3d at -3 C	Columbia-0 sub-zero acclimated at -3  for 3 days, replicate 1	Col_3d_rep 1	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346923 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346923 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346923	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346923_C_3d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346923_sample_table.txt norm	GSM1346923_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Col-0	sub-zero acclimation	72	hour
GSM1346922 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Columbia-0 sub-zero acclimated for 1d at -3 C	Columbia-0 sub-zero acclimated at -3  for 1 day, replicate 3	Col_1d_rep 3	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346922 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346922 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346922	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346922_C3_1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346922_sample_table.txt norm	GSM1346922_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Col-0	sub-zero acclimation	24	hour
GSM1346921 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Columbia-0 sub-zero acclimated for 1d at -3 C	Columbia-0 sub-zero acclimated at -3  for 1 day, replicate 2	Col_1d_rep 2	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346921 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346921 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346921	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346921_C2_1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346921_sample_table.txt norm	GSM1346921_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Col-0	sub-zero acclimation	24	hour
GSM1346920 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Columbia-0 sub-zero acclimated for 1d at -3 C	Columbia-0 sub-zero acclimated at -3  for 1 day, replicate 1	Col_1d_rep 1	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346920 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346920 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346920	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346920_C_1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346920_sample_table.txt norm	GSM1346920_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Col-0	sub-zero acclimation	24	hour
GSM1346919 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Columbia-0 sub-zero acclimated for 8h at -3 C	Columbia-0 sub-zero acclimated at -3  for 8 hours, replicate 2	Col_8h_rep 2	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346919 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346919 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346919	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346919_C2_8h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346919_sample_table.txt norm	GSM1346919_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Col-0	sub-zero acclimation	8	hour
GSM1346918 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	42	day	leaf	Gene expression data from detached leaves of cold acclimation Arabidopsis Columbia-0 sub-zero acclimated for 8h at -3 C	Columbia-0 sub-zero acclimated at -3  for 8 hours, replicate 1	Col_8h_rep 1	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346918 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346918 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346918	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346918_C1_8h.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346918_sample_table.txt norm	GSM1346918_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Col-0	sub-zero acclimation	8	hour
GSM1346917 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	42	day	leaf	Gene expression data from leaves of intact Arabidopsis Columbia-0 cold acclimation at 4 C for two weeks	Columbia-0 cold acclimated at 4  for two weeks, replicate 2	Col_CA_rep 3	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346917 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346917 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346917	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346917_C3_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346917_sample_table.txt norm	GSM1346917_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Col-0	cold acclimation	0	hour
GSM1346916 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	42	day	leaf	Gene expression data from leaves of intact Arabidopsis Columbia-0 cold acclimation at 4 C for two weeks	Columbia-0 cold acclimated at 4  for two weeks, replicate 2	Col_CA_rep 2	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346916 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346916 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346916	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346916_C2_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346916_sample_table.txt norm	GSM1346916_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Col-0	cold acclimation	0	hour
GSM1346915 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	42	day	leaf	Gene expression data from leaves of intact Arabidopsis Columbia-0 cold acclimation at 4 C for two weeks	Columbia-0 cold acclimated at 4  for two weeks, replicate 1	Col_CA_rep 1	P-GSE55835-2	ArrayExpress	P-GSE55835-3	ArrayExpress	P-GSE55835-4	ArrayExpress	GSM1346915 extract 1	total RNA	P-GSE55835-5	ArrayExpress	GSM1346915 LE 1	biotin	P-GSE55835-6	ArrayExpress	GSM1346915	A-AFFY-2	ArrayExpress	array assay	P-GSE55835-7	ArrayExpress	GSM1346915_C_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.raw.1.zip	P-GSE55835-1	ArrayExpress	GSM1346915_sample_table.txt norm	GSM1346915_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55835/E-GEOD-55835.processed.1.zip	Col-0	cold acclimation	0	hour
