Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics[organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ecotype]	FactorValue[organism part]	FactorValue [growth condition]	FactorValue [time]	Unit[time unit]
GSM959135 1	gene expression data from Tsu roots on minus iron media for 48h	Tsu roots on minus iron media for 48h	Tsu_-Fe_48h_Roots_r3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959135 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959135 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959135	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959135_BrW_ATH1_121410_12_TmR48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959135_sample_table.txt norm	GSM959135_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	root	iron deprivation	48	hour
GSM959134 1	gene expression data from Tsu roots on minus iron media for 48h	Tsu roots on minus iron media for 48h	Tsu_-Fe_48h_Roots_r2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959134 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959134 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959134	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959134_BrW_ATH1_121410_11_TmR48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959134_sample_table.txt norm	GSM959134_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	root	iron deprivation	48	hour
GSM959133 1	gene expression data from Tsu roots on minus iron media for 48h	Tsu roots on minus iron media for 48h	Tsu_-Fe_48h_Roots_r1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	root	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959133 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959133 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959133	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959133_BrW_ATH1_121410_10_TmR48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959133_sample_table.txt norm	GSM959133_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	root	iron deprivation	48	hour
GSM959147 1	gene expression data from Tsu shoots on complete media for 24h	Tsu shoots on complete media for 24h	Tsu_+Fe_24h_Shoots_r3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959147 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959147 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959147	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959147_BrW_ATH1_121410_27_TpS24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959147_sample_table.txt norm	GSM959147_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	shoot	control	24	hour
GSM959146 1	gene expression data from Tsu shoots on complete media for 24h	Tsu shoots on complete media for 24h	Tsu_+Fe_24h_Shoots_r2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959146 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959146 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959146	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959146_BrW_ATH1_121410_26_TpS24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959146_sample_table.txt norm	GSM959146_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	shoot	control	24	hour
GSM959145 1	gene expression data from Tsu shoots on complete media for 24h	Tsu shoots on complete media for 24h	Tsu_+Fe_24h_Shoots_r1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959145 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959145 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959145	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959145_BrW_ATH1_121410_25_TpS24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959145_sample_table.txt norm	GSM959145_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	shoot	control	24	hour
GSM959150 1	gene expression data from Tsu shoots on minus iron media for 24h	Tsu shoots on minus iron media for 24h	Tsu_-Fe_24h_Shoots_r3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959150 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959150 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959150	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959150_BrW_ATH1_121410_30_TmS24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959150_sample_table.txt norm	GSM959150_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	shoot	iron deprivation	24	hour
GSM959149 1	gene expression data from Tsu shoots on minus iron media for 24h	Tsu shoots on minus iron media for 24h	Tsu_-Fe_24h_Shoots_r2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959149 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959149 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959149	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959149_BrW_ATH1_121410_29_TmS24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959149_sample_table.txt norm	GSM959149_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	shoot	iron deprivation	24	hour
GSM959148 1	gene expression data from Tsu shoots on minus iron media for 24h	Tsu shoots on minus iron media for 24h	Tsu_-Fe_24h_Shoots_r1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959148 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959148 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959148	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959148_BrW_ATH1_121410_28_TmS24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959148_sample_table.txt norm	GSM959148_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	shoot	iron deprivation	24	hour
GSM959153 1	gene expression data from Tsu shoots on minus iron media for 48h	Tsu shoots on minus iron media for 48h	Tsu_-Fe_48h_Shoots_r3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959153 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959153 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959153	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959153_BrW_ATH1_121410_36_TmS48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959153_sample_table.txt norm	GSM959153_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	shoot	iron deprivation	48	hour
GSM959152 1	gene expression data from Tsu shoots on minus iron media for 48h	Tsu shoots on minus iron media for 48h	Tsu_-Fe_48h_Shoots_r2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959152 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959152 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959152	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959152_BrW_ATH1_121410_35_TmS48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959152_sample_table.txt norm	GSM959152_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	shoot	iron deprivation	48	hour
GSM959151 1	gene expression data from Tsu shoots on minus iron media for 48h	Tsu shoots on minus iron media for 48h	Tsu_-Fe_48h_Shoots_r1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1	shoot	P-GSE39268-2	ArrayExpress	P-GSE39268-3	ArrayExpress	P-GSE39268-4	ArrayExpress	GSM959151 extract 1	total RNA	P-GSE39268-5	ArrayExpress	GSM959151 LE 1	biotin	P-GSE39268-6	ArrayExpress	GSM959151	A-AFFY-2	ArrayExpress	P-GSE39268-7	ArrayExpress	P-GSE39268-8	ArrayExpress	GSM959151_BrW_ATH1_121410_34_TmS48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.raw.1.zip	P-GSE39268-1	ArrayExpress	GSM959151_sample_table.txt norm	GSM959151_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39268/E-GEOD-39268.processed.1.zip	Tsu-1	shoot	iron deprivation	48	hour
