Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [InitialTimePoint]	Characteristics [StrainOrLine]	Characteristics [GeneticModification]	Characteristics [OrganismPart]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [Genotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value [media]	Parameter Value [min temperature]	Parameter Value [stop time]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [time]	Unit [TimeUnit]	Factor Value [GrowthCondition]	Factor Value [genotype]	Factor Value [strain]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
col_ID_12_3	7	days	dark to light transition 8th day	col	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	col_ID_12_3	P-MEXP-101652	none	total RNA	col_ID_12_3	total_RNA	P-AFFY-2	col_ID_12_3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_ID_12_3	A-AFFY-2	P-AFFY-6	12	h	12hr light: 12hr dark	wild_type	col	col_ID_12_3	col_ID_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
lux2_ID_16_10	7	days	dark to light transition 8th day	col	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	lux-2	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	lux2_ID_16_10	P-MEXP-101652	none	total RNA	lux2_ID_16_10	total_RNA	P-AFFY-2	lux2_ID_16_10	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	lux2_ID_16_10	A-AFFY-2	P-AFFY-6	16	h	12hr light: 12hr dark	lux-2	col	lux2_ID_16_10	lux2_ID_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
col_SD_08_26	7	days	dark to light transition 8th day	col	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	col_SD_08_26	P-MEXP-101652	none	total RNA	col_SD_08_26	total_RNA	P-AFFY-2	col_SD_08_26	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_SD_08_26	A-AFFY-2	P-AFFY-6	8	h	8hr light: 16hr dark	wild_type	col	col_SD_08_26	col_SD_08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
col_SD_00_24	7	days	dark to light transition 8th day	col	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	col_SD_00_24	P-MEXP-101652	none	total RNA	col_SD_00_24	total_RNA	P-AFFY-2	col_SD_00_24	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_SD_00_24	A-AFFY-2	P-AFFY-6	0	h	8hr light: 16hr dark	wild_type	col	col_SD_00_24	col_SD_00.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
lhy_SD_20_23	7	days	dark to light transition 8th day	ler	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	lhy	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	lhy_SD_20_23	P-MEXP-101652	none	total RNA	lhy_SD_20_23	total_RNA	P-AFFY-2	lhy_SD_20_23	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	lhy_SD_20_23	A-AFFY-2	P-AFFY-6	20	h	8hr light: 16hr dark	lhy	ler	lhy_SD_20_23	lhy_SD_20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
ler_SD_20_17	7	days	dark to light transition 8th day	ler	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	ler_SD_20_17	P-MEXP-101652	none	total RNA	ler_SD_20_17	total_RNA	P-AFFY-2	ler_SD_20_17	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_SD_20_17	A-AFFY-2	P-AFFY-6	20	h	8hr light: 16hr dark	wild_type	ler	ler_SD_20_17	ler_SD_20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
lhy_SD_16_22	7	days	dark to light transition 8th day	ler	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	lhy	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	lhy_SD_16_22	P-MEXP-101652	none	total RNA	lhy_SD_16_22	total_RNA	P-AFFY-2	lhy_SD_16_22	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	lhy_SD_16_22	A-AFFY-2	P-AFFY-6	16	h	8hr light: 16hr dark	lhy	ler	lhy_SD_16_22	lhy_SD_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
ler_SD_08_14	7	days	dark to light transition 8th day	ler	  	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	wild_type	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	ler_SD_08_14	P-MEXP-101652	none	total RNA	ler_SD_08_14	total_RNA	P-AFFY-2	ler_SD_08_14	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_SD_08_14	A-AFFY-2	P-AFFY-6	8	h	8hr light: 16hr dark	wild_type	ler	ler_SD_08_14	ler_SD_08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
phyB9_SD_16_34	7	days	dark to light transition 8th day	col	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	phyB9	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	phyB9_SD_16_34	P-MEXP-101652	none	total RNA	phyB9_SD_16_34	total_RNA	P-AFFY-2	phyB9_SD_16_34	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	phyB9_SD_16_34	A-AFFY-2	P-AFFY-6	16	h	8hr light: 16hr dark	phyB9	col	phyB9_SD_16_34	phyB9_SD_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
lhy_SD_04_19	7	days	dark to light transition 8th day	ler	induced_mutation	whole seedling	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	lhy	seedling	EFO	EFO_0001992	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	22	7	P-MEXP-101654	lhy_SD_04_19	P-MEXP-101652	none	total RNA	lhy_SD_04_19	total_RNA	P-AFFY-2	lhy_SD_04_19	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	lhy_SD_04_19	A-AFFY-2	P-AFFY-6	4	h	8hr light: 16hr dark	lhy	ler	lhy_SD_04_19	lhy_SD_04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1299/E-MEXP-1299.processed.1.zip
