Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Characteristics [organism part]	Characteristics [genotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [time]	Unit [time unit]	FactorValue [treatment]
GSM991896 1	Arabidopsis_bak1_pep2_2h	25_bak1_pep2_2h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	bak1-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991896 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991896 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991896	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991896_25_bak1_pep2_2h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991896_sample_table.txt norm	GSM991896_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	bak1-3	2	hour	Pep2
GSM991895 1	Arabidopsis_pepr1 pepr2_pep2_2h	24_p1p2_pep2_2h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	pepr1-1 Pepr2-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991895 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991895 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991895	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991895_24_p1p2_pep2_2h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991895_sample_table.txt norm	GSM991895_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	pepr1-1 Pepr2-3	2	hour	Pep2
GSM991894 1	Arabidopsis_pepr1 pepr2_pep2_2h	23_p1p2_pep2_2h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	pepr1-1 Pepr2-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991894 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991894 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991894	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991894_23_p1p2_pep2_2h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991894_sample_table.txt norm	GSM991894_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	pepr1-1 Pepr2-3	2	hour	Pep2
GSM991893 1	Arabidopsis_pepr1 pepr2_pep2_2h	22_p1p2_pep2_2h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	pepr1-1 Pepr2-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991893 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991893 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991893	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991893_22_p1p2_pep2_2h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991893_sample_table.txt norm	GSM991893_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	pepr1-1 Pepr2-3	2	hour	Pep2
GSM991892 1	Arabidopsis_ein2_pep2_2h	21_ein2_pep2_2h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	ein2-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991892 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991892 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991892	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991892_21_ein2_pep2_2h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991892_sample_table.txt norm	GSM991892_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	ein2-1	2	hour	Pep2
GSM991891 1	Arabidopsis_ein2_pep2_2h	20_ein2_pep2_2h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	ein2-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991891 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991891 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991891	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991891_20_ein2_pep2_2h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991891_sample_table.txt norm	GSM991891_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	ein2-1	2	hour	Pep2
GSM991890 1	Arabidopsis_ein2_pep2_2h	19_ein2_pep2_2h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	ein2-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991890 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991890 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991890	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991890_19_ein2_pep2_2h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991890_sample_table.txt norm	GSM991890_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	ein2-1	2	hour	Pep2
GSM991889 1	Arabidopsis_WT_pep2_2h	18_WT_pep2_2h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991889 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991889 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991889	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991889_18_WT_pep2_2h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991889_sample_table.txt norm	GSM991889_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	2	hour	Pep2
GSM991888 1	Arabidopsis_WT_pep2_2h	17_WT_pep2_2h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991888 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991888 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991888	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991888_17_WT_pep2_2h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991888_sample_table.txt norm	GSM991888_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	2	hour	Pep2
GSM991887 1	Arabidopsis_WT_pep2_2h	16_WT_pep2_2h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991887 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991887 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991887	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991887_16_WT_pep2_2h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991887_sample_table.txt norm	GSM991887_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	2	hour	Pep2
GSM991886 1	Arabidopsis_bak1_untreated	15_bak1_0h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	bak1-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991886 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991886 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991886	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991886_15_bak1_0h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991886_sample_table.txt norm	GSM991886_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	bak1-3	0	hour	untreated
GSM991885 1	Arabidopsis_bak1_untreated	14_bak1_0h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	bak1-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991885 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991885 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991885	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991885_14_bak1_0h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991885_sample_table.txt norm	GSM991885_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	bak1-3	0	hour	untreated
GSM991884 1	Arabidopsis_bak1_untreated	13_bak1_0h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	bak1-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991884 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991884 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991884	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991884_13_bak1_0h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991884_sample_table.txt norm	GSM991884_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	bak1-3	0	hour	untreated
GSM991883 1	Arabidopsis_pepr1 pepr2_untreated	12_p1p2_0h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	pepr1-1 Pepr2-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991883 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991883 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991883	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991883_12_p1p2_0h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991883_sample_table.txt norm	GSM991883_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	pepr1-1 Pepr2-3	0	hour	untreated
GSM991882 1	Arabidopsis_pepr1 pepr2_untreated	11_p1p2_0h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	pepr1-1 Pepr2-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991882 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991882 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991882	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991882_11_p1p2_0h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991882_sample_table.txt norm	GSM991882_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	pepr1-1 Pepr2-3	0	hour	untreated
GSM991881 1	Arabidopsis_pepr1 pepr2_untreated	10_p1p2_0h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	pepr1-1 Pepr2-3	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991881 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991881 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991881	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991881_10_p1p2_0h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991881_sample_table.txt norm	GSM991881_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	pepr1-1 Pepr2-3	0	hour	untreated
GSM991880 1	Arabidopsis_efr_untreated	09_efr_0h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	efr-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991880 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991880 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991880	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991880_09_efr_0h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991880_sample_table.txt norm	GSM991880_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	efr-1	0	hour	untreated
GSM991879 1	Arabidopsis_efr_untreated	08_efr_0h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	efr-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991879 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991879 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991879	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991879_08_efr_0h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991879_sample_table.txt norm	GSM991879_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	efr-1	0	hour	untreated
GSM991878 1	Arabidopsis_efr_untreated	07_efr_0h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	efr-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991878 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991878 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991878	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991878_07_efr_0h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991878_sample_table.txt norm	GSM991878_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	efr-1	0	hour	untreated
GSM991877 1	Arabidopsis_ein2_untreated	06_ein2_0h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	ein2-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991877 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991877 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991877	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991877_06_ein2_0h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991877_sample_table.txt norm	GSM991877_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	ein2-1	0	hour	untreated
GSM991876 1	Arabidopsis_ein2_untreated	05_ein2_0h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	ein2-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991876 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991876 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991876	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991876_05_ein2_0h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991876_sample_table.txt norm	GSM991876_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	ein2-1	0	hour	untreated
GSM991875 1	Arabidopsis_ein2_untreated	04_ein2_0h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	ein2-1	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991875 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991875 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991875	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991875_04_ein2_0h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991875_sample_table.txt norm	GSM991875_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	ein2-1	0	hour	untreated
GSM991874 1	Arabidopsis_WT_untreated	03_WT_0h_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991874 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991874 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991874	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991874_03_WT_0h_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991874_sample_table.txt norm	GSM991874_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	0	hour	untreated
GSM991873 1	Arabidopsis_WT_untreated	02_WT_0h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991873 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991873 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991873	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991873_02_WT_0h_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991873_sample_table.txt norm	GSM991873_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	0	hour	untreated
GSM991872 1	Arabidopsis_WT_untreated	01_WT_0h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	whole organism	wild type	P-GSE40354-2	ArrayExpress	P-GSE40354-3	ArrayExpress	P-GSE40354-4	ArrayExpress	GSM991872 extract 1	total RNA	P-GSE40354-5	ArrayExpress	GSM991872 LE 1	Biotin	P-GSE40354-6	ArrayExpress	GSM991872	A-AFFY-2	ArrayExpress	array assay	P-GSE40354-7	ArrayExpress	P-GSE40354-8	ArrayExpress	GSM991872_01_WT_0h_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.raw.1.zip	P-GSE40354-1	ArrayExpress	GSM991872_sample_table.txt norm	GSM991872_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40354/E-GEOD-40354.processed.1.zip	wild type	0	hour	untreated
