Source Name	Characteristics [age]	Unit [time unit]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [biosource type]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [treatment]	Factor Value [genotype]	Factor Value [time]	Unit [time unit]	Factor Value [light]
Ulm_1-2_4days-345nm_Rep2_ATH1	4	day	Col-0	wild type	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2674	P-MTAB-2675	  	E_Ulm_1-2_4days-345nm_Rep2_ATH1	total_RNA	P-AFFY-2	L_Ulm_1-2_4days-345nm_Rep2_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_1-2_4days-345nm_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Ulm_1-2_4days-345nm_Rep2_ATH1.CEL	Ulm_1-2_4days-345nm_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	wild type	  	  	UV-B light regimen (345 nm)
Ulm_3-12_cop1-305-4d_Rep3_ATH1	4	day	Col-0	cop-1	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2661	P-MTAB-2675	  	E_Ulm_3-12_cop1-305-4d_Rep3_ATH1	total_RNA	P-AFFY-2	L_Ulm_3-12_cop1-305-4d_Rep3_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_3-12_cop1-305-4d_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Ulm_3-12_cop1-305-4d_Rep3_ATH1.CEL	Ulm_3-12_cop1-305-4d_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	cop-1	  	  	UV-B light regimen (305 nm)
Ulm_3-2_cop1-345-4d_Rep2_ATH1	4	day	Col-0	cop-1	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2662	P-MTAB-2675	  	E_Ulm_3-2_cop1-345-4d_Rep2_ATH1	total_RNA	P-AFFY-2	L_Ulm_3-2_cop1-345-4d_Rep2_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_3-2_cop1-345-4d_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Ulm_3-2_cop1-345-4d_Rep2_ATH1.CEL	Ulm_3-2_cop1-345-4d_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	cop-1	  	  	UV-B light regimen (345 nm)
Ulm_3-3_cop1-345-4d_Rep3_ATH1	4	day	Col-0	cop-1	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2662	P-MTAB-2675	  	E_Ulm_3-3_cop1-345-4d_Rep3_ATH1	total_RNA	P-AFFY-2	L_Ulm_3-3_cop1-345-4d_Rep3_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_3-3_cop1-345-4d_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Ulm_3-3_cop1-345-4d_Rep3_ATH1.CEL	Ulm_3-3_cop1-345-4d_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	cop-1	  	  	UV-B light regimen (345 nm)
Ulm_3-11_cop1-305-4d_Rep2_ATH1	4	day	Col-0	cop-1	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2661	P-MTAB-2675	  	E_Ulm_3-11_cop1-305-4d_Rep2_ATH1	total_RNA	P-AFFY-2	L_Ulm_3-11_cop1-305-4d_Rep2_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_3-11_cop1-305-4d_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Ulm_3-11_cop1-305-4d_Rep2_ATH1.CEL	Ulm_3-11_cop1-305-4d_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	cop-1	  	  	UV-B light regimen (305 nm)
Ulm_3-10_cop1-305-4d_Rep1_ATH1	4	day	Col-0	cop-1	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2661	P-MTAB-2675	  	E_Ulm_3-10_cop1-305-4d_Rep1_ATH1	total_RNA	P-AFFY-2	L_Ulm_3-10_cop1-305-4d_Rep1_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_3-10_cop1-305-4d_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Ulm_3-10_cop1-305-4d_Rep1_ATH1.CEL	Ulm_3-10_cop1-305-4d_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	cop-1	  	  	UV-B light regimen (305 nm)
Ulm_3-1_cop1-345-4d_Rep1_ATH1	4	day	Col-0	cop-1	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2664	P-MTAB-2675	  	E_Ulm_3-1_cop1-345-4d_Rep1_ATH1	total_RNA	P-AFFY-2	L_Ulm_3-1_cop1-345-4d_Rep1_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_3-1_cop1-345-4d_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Ulm_3-1_cop1-345-4d_Rep1_ATH1.CEL	Ulm_3-1_cop1-345-4d_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	cop-1	  	  	UV-B light regimen (345 nm)
Ulm_2-2_uvr8-345-4d_Rep2_ATH1	4	day	Col-0	uvr-8	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2664	P-MTAB-2675	  	E_Ulm_2-2_uvr8-345-4d_Rep2_ATH1	total_RNA	P-AFFY-2	L_Ulm_2-2_uvr8-345-4d_Rep2_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_2-2_uvr8-345-4d_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Ulm_2-2_uvr8-345-4d_Rep2_ATH1.CEL	Ulm_2-2_uvr8-345-4d_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	uvr-8	  	  	UV-B light regimen (345 nm)
Ulm_2-3_uvr8-345-4d_Rep3_ATH1	4	day	Col-0	uvr-8	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2664	P-MTAB-2675	  	E_Ulm_2-3_uvr8-345-4d_Rep3_ATH1	total_RNA	P-AFFY-2	L_Ulm_2-3_uvr8-345-4d_Rep3_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_2-3_uvr8-345-4d_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Ulm_2-3_uvr8-345-4d_Rep3_ATH1.CEL	Ulm_2-3_uvr8-345-4d_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	uvr-8	  	  	UV-B light regimen (345 nm)
Ulm_2-1_uvr8-345-4d_Rep1_ATH1	4	day	Col-0	uvr-8	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2664	P-MTAB-2675	  	E_Ulm_2-1_uvr8-345-4d_Rep1_ATH1	total_RNA	P-AFFY-2	L_Ulm_2-1_uvr8-345-4d_Rep1_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_2-1_uvr8-345-4d_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Ulm_2-1_uvr8-345-4d_Rep1_ATH1.CEL	Ulm_2-1_uvr8-345-4d_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	uvr-8	  	  	UV-B light regimen (345 nm)
Ulm_2-10_uvr8-305-4d_Rep1_ATH1	4	day	Col-0	uvr-8	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2676	P-MTAB-2675	  	E_Ulm_2-10_uvr8-305-4d_Rep1_ATH1	total_RNA	P-AFFY-2	L_Ulm_2-10_uvr8-305-4d_Rep1_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_2-10_uvr8-305-4d_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Ulm_2-10_uvr8-305-4d_Rep1_ATH1.CEL	Ulm_2-10_uvr8-305-4d_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	uvr-8	  	  	UV-B light regimen (305 nm)
Ulm_2-12_uvr8-305-4d_Rep3_ATH1	4	day	Col-0	uvr-8	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2676	P-MTAB-2675	  	E_Ulm_2-12_uvr8-305-4d_Rep3_ATH1	total_RNA	P-AFFY-2	L_Ulm_2-12_uvr8-305-4d_Rep3_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_2-12_uvr8-305-4d_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Ulm_2-12_uvr8-305-4d_Rep3_ATH1.CEL	Ulm_2-12_uvr8-305-4d_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	uvr-8	  	  	UV-B light regimen (305 nm)
Ulm_2-11_uvr8-305-4d_Rep2_ATH1	4	day	Col-0	uvr-8	fresh sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	P-MTAB-2676	P-MTAB-2675	  	E_Ulm_2-11_uvr8-305-4d_Rep2_ATH1	total_RNA	P-AFFY-2	L_Ulm_2-11_uvr8-305-4d_Rep2_ATH1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Ulm_2-11_uvr8-305-4d_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Ulm_2-11_uvr8-305-4d_Rep2_ATH1.CEL	Ulm_2-11_uvr8-305-4d_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-1957-processed-data-1702675900.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1957/E-MEXP-1957.processed.1.zip	control	uvr-8	  	  	UV-B light regimen (305 nm)
