PROBE	ID	ALIAS
251045_s_at	AT5G02360	AT5G02360
251046_at	AT5G02370	AT5G02370
251047_at	AT5G02390	AT5G02390
251048_at	AT5G02410	AT5G02410
251049_at	AT5G02430	AT5G02430
251050_at	AT5G02440	AT5G02440
251051_at	AT5G02460	AT5G02460
251052_at	AT5G02470	DPA
251053_at	AT5G01490	CAX4
251054_at	AT5G01540	LECRKA4.1
251055_at	AT5G01710	AT5G01710
251056_at	AT5G01770	RAPTOR2
251057_at	AT5G01780	AT5G01780
251058_at	AT5G01790	AT5G01790
251059_at	AT5G01810	CIPK15
251060_at	AT5G01820	ATSR1
251061_at	AT5G01830	AT5G01830
251062_at	AT5G01840	OFP1
251063_at	AT5G01850	AT5G01850
251064_at	AT5G01860	AT5G01860
251065_at	AT5G01870	AT5G01870
251066_at	AT5G01880	AT5G01880
251067_at	AT5G01910	AT5G01910
251068_at	AT5G01920	STN8
251069_at	AT5G01930	AT5G01930
251070_at	AT5G01940	AT5G01940
251071_at	AT5G01950	AT5G01950
251072_at	AT5G01740	AT5G01740
251073_at	AT5G01750	AT5G01750
251074_at	AT5G01800	AT5G01800
251075_at	AT5G01890	AT5G01890
251076_at	AT5G01970	AT5G01970
251077_at	AT5G01980	AT5G01980
251078_at	AT5G01990	AT5G01990
251079_at	AT5G02000	AT5G02000
251080_at	AT5G02010	ROPGEF7
251081_at	AT5G02070	AT5G02070
251082_at	AT5G01530	LHCB4.1
251083_at	AT5G01590	AT5G01590
251084_at	AT5G01520	AT5G01520
251085_at	AT5G01440	AT5G01440
251086_at	AT5G01450	AT5G01450
251087_at	AT5G01460	AT5G01460
251088_at	AT5G01480	AT5G01480
251089_at	AT5G01390	AT5G01390
251090_at	AT5G01340	AT5G01340
251091_at	AT5G01410	RSR4
251092_at	AT5G01470	AT5G01470
251093_at	AT5G01360	TBL3
251094_at	AT5G01350	AT5G01350
251095_at	AT5G01510	RUS5
251096_at	AT5G01550	LECRKA4.2
251097_at	AT5G01560	LECRKA4.3
251098_at	AT5G01650	AT5G01650
251099_at	AT5G01660	AT5G01660
251100_at	AT5G01670	AT5G01670
251101_at	AT5G01680	CHX26
251102_at	AT5G01690	CHX27
251103_at	AT5G01700	AT5G01700
251104_at	AT5G01720	AT5G01720
251105_at	AT5G01730	ATSCAR4
251106_at	AT5G01500	TAAC
251107_at	AT5G01610	AT5G01610
251108_at	AT5G01620	TBL35
251109_at	AT5G01600	FER1
251110_at	AT5G01260	AT5G01260
251111_at	AT5G01310	APTX
251112_s_at	AT5G01320	PDC3
251113_at	AT5G01370	ACI1
251114_at	AT5G01380	AT5G01380
251115_at	AT5G01400	ESP4
251116_at	AT3G63470	scpl40
251117_at	AT3G63390	AT3G63390
251118_at	AT3G63410	APG1
251119_at	AT3G63510	AT3G63510
251120_at	AT3G63490	AT3G63490
251121_at	AT3G63420	AGG1
251122_at	AT5G01020	AT5G01020
251123_at	AT5G01030	AT5G01030
251124_s_at	AT5G01040	LAC8
251125_at	AT5G01060	AT5G01060
251126_at	AT5G01070	AT5G01070
251127_at	AT5G01080	AT5G01080
251128_at	AT5G01110	AT5G01110
251129_at	AT5G01150	AT5G01150
251130_at	AT5G01180	PTR5
251131_at	AT5G01190	LAC10
251132_at	AT5G01200	AT5G01200
251133_at	AT5G01240	LAX1
251134_at	AT5G01270	AtQSOX2
251135_at	AT5G01280	AT5G01280
251136_at	AT5G01290	AT5G01290
251137_at	AT5G01300	AT5G01300
251138_at	AT5G01160	AT5G01160
251139_at	AT5G01230	AT5G01230
251140_at	AT5G01090	AT5G01090
251141_at	AT5G01075	AT5G01075
251142_at	AT5G01015	AT5G01015
251143_at	AT5G01220	SQD2
251144_at	AT5G01210	AT5G01210
251145_at	AT3G63500	AT3G63500
251146_at	AT3G63520	CCD1
251147_at	AT3G63480	AT3G63480
251148_at	AT3G63180	TKL
251149_at	AT3G62940	AT3G62940
251150_at	AT3G63120	CYCP1;1
251151_at	AT3G63170	AT3G63170
251152_at	AT3G63130	RANGAP1
251153_at	AT3G63000	NPL41
251154_at	AT3G63110	ATIPT3
251155_at	AT3G63160	AT3G63160
251156_at	AT3G63060	EDL3
251157_at	AT3G63140	CSP41A
251158_at	AT3G63150	MIRO2
251159_at	AT3G63230	AT3G63230
251160_at	AT3G63240	AT3G63240
251161_at	AT3G63290	AT3G63290
251162_at	AT3G63300	FKD1
251163_at	AT3G63310	BIL4
251164_s_at	AT3G63320	AT3G63320
251165_at	AT3G63330	AT3G63340
251166_at	AT3G63350	AT-HSFA7B
251167_at	AT3G63360	AT3G63360
251168_at	AT3G63370	OTP86
251169_at	AT3G63210	MARD1
251170_at	AT3G63260	ATMRK1
251171_at	AT3G63220	AT3G63220
251172_at	AT3G63190	RRF
251173_at	AT3G63270	AT3G63270
251174_at	AT3G63200	PLP9
251175_at	AT3G63250	HMT2
251176_at	AT3G63380	AT3G63380
251177_at	AT3G63400	AT3G63400
251178_at	AT3G63440	CKX6
251179_at	AT3G63460	AT3G63460
251180_at	AT3G62640	AT3G62640
251181_at	AT3G62820	AT3G62820
251182_at	AT3G62600	ATERDJ3B
251183_at	AT3G62630	AT3G62630
251184_at	AT3G62840	AT3G62840
251185_at	AT3G62870	AT3G62870
251186_at	AT3G62790	AT3G62790
251187_at	AT3G62770	AtATG18a
251188_at	AT3G62730	AT3G62730
251189_at	AT3G62650	AT3G62650
251190_at	AT3G62690	ATL5
251191_at	AT3G62590	AT3G62590
251192_at	AT3G62720	XT1
251193_at	AT3G62910	APG3
251194_at	AT3G62920	AT3G62920
251195_at	AT3G62930	AT3G62930
251196_at	AT3G62950	AT3G62950
251197_at	AT3G62960	AT3G62960
251198_at	AT3G62970	AT3G62970
251199_at	AT3G62980	TIR1
251200_at	AT3G63010	GID1B
251201_at	AT3G63020	AT3G63020
251202_at	AT3G63040	AT3G63040
251203_at	AT3G63070	AT3G63070
251204_at	AT3G63100	AT3G63095
251205_at	AT3G63080	ATGPX5
251206_at	AT3G63090	AT3G63090
251207_at	AT3G63050	AT3G63050
251208_at	AT3G62880	ATOEP16-4
251209_at	AT3G62890	AT3G62890
251210_at	AT3G62810	AT3G62810
251211_s_at	AT3G62470	AT3G62470
251212_at	AT3G62480	AT3G62480
251213_at	AT3G62490	AT3G62490
251214_at	AT3G62500	AT3G62500
251215_at	AT3G62510	AT3G62510
251216_at	AT3G62520	AT3G62520
251217_at	AT3G62560	AT3G62560
251218_at	AT3G62410	CP12-2
251219_at	AT3G62390	TBL6
251220_at	AT3G62400	AT3G62400
251221_at	AT3G62550	AT3G62550
251222_at	AT3G62580	AT3G62580
251223_at	AT3G62610	ATMYB11
251224_at	AT3G62620	AT3G62620
251225_at	AT3G62660	GATL7
251226_at	AT3G62680	PRP3
251227_at	AT3G62700	ATMRP10
251228_at	AT3G62710	AT3G62710
251229_at	AT3G62740	BGLU7
251230_at	AT3G62750	BGLU8
251231_at	AT3G62760	ATGSTF13
251232_at	AT3G62780	AT3G62780
251233_at	AT3G62800	DRB4
251234_s_at	AT2G47650	UXS4
251235_at	AT3G62860	AT3G62860
251236_at	AT3G62380	AT3G62380
251237_at	AT3G62420	CPuORF3
251238_at	AT3G62430	AT3G62430
251239_at	AT3G62440	AT3G62440
251240_at	AT3G62450	AT3G62450
251241_s_at	AT3G62460	AT3G62460
251242_at	AT3G61860	RSP31
251243_at	AT3G61870	AT3G61870
251244_at	AT3G62060	AT3G62060
251245_at	AT3G62090	PIL2
251246_at	AT3G62100	IAA30
251247_at	AT3G62140	AT3G62140
251248_at	AT3G62150	PGP21
251249_at	AT3G62160	AT3G62160
251250_at	AT3G62180	AT3G62180
251251_at	AT3G62220	AT3G62220
251252_at	AT3G62230	AT3G62230
251253_at	AT3G62240	AT3G62240
251254_at	AT3G62270	AT3G62270
251255_at	AT3G62280	AT3G62280
251256_at	AT3G62300	DUF7
251257_at	AT3G62290	ATARFA1E
251258_at	AT3G62170	VGDH2
251259_at	AT3G62260	AT3G62260
251260_at	AT3G62130	AT3G62130
251261_at	AT3G62110	AT3G62110
251262_at	AT3G62080	AT3G62080
251263_at	AT3G62190	AT3G62190
251264_at	AT3G62120	AT3G62120
251265_at	AT3G62310	AT3G62310
251266_at	AT3G62320	AT3G62320
251267_at	AT3G62330	AT3G62330
251268_at	AT3G62350	AT3G62350
251269_at	AT3G62360	AT3G62360
251270_at	AT3G62370	AT3G62370
251271_at	AT3G62050	AT3G62050
251272_at	AT3G61890	ATHB-12
251273_at	AT3G61960	AT3G61960
251274_at	AT3G61700	AT3G61700
251275_at	AT3G61720	AT3G61720
251276_at	AT3G61740	SDG14
251277_at	AT3G61760	ADL1B
251278_at	AT3G61780	emb1703
251279_at	AT3G61800	AT3G61800
251280_at	AT3G61810	AT3G61810
251281_at	AT3G61640	AGP20
251282_at	AT3G61630	CRF6
251283_at	AT3G61790	AT3G61790
251284_at	AT3G61840	AT3G61840
251285_at	AT3G61770	AT3G61770
251286_at	AT3G61710	ATG6
251287_at	AT3G61820	AT3G61820
251288_at	AT3G61620	RRP41
251289_at	AT3G61830	ARF18
251290_at	AT3G61850	DAG1
251291_at	AT3G61900	AT3G61900
251292_at	AT3G61920	AT3G61920
251293_at	AT3G61930	AT3G61930
251294_at	AT3G61940	MTPA1
251295_at	AT3G62000	AT3G62000
251296_at	AT3G62010	AT3G62010
251297_at	AT3G62020	GLP10
251298_at	AT3G62040	AT3G62040
251299_at	AT3G61950	AT3G61950
251300_at	AT3G61980	AT3G61980
251301_at	AT3G61880	CYP78A9
251302_at	AT3G61970	NGA2
251303_at	AT3G61910	ANAC066
251304_at	AT3G61990	AT3G61990
251305_at	AT3G62030	ROC4
251306_at	AT3G61260	AT3G61260
251307_at	AT3G61200	AT3G61200
251308_at	AT3G61130	GAUT1
251309_at	AT3G61220	AT3G61220
251310_at	AT3G61150	HDG1
251311_at	AT3G61140	FUS6
251312_at	AT3G61120	AGL13
251313_at	AT3G61360	AT3G61360
251314_at	AT3G61180	AT3G61180
251315_at	AT3G61410	AT3G61410
251316_s_at	AT3G61480	AT3G61480
251317_at	AT3G61490	AT3G61490
251318_at	AT3G61570	GDAP1
251319_at	AT3G61610	AT3G61610
251320_at	AT3G61530	PANB2
251321_at	AT3G61460	BRH1
251322_at	AT3G61440	CYSC1
251323_at	AT3G61580	AT3G61580
251324_at	AT3G61430	PIP1A
251325_s_at	AT3G61470	LHCA2
251326_at	AT3G61590	HWS
251327_at	AT3G61540	AT3G61540
251328_at	AT3G61600	ATPOB1
251329_at	AT3G61450	SYP73
251330_at	AT3G61550	AT3G61550
251331_s_at	AT3G61650	TUBG1
251332_at	AT3G61670	AT3G61670
251333_at	AT3G61690	AT3G61690
251334_at	AT3G61390	AT3G61390
251335_at	AT3G61400	AT3G61400
251336_at	AT3G61190	BAP1
251337_at	AT3G60820	PBF1
251338_at	AT3G60600	VAP
251339_at	AT3G60780	AT3G60780
251340_at	AT3G60830	ATARP7
251341_at	AT3G60770	AT3G60770
251342_at	AT3G60690	AT3G60690
251343_at	AT3G60620	CDS5
251344_at	AT3G60920	AT3G60920
251345_at	AT3G60940	AT3G60940
251346_at	AT3G60980	AT3G60980
251347_at	AT3G61000	AT3G61010
251348_at	AT3G61010	AT3G61010
251349_s_at	AT3G61020	TBL32
251350_at	AT3G61040	CYP76C7
251351_s_at	AT3G61050	NTMC2T4
251352_at	AT3G61070	PEX11E
251353_at	AT3G61080	AT3G61080
251354_at	AT3G61090	AT3G61090
251355_at	AT3G61100	AT3G61100
251356_at	AT3G61060	AtPP2-A13
251357_at	AT3G61110	ARS27A
251358_at	AT3G61160	AT3G61160
251359_at	AT3G61170	AT3G61170
251360_at	AT3G61210	AT3G61210
251361_at	AT3G61230	AT3G61230
251362_at	AT3G61240	AT3G61240
251363_at	AT3G61250	AtMYB17
251364_at	AT3G61300	AT3G61300
251365_at	AT3G61310	AT3G61310
251366_at	AT3G61340	AT3G61340
251367_at	AT3G61350	SKIP4
251368_at	AT3G61380	AT3G61380
251369_at	AT3G60480	AT3G60480
251370_at	AT3G60450	AT3G60450
251371_at	AT3G60360	EDA14
251372_at	AT3G60520	AT3G60520
251373_at	AT3G60530	GATA4
251374_at	AT3G60390	HAT3
251375_at	AT3G60410	AT3G60410
251376_at	AT3G60630	HAM2
251377_at	AT3G60650	AT3G60650
251378_at	AT3G60660	AT3G60660
251379_at	AT3G60680	AT3G60680
251380_at	AT3G60700	AT3G60700
251381_at	AT3G60720	PDLP8
251382_at	AT3G60730	AT3G60730
251383_at	AT3G60740	TTN1
251384_at	AT3G60760	AT3G60760
251385_at	AT3G60790	AT3G60790
251386_at	AT3G60800	AT3G60800
251387_at	AT3G60810	AT3G60810
251388_at	AT3G60840	MAP65-4
251389_at	AT3G60850	AT3G60850
251390_at	AT3G60860	AT3G60860
251391_at	AT3G60910	AT3G60910
251392_at	AT3G60880	DHDPS1
251393_at	AT3G60640	ATG8G
251394_at	AT3G60900	FLA10
251395_at	AT2G45470	FLA8
251396_at	AT3G60750	AT3G60750
251397_at	AT3G60570	ATEXPB5
251398_at	AT3G60580	AT3G60580
251399_at	AT3G60590	AT3G60590
251400_at	AT3G60420	AT3G60420
251401_at	AT3G60270	AT3G60270
251402_at	AT3G60290	AT3G60290
251403_at	AT3G60300	AT3G60300
251404_at	AT3G60310	AT3G60310
251405_at	AT3G60330	AHA7
251406_at	AT3G60260	AT3G60260
251407_at	AT3G60350	ARABIDILLO-2
251408_at	AT3G60340	AT3G60340
251409_at	AT3G60245	AT3G60245
251410_at	AT3G60280	UCC3
251411_at	AT3G60250	CKB3
251412_at	AT3G60220	ATL4
251413_at	AT3G60320	AT3G60320
251414_at	AT3G60370	AT3G60370
251415_at	AT3G60380	AT3G60380
251416_at	AT3G60400	AT3G60400
251417_at	AT3G60430	AT3G60420
251418_at	AT3G60440	AT3G60440
251419_at	AT3G60470	AT3G60470
251420_at	AT3G60490	AT3G60490
251421_at	AT3G60510	AT3G60510
251422_at	AT3G60540	AT3G60540
251423_at	AT3G60550	CYCP3;2
251424_at	AT3G60560	AT3G60560
251425_at	AT3G60210	AT3G60210
251426_at	AT3G60180	AT3G60180
251427_at	AT3G60130	BGLU16
251428_at	AT3G60140	DIN2
251429_at	AT3G60190	ADL1E
251430_at	AT3G60110	AT3G60110
251431_at	AT3G60240	EIF4G
251432_at	AT3G59820	AT3G59820
251433_at	AT3G59830	AT3G59830
251434_at	AT3G59850	AT3G59850
251435_at	AT3G59860	AT3G59860
251436_at	AT3G59900	ARGOS
251437_at	AT3G59910	AT3G59910
251438_s_at	AT3G59930	AT3G59930
251439_at	AT3G59950	AT3G59950
251440_at	AT3G60010	ASK13
251441_at	AT3G60020	ASK5
251442_at	AT3G59980	AT3G59980
251443_at	AT3G59940	AT3G59940
251444_at	AT3G59990	MAP2B
251445_at	AT3G59870	AT3G59870
251446_at	AT3G59840	AT3G59840
251447_at	AT3G59810	AT3G59810
251448_at	AT3G59845	AT3G59845
251449_at	AT3G59920	ATGDI2
251450_at	AT3G60030	SPL12
251451_s_at	AT3G60040	AT3G60040
251452_at	AT3G60060	AT3G60060
251453_at	AT3G60070	AT3G60070
251454_at	AT3G60080	AT3G60080
251455_at	AT3G60100	CSY5
251456_at	AT3G60120	BGLU27
251457_s_at	AT3G60160	ATMRP9
251458_at	AT3G60170	AT3G60170
251459_at	AT3G60200	AT3G60200
251460_at	AT3G59770	SAC9
251461_at	AT3G59780	AT3G59780
251462_at	AT3G59790	ATMPK10
251463_at	AT3G59800	AT3G59800
251464_at	AT3G59380	FTA
251465_at	AT3G59360	UTR6
251466_at	AT3G59340	AT3G59340
251467_at	AT3G59470	AT3G59470
251468_at	AT3G59290	AT3G59290
251469_at	AT3G59530	LAP3
251470_at	AT3G59560	AT3G59570
251471_at	AT3G59570	AT3G59570
251472_at	AT3G59580	AT3G59580
251473_at	AT3G59610	AT3G59610
251474_at	AT3G59630	AT3G59630
251475_at	AT3G59660	AT3G59660
251476_at	AT3G59670	AT3G59670
251477_at	AT3G59680	AT3G59680
251478_at	AT3G59690	IQD13
251479_at	AT3G59700	ATHLECRK
251480_at	AT3G59710	AT3G59710
251481_at	AT3G59730	AT3G59730
251482_s_at	AT3G59740	AT3G59740
251483_at	AT3G59650	AT3G59650
251484_at	AT3G59640	AT3G59640
251485_at	AT3G59550	SYN3
251486_at	AT3G59540	AT3G59540
251487_at	AT3G59760	OASC
251488_at	AT3G59440	AT3G59440
251489_at	AT3G59460	AT3G59460
251490_at	AT3G59490	AT3G59490
251491_at	AT3G59480	AT3G59480
251492_at	AT3G59280	TXR1
251493_at	AT3G59300	AT3G59300
251494_at	AT3G59350	AT3G59350
251495_at	AT3G59020	AT3G59020
251496_at	AT3G59040	AT3G59040
251497_at	AT3G59060	PIL6
251498_at	AT3G59070	AT3G59070
251499_at	AT3G59100	ATGSL11
251500_at	AT3G59110	AT3G59110
251501_at	AT3G59120	AT3G59120
251502_at	AT3G59130	AT3G59130
251503_at	AT3G59140	ATMRP14
251504_at	AT3G59030	TT12
251505_at	AT3G59050	CPuORF18
251506_at	AT3G59090	AT3G59090
251507_at	AT3G59080	AT3G59080
251508_at	AT3G58970	MGT6
251509_at	AT3G59010	PME61
251510_at	AT3G59170	AT3G59170
251511_at	AT3G59180	AT3G59180
251512_at	AT3G59190	AT3G59190
251513_at	AT3G59220	PRN
251514_at	AT3G59260	AT3G59260
251515_at	AT3G59270	AT3G59270
251516_s_at	AT3G59310	AT3G59310
251517_at	AT3G59370	AT3G59370
251518_at	AT3G59390	AT3G59390
251519_at	AT3G59400	GUN4
251520_at	AT3G59410	GCN2
251521_at	AT3G59420	ACR4
251522_at	AT3G59430	AT3G59430
251523_at	AT3G58980	AT3G58980
251524_at	AT3G58990	IPMI1
251525_at	AT3G59000	AT3G59000
251526_at	AT3G58640	AT3G58640
251527_at	AT3G58650	AT3G58650
251528_at	AT3G58600	AT3G58600
251529_at	AT3G58570	AT3G58570
251530_at	AT3G58520	AT3G58520
251531_at	AT3G58550	AT3G58550
251532_at	AT3G58530	AT3G58530
251533_at	AT3G58460	ATRBL15
251534_at	AT3G58510	AT3G58510
251535_at	AT3G58540	AT3G58540
251536_at	AT3G58610	AT3G58610
251537_at	AT3G58470	AT3G58470
251538_at	AT3G58660	AT3G58660
251539_at	AT3G58690	AT3G58690
251540_at	AT3G58740	CSY1
251541_at	AT3G58750	CSY2
251542_at	AT3G58760	AT3G58760
251543_at	AT3G58770	AT3G58770
251544_at	AT3G58790	GAUT15
251545_at	AT3G58810	MTPA2
251546_at	AT3G58830	AT3G58830
251547_at	AT3G58860	AT3G58860
251548_at	AT3G58870	AT3G58870
251549_at	AT3G58890	AT3G58890
251550_at	AT3G58800	AT3G58800
251551_at	AT3G58680	MBF1B
251552_at	AT3G58700	AT3G58700
251553_at	AT3G58710	WRKY69
251554_at	AT3G58670	AT3G58670
251555_at	AT3G58780	SHP1
251556_at	AT3G58840	AT3G58840
251557_at	AT3G58730	AT3G58730
251558_at	AT3G57810	AT3G57810
251559_at	AT3G58010	PGL34
251560_at	AT3G57920	SPL15
251561_at	AT3G57870	SCE1
251562_at	AT3G57890	AT3G57890
251563_at	AT3G57880	AT3G57880
251564_at	AT3G58160	XIJ
251565_at	AT3G58190	LBD29
251566_at	AT3G58210	AT3G58210
251567_at	AT3G58230	AT3G58230
251568_at	AT3G58280	AT3G58280
251569_at	AT3G58290	AT3G58290
251570_at	AT3G58300	AT3G58300
251571_at	AT3G58330	AT3G58330
251572_at	AT3G58390	AT3G58390
251573_at	AT3G58140	AT3G58140
251574_at	AT3G58100	PDCB5
251575_at	AT3G58120	BZIP61
251576_at	AT3G58200	AT3G58200
251577_at	AT3G58350	RTM3
251578_at	AT3G58180	AT3G58180
251579_at	AT3G58170	BS14A
251580_at	AT3G58450	AT3G58450
251581_at	AT3G58560	AT3G58560
251582_at	AT3G58580	AT3G58580
251583_at	AT3G58590	AT3G58590
251584_at	AT3G58620	TTL4
251585_at	AT3G58630	AT3G58630
251586_at	AT3G58070	GIS
251587_at	AT3G58080	AT3G58080
251588_at	AT3G58090	AT3G58090
251589_at	AT3G58040	SINAT2
251590_at	AT3G57690	AGP23
251591_at	AT3G57680	AT3G57680
251592_at	AT3G57670	NTT
251593_at	AT3G57660	NRPA1
251594_at	AT3G57630	AT3G57630
251595_at	AT3G57620	AT3G57620
251596_at	AT3G57650	LPAT2
251597_at	AT3G57750	AT3G57750
251598_at	AT3G57600	AT3G57600
251599_at	AT3G57610	ADSS
251600_at	AT3G57710	AT3G57710
251601_at	AT3G57795	AT3G57800
251602_at	AT3G57785	AT3G57785
251603_at	AT3G57760	AT3G57760
251604_at	AT3G57820	AT3G57820
251605_at	AT3G57830	AT3G57830
251606_at	AT3G57840	AT3G57840
251607_at	AT3G57850	AT3G57850
251608_at	AT3G57860	UVI4-LIKE
251609_at	AT3G57900	AT3G57900
251610_at	AT3G57930	AT3G57930
251611_at	AT3G57940	AT3G57940
251612_at	AT3G57950	AT3G57950
251613_at	AT3G57960	AT3G57960
251614_at	AT3G57970	AT3G57970
251615_at	AT3G57980	AT3G57980
251616_at	AT3G57990	AT3G57990
251617_at	AT3G58000	AT3G58000
251618_at	AT3G58020	AT3G58020
251619_at	AT3G58050	AT3G58050
251620_at	AT3G58060	AT3G58060
251621_at	AT3G57700	AT3G57700
251622_at	AT3G57340	AT3G57340
251623_at	AT3G57390	AGL18
251624_at	AT3G57280	AT3G57280
251625_at	AT3G57260	BGL2
251626_at	AT3G57220	AT3G57220
251627_at	AT3G57270	BG1
251628_at	AT3G57290	EIF3E
251629_at	AT3G57410	VLN3
251630_at	AT3G57420	AT3G57420
251631_at	AT3G57430	OTP84
251632_at	AT3G57440	AT3G57440
251633_at	AT3G57460	AT3G57460
251634_at	AT3G57480	AT3G57480
251635_at	AT3G57510	ADPG1
251636_at	AT3G57530	CPK32
251637_at	AT3G57570	AT3G57570
251638_at	AT3G57490	AT3G57490
251639_at	AT3G57560	NAGK
251640_at	AT3G57450	AT3G57450
251641_at	AT3G57470	AT3G57470
251642_at	AT3G57520	AtSIP2
251643_at	AT3G57550	AGK2
251644_at	AT3G57540	AT3G57540
251645_at	AT3G57790	AT3G57790
251646_at	AT3G57780	AT3G57780
251647_at	AT3G57770	AT3G57770
251648_at	AT3G57720	AT3G57720
251649_at	AT3G57330	ACA11
251650_at	AT3G57360	AT3G57360
251651_at	AT3G57370	AT3G57370
251652_at	AT3G57380	AT3G57380
251653_at	AT3G57130	BOP1
251654_at	AT3G57140	SDP1-LIKE
251655_at	AT3G57160	AT3G57160
251656_at	AT3G57170	AT3G57170
251657_at	AT3G57000	AT3G57000
251658_at	AT3G57020	AT3G57020
251659_at	AT3G57090	BIGYIN
251660_at	AT3G57165	AT3G57160
251661_at	AT3G56950	SIP2;1
251662_at	AT3G57080	NRPE5
251663_at	AT3G57070	AT3G57070
251664_at	AT3G56940	CRD1
251665_at	AT3G57040	ARR9
251666_at	AT3G57050	CBL
251667_at	AT3G57150	NAP57
251668_at	AT3G57010	AT3G57010
251669_at	AT3G57180	BPG2
251670_at	AT3G57190	AT3G57190
251671_at	AT3G57210	AT3G57210
251672_at	AT3G57230	AGL16
251673_at	AT3G57240	BG3
251674_at	AT3G57250	AT3G57250
251675_at	AT3G57300	INO80
251676_at	AT3G57320	AT3G57320
251677_at	AT3G56980	BHLH039
251678_at	AT3G56990	EDA7
251679_at	AT3G57030	AT3G57030
251680_at	AT3G57060	AT3G57060
251681_at	AT3G57100	AT3G57100
251682_s_at	AT3G57110	AT3G57110
251683_at	AT3G57120	AT3G57120
251684_at	AT3G56410	AT3G56410
251685_at	AT3G56430	AT3G56430
251686_at	AT3G56440	ATATG18D
251687_at	AT3G56460	AT3G56460
251688_at	AT3G56480	AT3G56480
251689_at	AT3G56500	AT3G56500
251690_at	AT3G56510	AT3G56510
251691_at	AT3G56520	AT3G56520
251692_s_at	AT3G56540	scpl39
251693_at	AT3G56550	AT3G56550
251694_s_at	AT3G56560	anac063
251695_at	AT3G56585	AT3G56590
251696_at	AT3G56590	AT3G56590
251697_at	AT3G56600	AT3G56600
251698_at	AT3G56610	AT3G56610
251699_at	AT3G56630	CYP94D2
251700_at	AT3G56640	SEC15A
251701_at	AT3G56650	AT3G56650
251702_at	AT3G56660	BZIP49
251703_at	AT3G56670	AT3G56670
251704_at	AT3G56360	AT3G56360
251705_at	AT3G56400	WRKY70
251706_at	AT3G56620	AT3G56620
251707_at	AT3G56490	HIT3
251708_at	AT3G56580	AT3G56580
251709_at	AT3G56380	ARR17
251710_at	AT3G56930	AT3G56930
251711_at	AT3G56960	PIP5K4
251712_at	AT3G56120	AT3G56120
251713_at	AT3G56080	AT3G56080
251714_at	AT3G56370	AT3G56370
251715_at	AT3G56390	AT3G56390
251716_at	AT3G55870	AT3G55870
251717_at	AT3G55850	LAF3
251718_at	AT3G56100	MRLK
251719_at	AT3G56140	AT3G56140
251720_at	AT3G56160	AT3G56160
251721_s_at	AT3G56190	ALPHA-SNAP1
251722_at	AT3G56200	AT3G56200
251723_at	AT3G56230	AT3G56230
251724_at	AT3G56250	AT3G56250
251725_at	AT3G56260	AT3G56260
251726_at	AT3G56280	AT3G56280
251727_at	AT3G56290	AT3G56290
251728_at	AT3G56300	AT3G56300
251729_at	AT3G56310	AT3G56310
251730_at	AT3G56330	AT3G56330
251731_at	AT3G56350	AT3G56350
251732_at	AT3G56110	PRA1.B1
251733_at	AT3G56240	CCH
251734_at	AT3G56270	AT3G56270
251735_at	AT3G56090	ATFER3
251736_at	AT3G56130	AT3G56130
251737_at	AT3G56340	AT3G56340
251738_at	AT3G56150	EIF3C
251739_at	AT3G56170	CAN
251740_at	AT3G56070	ROC2
251741_at	AT3G56040	UGP3
251742_at	AT3G56050	AT3G56050
251743_at	AT3G55890	AT3G55890
251744_at	AT3G56010	AT3G56010
251745_at	AT3G55980	SZF1
251746_at	AT3G56060	AT3G56060
251747_at	AT3G55670	AT3G55670
251748_at	AT3G55680	AT3G55680
251749_at	AT3G55690	AT3G55690
251750_at	AT3G55710	AT3G55710
251751_at	AT3G55720	AT3G55720
251752_at	AT3G55740	PROT2
251753_at	AT3G55760	AT3G55760
251754_at	AT3G55780	AT3G55780
251755_at	AT3G55790	AT3G55790
251756_at	AT3G55820	AT3G55820
251757_at	AT3G55640	AT3G55640
251758_at	AT3G55770	AT3G55770
251759_at	AT3G55630	ATDFD
251760_at	AT3G55605	AT3G55605
251761_at	AT3G55700	AT3G55700
251762_at	AT3G55800	SBPASE
251763_at	AT3G55730	MYB109
251764_at	AT3G55830	EPC1
251765_at	AT3G55880	AT3G55880
251766_at	AT3G55910	AT3G55910
251767_at	AT3G55930	AT3G55930
251768_at	AT3G55940	AT3G55940
251769_at	AT3G55950	CCR3
251770_at	AT3G55970	JRG21
251771_at	AT3G56000	CSLA14
251772_at	AT3G55920	AT3G55920
251773_at	AT3G55960	AT3G55960
251774_at	AT3G55840	AT3G55840
251775_s_at	AT3G55610	P5CS1
251776_at	AT3G55620	emb1624
251777_s_at	AT3G55650	AT3G55650
251778_at	AT3G55660	ROPGEF6
251779_at	AT3G55300	AT3G55300
251780_s_at	AT3G55310	AT3G55310
251781_at	AT3G55320	PGP20
251782_at	AT3G55260	HEXO1
251783_at	AT3G55280	RPL23AB
251784_at	AT3G55330	PPL1
251785_at	AT3G55130	ATWBC19
251786_at	AT3G55270	MKP1
251787_at	AT3G55410	AT3G55410
251788_at	AT3G55420	AT3G55420
251789_at	AT3G55450	PBL1
251790_at	AT3G55470	AT3G55470
251791_at	AT3G55500	ATEXPA16
251792_at	AT3G55550	AT3G55550
251793_at	AT3G55580	AT3G55580
251794_at	AT3G55590	AT3G55590
251795_at	AT3G55390	AT3G55390
251796_at	AT3G55360	CER10
