PROBE	TID	ID	AGI	ENSEMBL	UNIGENE
260096_at	AT1G73240	AT1G73240	AT1G73240	AT1G73240	AT1G73240
260094_at	AT1G73250	AT1G73250	AT1G73250	AT1G73250	AT1G73250
260101_at	AT1G73260	AT1G73260	AT1G73260	AT1G73260	AT1G73260
260093_at	AT1G73270	AT1G73270	AT1G73270	AT1G73270	AT1G73270
260092_at	AT1G73280	AT1G73280	AT1G73280	AT1G73280	AT1G73280
260091_at	AT1G73290	AT1G73290	AT1G73290	AT1G73290	AT1G73290
260090_at	AT1G73310	AT1G73310	AT1G73310	AT1G73310	AT1G73310
260098_at	AT1G73320	AT1G73320	AT1G73320	AT1G73320	AT1G73320
245736_at	AT1G73330	AT1G73330	AT1G73330	AT1G73330	AT1G73330
245728_at	AT1G73340	AT1G73340	AT1G73340	AT1G73340	AT1G73340
245727_at	AT1G73350	AT1G73350	AT1G73350	AT1G73350	AT1G73350
245726_at	AT1G73360	AT1G73360	AT1G73360	AT1G73360	AT1G73360
245725_at	AT1G73370	AT1G73370	AT1G73370	AT1G73370	AT1G73370
245733_at	AT1G73380	AT1G73380	AT1G73380	AT1G73380	AT1G73380
245724_at	AT1G73390	AT1G73390	AT1G73390	AT1G73390	AT1G73390
245723_at	AT1G73400	AT1G73400	AT1G73400	AT1G73400	AT1G73400
245735_at	AT1G73410	AT1G73410	AT1G73410	AT1G73410	AT1G73410
245722_at	AT1G73430	AT1G73430	AT1G73430	AT1G73430	AT1G73430
245732_at	AT1G73440	AT1G73440	AT1G73440	AT1G73440	AT1G73440
245730_at	AT1G73470	AT1G73470	AT1G73470	AT1G73470	AT1G73470
245734_at	AT1G73480	AT1G73480	AT1G73480	AT1G73480	AT1G73480
245729_at	AT1G73490	AT1G73490	AT1G73490	AT1G73490	AT1G73490
245731_at	AT1G73500	AT1G73500	AT1G73500	AT1G73500	AT1G73500
245779_at	AT1G73510	AT1G73510	AT1G73510	AT1G73510	AT1G73510
245778_at	AT1G73530	AT1G73530	AT1G73530	AT1G73530	AT1G73530
245777_at	AT1G73540	AT1G73540	AT1G73540	AT1G73540	AT1G73540
259844_at	AT1G73560	AT1G73560	AT1G73560	AT1G73560	AT1G73560
259843_at	AT1G73570	AT1G73570	AT1G73570	AT1G73570	AT1G73570
259845_at	AT1G73590	AT1G73590	AT1G73590	AT1G73590	AT1G73590
260066_at	AT1G73610	AT1G73610	AT1G73610	AT1G73610	AT1G73610
260077_at	AT1G73620	AT1G73620	AT1G73620	AT1G73620	AT1G73620
260076_at	AT1G73630	AT1G73630	AT1G73630	AT1G73630	AT1G73630
260074_at	AT1G73640	AT1G73640	AT1G73640	AT1G73640	AT1G73640
260072_at	AT1G73650	AT1G73650	AT1G73650	AT1G73650	AT1G73650
260044_at	AT1G73655	AT1G73655	AT1G73655	AT1G73655	AT1G73655
260073_at	AT1G73660	AT1G73660	AT1G73660	AT1G73660	AT1G73660
260045_at	AT1G73670	AT1G73670	AT1G73670	AT1G73670	AT1G73670
260060_at	AT1G73680	AT1G73680	AT1G73680	AT1G73680	AT1G73680
260061_at	AT1G73690	AT1G73690	AT1G73690	AT1G73690	AT1G73690
260075_at	AT1G73700	AT1G73700	AT1G73700	AT1G73700	AT1G73700
260062_at	AT1G73710	AT1G73710	AT1G73710	AT1G73710	AT1G73710
260063_at	AT1G73720	AT1G73720	AT1G73720	AT1G73720	AT1G73720
260064_at	AT1G73730	AT1G73730	AT1G73730	AT1G73730	AT1G73730
260047_at	AT1G73740	AT1G73740	AT1G73740	AT1G73740	AT1G73740
260048_at	AT1G73750	AT1G73750	AT1G73750	AT1G73750	AT1G73750
260065_at	AT1G73760	AT1G73760	AT1G73760	AT1G73760	AT1G73760
260067_at	AT1G73780	AT1G73780	AT1G73780	AT1G73780	AT1G73780
260078_at	AT1G73790	AT1G73790	AT1G73790	AT1G73790	AT1G73790
260046_at	AT1G73800	AT1G73800	AT1G73805	AT1G73805	AT1G73805
260068_at	AT1G73805	AT1G73805	AT1G73805	AT1G73805	AT1G73805
260069_at	AT1G73820	AT1G73820	AT1G73820	AT1G73820	AT1G73820
260070_at	AT1G73830	AT1G73830	AT1G73830	AT1G73830	AT1G73830
260071_at	AT1G73840	AT1G73840	AT1G73840	AT1G73840	AT1G73840
260382_at	AT1G73850	AT1G73850	AT1G73850	AT1G73850	AT1G73850
260381_at	AT1G73860	AT1G73860	AT1G73860	AT1G73860	AT1G73860
260380_at	AT1G73870	AT1G73870	AT1G73870	AT1G73870	AT1G73870
260378_at	AT1G73910	AT1G73910	AT1G73910	AT1G73910	AT1G73910
260393_at	AT1G73920	AT1G73920	AT1G73920	AT1G73920	AT1G73920
260377_at	AT1G73930	AT1G73930	AT1G73930	AT1G73930	AT1G73930
260390_at	AT1G73940	AT1G73940	AT1G73940	AT1G73940	AT1G73940
260375_at	AT1G73950	AT1G73950	AT1G73950	AT1G73950	AT1G73950
260374_at	AT1G73960	AT1G73960	AT1G73960	AT1G73960	AT1G73960
260373_at	AT1G73970	AT1G73970	AT1G73970	AT1G73970	AT1G73970
260372_at	AT1G73980	AT1G73980	AT1G73980	AT1G73980	AT1G73980
260336_at	AT1G73990	AT1G73990	AT1G73990	AT1G73990	AT1G73990
260335_at	AT1G74000	AT1G74000	AT1G74000	AT1G74000	AT1G74000
260386_at	AT1G74010	AT1G74010	AT1G74010	AT1G74010	AT1G74010
260391_at	AT1G74020	AT1G74020	AT1G74020	AT1G74020	AT1G74020
260392_at	AT1G74030	AT1G74030	AT1G74030	AT1G74030	AT1G74030
260384_at	AT1G74040	AT1G74040	AT1G74040	AT1G74040	AT1G74040
260389_at	AT1G74055	AT1G74055	AT1G74055	AT1G74055	AT1G74055
260388_at	AT1G74070	AT1G74070	AT1G74070	AT1G74070	AT1G74070
260394_at	AT1G74080	AT1G74080	AT1G74080	AT1G74080	AT1G74080
260385_at	AT1G74090	AT1G74090	AT1G74090	AT1G74090	AT1G74090
260387_at	AT1G74100	AT1G74100	AT1G74100	AT1G74100	AT1G74100
260376_at	AT1G74110	AT1G74110	AT1G74110	AT1G74110	AT1G74110
259906_at	AT1G74120	AT1G74120	AT1G74120	AT1G74120	AT1G74120
259904_at	AT1G74150	AT1G74150	AT1G74150	AT1G74150	AT1G74150
259903_at	AT1G74160	AT1G74160	AT1G74160	AT1G74160	AT1G74160
259902_at	AT1G74170	AT1G74170	AT1G74170	AT1G74170	AT1G74170
259901_at	AT1G74180	AT1G74180	AT1G74180	AT1G74180	AT1G74180
260253_at	AT1G74190	AT1G74190	AT1G74190	AT1G74190	AT1G74190
260247_at	AT1G74200	AT1G74200	AT1G74200	AT1G74200	AT1G74200
260254_at	AT1G74210	AT1G74210	AT1G74210	AT1G74210	AT1G74210
260246_at	AT1G74220	AT1G74220	AT1G74220	AT1G74220	AT1G74220
260245_at	AT1G74230	AT1G74230	AT1G74230	AT1G74230	AT1G74230
260252_at	AT1G74240	AT1G74240	AT1G74240	AT1G74240	AT1G74240
260251_at	AT1G74250	AT1G74250	AT1G74250	AT1G74250	AT1G74250
260250_at	AT1G74260	AT1G74260	AT1G74260	AT1G74260	AT1G74260
260258_at	AT1G74270	AT1G74270	AT1G74270	AT1G74270	AT1G74270
260259_at	AT1G74300	AT1G74300	AT1G74300	AT1G74300	AT1G74300
260248_at	AT1G74310	AT1G74310	AT1G74310	AT1G74310	AT1G74310
260244_at	AT1G74320	AT1G74320	AT1G74320	AT1G74320	AT1G74320
260255_at	AT1G74330	AT1G74330	AT1G74330	AT1G74330	AT1G74330
260257_at	AT1G74340	AT1G74340	AT1G74340	AT1G74340	AT1G74340
260256_at	AT1G74350	AT1G74350	AT1G74350	AT1G74350	AT1G74350
260239_at	AT1G74360	AT1G74360	AT1G74360	AT1G74360	AT1G74360
260229_at	AT1G74370	AT1G74370	AT1G74370	AT1G74370	AT1G74370
260222_at	AT1G74380	AT1G74380	AT1G74380	AT1G74380	AT1G74380
260223_at	AT1G74390	AT1G74390	AT1G74390	AT1G74390	AT1G74390
260224_at	AT1G74400	AT1G74400	AT1G74400	AT1G74400	AT1G74400
260231_at	AT1G74410	AT1G74410	AT1G74410	AT1G74410	AT1G74410
260210_at	AT1G74420	AT1G74420	AT1G74420	AT1G74420	AT1G74420
260237_at	AT1G74430	AT1G74430	AT1G74430	AT1G74430	AT1G74430
260211_at	AT1G74440	AT1G74440	AT1G74440	AT1G74440	AT1G74440
260227_at	AT1G74450	AT1G74450	AT1G74450	AT1G74450	AT1G74450
260234_at	AT1G74460	AT1G74460	AT1G74460	AT1G74460	AT1G74460
260236_at	AT1G74470	AT1G74470	AT1G74470	AT1G74470	AT1G74470
260212_at	AT1G74480	AT1G74480	AT1G74480	AT1G74480	AT1G74480
260213_at	AT1G74490	AT1G74490	AT1G74490	AT1G74490	AT1G74490
260230_at	AT1G74500	AT1G74500	AT1G74500	AT1G74500	AT1G74500
260214_at	AT1G74510	AT1G74510	AT1G74510	AT1G74510	AT1G74510
260238_at	AT1G74520	AT1G74520	AT1G74520	AT1G74520	AT1G74520
260215_at	AT1G74530	AT1G74530	AT1G74530	AT1G74530	AT1G74530
260228_at	AT1G74540	AT1G74540	AT1G74540	AT1G74540	AT1G74540
260233_at	AT1G74550	AT1G74550	AT1G74550	AT1G74550	AT1G74550
260235_at	AT1G74560	AT1G74560	AT1G74560	AT1G74560	AT1G74560
260216_at	AT1G74580	AT1G74580	AT1G74580	AT1G74580	AT1G74580
260225_at	AT1G74590	AT1G74590	AT1G74590	AT1G74590	AT1G74590
260217_at	AT1G74600	AT1G74600	AT1G74600	AT1G74600	AT1G74600
260218_at	AT1G74620	AT1G74620	AT1G74620	AT1G74620	AT1G74620
260219_at	AT1G74630	AT1G74630	AT1G74630	AT1G74630	AT1G74630
260232_at	AT1G74640	AT1G74640	AT1G74640	AT1G74640	AT1G74640
260220_at	AT1G74650	AT1G74650	AT1G74650	AT1G74650	AT1G74650
260226_at	AT1G74660	AT1G74660	AT1G74660	AT1G74660	AT1G74660
260221_at	AT1G74670	AT1G74670	AT1G74670	AT1G74670	AT1G74670
262223_at	AT1G74680	AT1G74680	AT1G74680	AT1G74680	AT1G74680
262210_at	AT1G74690	AT1G74690	AT1G74690	AT1G74690	AT1G74690
262222_at	AT1G74700	AT1G74700	AT1G74700	AT1G74700	AT1G74700
262177_at	AT1G74710	AT1G74710	AT1G74710	AT1G74710	AT1G74710
262209_at	AT1G74720	AT1G74720	AT1G74720	AT1G74720	AT1G74720
262168_at	AT1G74730	AT1G74730	AT1G74730	AT1G74730	AT1G74730
262220_at	AT1G74740	AT1G74740	AT1G74740	AT1G74740	AT1G74740
262219_at	AT1G74750	AT1G74750	AT1G74750	AT1G74750	AT1G74750
262218_at	AT1G74760	AT1G74760	AT1G74770	AT1G74770	AT1G74770
262217_at	AT1G74770	AT1G74770	AT1G74770	AT1G74770	AT1G74770
262216_at	AT1G74780	AT1G74780	AT1G74780	AT1G74780	AT1G74780
262215_at	AT1G74790	AT1G74790	AT1G74790	AT1G74790	AT1G74790
262208_at	AT1G74800	AT1G74800	AT1G74800	AT1G74800	AT1G74800
259953_at	AT1G74810	AT1G74810	AT1G74810	AT1G74810	AT1G74810
262214_at	AT1G74820	AT1G74820	AT1G74820	AT1G74820	AT1G74820
262166_at	AT1G74840	AT1G74840	AT1G74840	AT1G74840	AT1G74840
262207_at	AT1G74850	AT1G74850	AT1G74850	AT1G74850	AT1G74850
262169_at	AT1G74860	AT1G74860	AT1G74860	AT1G74860	AT1G74860
262213_at	AT1G74870	AT1G74870	AT1G74870	AT1G74870	AT1G74870
262175_at	AT1G74880	AT1G74880	AT1G74880	AT1G74880	AT1G74880
262212_at	AT1G74890	AT1G74890	AT1G74890	AT1G74890	AT1G74890
262224_at	AT1G74900	AT1G74900	AT1G74900	AT1G74900	AT1G74900
262174_at	AT1G74910	AT1G74910	AT1G74910	AT1G74910	AT1G74910
262173_at	AT1G74920	AT1G74920	AT1G74920	AT1G74920	AT1G74920
262211_at	AT1G74930	AT1G74930	AT1G74930	AT1G74930	AT1G74930
262170_at	AT1G74940	AT1G74940	AT1G74940	AT1G74940	AT1G74940
262171_at	AT1G74950	AT1G74950	AT1G74950	AT1G74950	AT1G74950
262176_at	AT1G74960	AT1G74960	AT1G74960	AT1G74960	AT1G74960
262172_at	AT1G74970	AT1G74970	AT1G74970	AT1G74970	AT1G74970
262167_at	AT1G74990	AT1G74990	AT1G74990	AT1G74990	AT1G74990
262221_at	AT1G75010	AT1G75010	AT1G75010	AT1G75010	AT1G75010
262165_at	AT1G75020	AT1G75020	AT1G75020	AT1G75020	AT1G75020
259987_at	AT1G75030	AT1G75030	AT1G75030	AT1G75030	AT1G75030
259925_at	AT1G75040	AT1G75040	AT1G75040	AT1G75040	AT1G75040
259986_at	AT1G75050	AT1G75050	AT1G75050	AT1G75050	AT1G75050
259926_at	AT1G75090	AT1G75090	AT1G75090	AT1G75090	AT1G75090
259927_at	AT1G75100	AT1G75100	AT1G75100	AT1G75100	AT1G75100
259956_at	AT1G75110	AT1G75110	AT1G75110	AT1G75110	AT1G75110
259954_at	AT1G75130	AT1G75130	AT1G75130	AT1G75130	AT1G75130
256508_at	AT1G75140	AT1G75140	AT1G75140	AT1G75140	AT1G75140
256507_at	AT1G75150	AT1G75150	AT1G75150	AT1G75150	AT1G75150
256506_at	AT1G75160	AT1G75160	AT1G75160	AT1G75160	AT1G75160
256456_at	AT1G75180	AT1G75180	AT1G75180	AT1G75180	AT1G75180
256455_at	AT1G75190	AT1G75190	AT1G75190	AT1G75190	AT1G75190
256505_at	AT1G75200	AT1G75200	AT1G75200	AT1G75200	AT1G75200
256504_at	AT1G75210	AT1G75210	AT1G75210	AT1G75210	AT1G75210
256458_at	AT1G75220	AT1G75220	AT1G75220	AT1G75220	AT1G75220
256457_at	AT1G75230	AT1G75230	AT1G75230	AT1G75230	AT1G75230
256452_at	AT1G75240	AT1G75240	AT1G75240	AT1G75240	AT1G75240
256503_at	AT1G75250	AT1G75250	AT1G75250	AT1G75250	AT1G75250
256453_at	AT1G75270	AT1G75270	AT1G75270	AT1G75270	AT1G75270
256454_at	AT1G75280	AT1G75280	AT1G75280	AT1G75280	AT1G75280
256450_at	AT1G75290	AT1G75290	AT1G75290	AT1G75290	AT1G75290
256509_at	AT1G75300	AT1G75300	AT1G75300	AT1G75300	AT1G75300
261117_at	AT1G75310	AT1G75310	AT1G75310	AT1G75310	AT1G75310
261122_at	AT1G75330	AT1G75330	AT1G75330	AT1G75330	AT1G75330
261121_at	AT1G75340	AT1G75340	AT1G75340	AT1G75340	AT1G75340
261119_at	AT1G75350	AT1G75350	AT1G75350	AT1G75350	AT1G75350
261115_at	AT1G75360	AT1G75360	AT1G75360	AT1G75360	AT1G75360
261116_at	AT1G75370	AT1G75370	AT1G75370	AT1G75370	AT1G75370
261114_at	AT1G75390	AT1G75390	AT1G75388;AT1G75390	AT1G75390	AT1G75390
261113_at	AT1G75400	AT1G75400	AT1G75400	AT1G75400	AT1G75400
261120_at	AT1G75410	AT1G75410	AT1G75410	AT1G75410	AT1G75410
261112_at	AT1G75420	AT1G75420	AT1G75420	AT1G75420	AT1G75420
261111_at	AT1G75430	AT1G75430	AT1G75430	AT1G75430	AT1G75430
261110_at	AT1G75440	AT1G75440	AT1G75440	AT1G75440	AT1G75440
261109_at	AT1G75450	AT1G75450	AT1G75450	AT1G75450	AT1G75450
261118_at	AT1G75460	AT1G75460	AT1G75460	AT1G75460	AT1G75460
257461_at	AT1G75470	AT1G75470	AT1G75470	AT1G75470	AT1G75470
262977_at	AT1G75490	AT1G75490	AT1G75490	AT1G75490	AT1G75490
262951_at	AT1G75500	AT1G75500	AT1G75500	AT1G75500	AT1G75500
262950_at	AT1G75510	AT1G75510	AT1G75510	AT1G75510	AT1G75510
262976_at	AT1G75520	AT1G75520	AT1G75520	AT1G75520	AT1G75520
262975_at	AT1G75540	AT1G75540	AT1G75540	AT1G75540	AT1G75540
262974_at	AT1G75550	AT1G75550	AT1G75550	AT1G75550	AT1G75550
262948_at	AT1G75560	AT1G75560	AT1G75560	AT1G75560	AT1G75560
257460_at	AT1G75580	AT1G75580	AT1G75580	AT1G75580	AT1G75580
262981_at	AT1G75590	AT1G75590	AT1G75590	AT1G75590	AT1G75590
262973_at	AT1G75600	AT1G75600	AT1G75600	AT1G75600	AT1G75600
262972_at	AT1G75620	AT1G75620	AT1G75620	AT1G75620	AT1G75620
262971_at	AT1G75640	AT1G75640	AT1G75640	AT1G75640	AT1G75640
262923_at	AT1G75660	AT1G75660	AT1G75660	AT1G75660	AT1G75660
262953_at	AT1G75670	AT1G75670	AT1G75670	AT1G75670	AT1G75670
262980_at	AT1G75680	AT1G75680	AT1G75680	AT1G75680	AT1G75680
262970_at	AT1G75690	AT1G75690	AT1G75690	AT1G75690	AT1G75690
262969_at	AT1G75710	AT1G75710	AT1G75710	AT1G75710	AT1G75710
262968_at	AT1G75720	AT1G75720	AT1G75720	AT1G75720	AT1G75720
262967_at	AT1G75730	AT1G75730	AT1G75730	AT1G75730	AT1G75730
262947_at	AT1G75750	AT1G75750	AT1G75750	AT1G75750	AT1G75750
262966_at	AT1G75760	AT1G75760	AT1G75760	AT1G75760	AT1G75760
262952_at	AT1G75770	AT1G75770	AT1G75770	AT1G75770	AT1G75770
262978_at	AT1G75780	AT1G75780	AT1G75780	AT1G75780	AT1G75780
262949_at	AT1G75790	AT1G75790	AT1G75790	AT1G75790	AT1G75790
262727_at	AT1G75800	AT1G75800	AT1G75800	AT1G75800	AT1G75800
262678_at	AT1G75810	AT1G75810	AT1G75810	AT1G75810	AT1G75810
262728_at	AT1G75820	AT1G75820	AT1G75820	AT1G75820	AT1G75820
262679_at	AT1G75830	AT1G75830	AT1G75830	AT1G75830	AT1G75830
262729_at	AT1G75840	AT1G75840	AT1G75840	AT1G75840	AT1G75840
262695_at	AT1G75850	AT1G75850	AT1G75850	AT1G75850	AT1G75850
262677_at	AT1G75860	AT1G75860	AT1G75860	AT1G75860	AT1G75860
262696_at	AT1G75870	AT1G75870	AT1G75870	AT1G75870	AT1G75870
262680_at	AT1G75880	AT1G75880	AT1G75880	AT1G75880	AT1G75880
262681_at	AT1G75890	AT1G75890	AT1G75890	AT1G75890	AT1G75890
262682_at	AT1G75900	AT1G75900	AT1G75900	AT1G75900	AT1G75900
262674_at	AT1G75910	AT1G75910	AT1G75910	AT1G75910	AT1G75910
262683_at	AT1G75920	AT1G75920	AT1G75920	AT1G75920	AT1G75920
262675_at	AT1G75930	AT1G75930	AT1G75930	AT1G75930	AT1G75930
262697_at	AT1G75940	AT1G75940	AT1G75940	AT1G75940	AT1G75940
262676_at	AT1G75950	AT1G75950	AT1G75950	AT1G75950	AT1G75950
262698_at	AT1G75960	AT1G75960	AT1G75960	AT1G75960	AT1G75960
262699_at	AT1G75980	AT1G75980	AT1G75980	AT1G75980	AT1G75980
262686_at	AT1G75990	AT1G75990	AT1G75990	AT1G75990	AT1G75990
262685_at	AT1G76010	AT1G76010	AT1G76010	AT1G76010	AT1G76010
262700_at	AT1G76020	AT1G76020	AT1G76020	AT1G76020	AT1G76020
262670_s_at	AT1G76035	AT1G76035			At1g76035
262671_at	AT1G76040	AT1G76040	AT1G76040	AT1G76040	AT1G76040
262672_at	AT1G76050	AT1G76050	AT1G76050	AT1G76050	AT1G76050
262673_at	AT1G76060	AT1G76060	AT1G76060	AT1G76060	AT1G76060
261748_at	AT1G76070	AT1G76070	AT1G76070	AT1G76070	AT1G76070
261751_at	AT1G76080	AT1G76080	AT1G76080	AT1G76080	AT1G76080
261727_at	AT1G76090	AT1G76090	AT1G76090	AT1G76090	AT1G76090
261769_at	AT1G76100	AT1G76100	AT1G76100	AT1G76100	AT1G76100
261782_at	AT1G76110	AT1G76110	AT1G76110	AT1G76110	AT1G76110
261750_at	AT1G76120	AT1G76120	AT1G76120	AT1G76120	AT1G76120
261754_at	AT1G76130	AT1G76130	AT1G76130	AT1G76130	AT1G76130
261770_at	AT1G76140	AT1G76140	AT1G76140	AT1G76140	AT1G76140
261771_at	AT1G76150	AT1G76150	AT1G76150	AT1G76150	AT1G76150
261728_at	AT1G76160	AT1G76160	AT1G76160	AT1G76160	AT1G76160
267397_at	AT1G76170	AT1G76170	AT1G76170	AT1G76170	AT1G76170
261749_at	AT1G76180	AT1G76180	AT1G76180	AT1G76180	AT1G76180
261724_at	AT1G76185	AT1G76185	AT1G76185	AT1G76185	AT1G76185
261776_at	AT1G76190	AT1G76190	AT1G76190	AT1G76190	AT1G76190
261723_at	AT1G76200	AT1G76200	AT1G76200	AT1G76200	AT1G76200
261777_at	AT1G76210	AT1G76210	AT1G76210	AT1G76210	AT1G76210
261778_at	AT1G76220	AT1G76220	AT1G76220	AT1G76220	AT1G76220
261779_at	AT1G76230	AT1G76230	AT1G76230	AT1G76230	AT1G76230
261772_at	AT1G76240	AT1G76240	AT1G76240	AT1G76240	AT1G76240
261773_at	AT1G76250	AT1G76250	AT1G76250	AT1G76250	AT1G76250
261774_at	AT1G76260	AT1G76260	AT1G76260	AT1G76260	AT1G76260
261726_at	AT1G76270	AT1G76270	AT1G76270	AT1G76270	AT1G76270
261775_at	AT1G76280	AT1G76280	AT1G76280	AT1G76280	AT1G76280
261752_at	AT1G76290	AT1G76290	AT1G76290	AT1G76290	AT1G76290
261725_at	AT1G76300	AT1G76300	AT1G76300	AT1G76300	AT1G76300
261780_at	AT1G76310	AT1G76310	AT1G76310	AT1G76310	AT1G76310
261781_at	AT1G76320	AT1G76320	AT1G76320	AT1G76320	AT1G76320
261753_at	AT1G76340	AT1G76340	AT1G76340	AT1G76340	AT1G76340
259888_at	AT1G76350	AT1G76350	AT1G76350	AT1G76350	AT1G76350
259887_at	AT1G76360	AT1G76360	AT1G76360	AT1G76360	AT1G76360
259886_at	AT1G76370	AT1G76370	AT1G76370	AT1G76370	AT1G76370
259885_at	AT1G76380	AT1G76380	AT1G76380	AT1G76380	AT1G76380
259884_at	AT1G76390	AT1G76390	AT1G76390	AT1G76390	AT1G76390
259883_at	AT1G76400	AT1G76400	AT1G76400	AT1G76400	AT1G76400
259889_at	AT1G76405	AT1G76405	AT1G76405	AT1G76405	AT1G76405
259982_at	AT1G76410	AT1G76410	AT1G76410	AT1G76410	AT1G76410
259972_at	AT1G76420	AT1G76420	AT1G76420	AT1G76420	AT1G76420
259974_at	AT1G76430	AT1G76430	AT1G76430	AT1G76430	AT1G76430
259981_at	AT1G76450	AT1G76450	AT1G76450	AT1G76450	AT1G76450
259984_at	AT1G76460	AT1G76460	AT1G76460	AT1G76460	AT1G76460
259975_at	AT1G76470	AT1G76470	AT1G76470	AT1G76470	AT1G76470
259983_at	AT1G76490	AT1G76490	AT1G76490	AT1G76490	AT1G76490
259966_at	AT1G76500	AT1G76500	AT1G76500	AT1G76500	AT1G76500
259967_at	AT1G76510	AT1G76510	AT1G76510	AT1G76510	AT1G76510
259980_at	AT1G76520	AT1G76520	AT1G76520	AT1G76520	AT1G76520
259968_at	AT1G76530	AT1G76530	AT1G76530	AT1G76530	AT1G76530
259978_at	AT1G76540	AT1G76540	AT1G76540	AT1G76540	AT1G76540
259969_at	AT1G76550	AT1G76550	AT1G76550	AT1G76550	AT1G76550
259976_at	AT1G76560	AT1G76560	AT1G76560	AT1G76560	AT1G76560
259970_at	AT1G76570	AT1G76570	AT1G76570	AT1G76570	AT1G76570
259971_at	AT1G76580	AT1G76580	AT1G76580	AT1G76580	AT1G76580
259977_at	AT1G76590	AT1G76590	AT1G76590	AT1G76590	AT1G76590
259979_at	AT1G76600	AT1G76600	AT1G76600	AT1G76600	AT1G76600
259985_at	AT1G76620	AT1G76620	AT1G76620	AT1G76620	AT1G76620
259973_at	AT1G76630	AT1G76630	AT1G76630	AT1G76630	AT1G76630
259866_at	AT1G76640	AT1G76640	AT1G76640	AT1G76640	AT1G76640
259879_at	AT1G76650	AT1G76650	AT1G76650	AT1G76650	AT1G76650
259874_at	AT1G76660	AT1G76660	AT1G76660	AT1G76660	AT1G76660
259882_at	AT1G76670	AT1G76670	AT1G76670	AT1G76670	AT1G76670
259876_at	AT1G76700	AT1G76700	AT1G76700	AT1G76700	AT1G76700
259877_at	AT1G76710	AT1G76710	AT1G76710	AT1G76710	AT1G76710
259880_at	AT1G76730	AT1G76730	AT1G76730	AT1G76730	AT1G76730
259867_at	AT1G76740	AT1G76740	AT1G76740	AT1G76740	AT1G76740
259868_at	AT1G76760	AT1G76760	AT1G76760	AT1G76760	AT1G76760
259869_at	AT1G76770	AT1G76770	AT1G76770	AT1G76770	AT1G76770
259870_at	AT1G76780	AT1G76780	AT1G76780	AT1G76780	AT1G76780
259878_at	AT1G76790	AT1G76790	AT1G76790	AT1G76790	AT1G76790
259871_at	AT1G76800	AT1G76800	AT1G76800	AT1G76800	AT1G76800
259872_at	AT1G76810	AT1G76810	AT1G76810	AT1G76810	AT1G76810
259881_at	AT1G76820	AT1G76820	AT1G76820	AT1G76820	AT1G76820
256329_at	AT1G76850	AT1G76850	AT1G76850	AT1G76850	AT1G76850
256333_at	AT1G76860	AT1G76860	AT1G76860	AT1G76860	AT1G76860
256330_at	AT1G76870	AT1G76870	AT1G76870	AT1G76870	AT1G76870
256331_at	AT1G76880	AT1G76880	AT1G76880	AT1G76880	AT1G76880
256332_at	AT1G76890	AT1G76890	AT1G76890	AT1G76890	AT1G76890
264952_at	AT1G76900	AT1G76900	AT1G76900	AT1G76900	AT1G76900
264943_at	AT1G76910	AT1G76910	AT1G76910	AT1G76910	AT1G76910
264955_at	AT1G76920	AT1G76920	AT1G76920	AT1G76920	AT1G76920
264960_at	AT1G76930	AT1G76930	AT1G76930	AT1G76930	AT1G76930
264944_at	AT1G76940	AT1G76940	AT1G76940	AT1G76940	AT1G76940
264961_at	AT1G76950	AT1G76950	AT1G76950	AT1G76950	AT1G76950
264958_at	AT1G76960	AT1G76960	AT1G76960	AT1G76960	AT1G76960
264951_at	AT1G76970	AT1G76970	AT1G76970	AT1G76970	AT1G76970
264956_at	AT1G76990	AT1G76990	AT1G76990	AT1G76990	AT1G76990
264957_at	AT1G77000	AT1G77000	AT1G77000	AT1G77000	AT1G77000
264946_at	AT1G77010	AT1G77010	AT1G77010	AT1G77010	AT1G77010
264947_at	AT1G77020	AT1G77020	AT1G77020	AT1G77020	AT1G77020
264948_at	AT1G77050	AT1G77050	AT1G77030	AT1G77030	AT1G77030
264954_at	AT1G77060	AT1G77060	AT1G77060	AT1G77060	AT1G77060
264945_at	AT1G77070	AT1G77070	AT1G77080	AT1G77080	AT1G77080
264949_at	AT1G77080	AT1G77080	AT1G77080	AT1G77080	AT1G77080
264959_at	AT1G77090	AT1G77090	AT1G77090	AT1G77090	AT1G77090
264950_at	AT1G77100	AT1G77100	AT1G77100	AT1G77100	AT1G77100
264962_at	AT1G77110	AT1G77110	AT1G77110	AT1G77110	AT1G77110
264953_at	AT1G77120	AT1G77120	AT1G77120	AT1G77120	AT1G77120
264476_at	AT1G77130	AT1G77130	AT1G77130	AT1G77130	AT1G77130
264487_at	AT1G77140	AT1G77140	AT1G77140	AT1G77140	AT1G77140
264486_at	AT1G77180	AT1G77180	AT1G77180	AT1G77180	AT1G77180
264481_at	AT1G77200	AT1G77200	AT1G77200	AT1G77200	AT1G77200
264482_at	AT1G77210	AT1G77210	AT1G77210	AT1G77210	AT1G77210
264485_at	AT1G77220	AT1G77220	AT1G77220	AT1G77220	AT1G77220
264483_at	AT1G77230	AT1G77230	AT1G77230	AT1G77230	AT1G77230
264477_at	AT1G77240	AT1G77240	AT1G77240	AT1G77240	AT1G77240
257420_at	AT1G77250	AT1G77250	AT1G77250	AT1G77250	AT1G77250
264484_at	AT1G77260	AT1G77260	AT1G77260	AT1G77260	AT1G77260
