Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[time]	Unit [time unit]
GSE5615GSM131119	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-11	GSE5615GSM131119 sample	GSE5615GSM131119 extract	total_RNA	GSE5615GSM131119 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-5_1-5-1_REP_1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-5_1-5-1_REP_1_ATH1	GSM131119.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	GST-NPP1 1uM	1	hour
GSE5615GSM131133	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-16	GSE5615GSM131133 sample	GSE5615GSM131133 extract	total_RNA	GSE5615GSM131133 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-19_2-5-1_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-19_2-5-1_REP2_ATH1	GSM131133.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	GST-NPP1 1uM	1	hour
GSE5615GSM131140	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-4	GSE5615GSM131140 sample	GSE5615GSM131140 extract	total_RNA	GSE5615GSM131140 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-26_2-5-4_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-26_2-5-4_REP2_ATH1	GSM131140.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	GST-NPP1 1uM	4	hour
GSE5615GSM131126	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-4	GSE5615GSM131126 sample	GSE5615GSM131126 extract	total_RNA	GSE5615GSM131126 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-12_1-5-4_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-12_1-5-4_REP1_ATH1	GSM131126.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	GST-NPP1 1uM	4	hour
GSE5615GSM131112	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-4	GSE5615GSM131112 sample	GSE5615GSM131112 extract	total_RNA	GSE5615GSM131112 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-40_3-5-4_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-40_3-5-4_REP3_ATH1	GSM131112.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	GST-NPP1 1uM	4	hour
GSE5615GSM131146	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-10	GSE5615GSM131146 sample	GSE5615GSM131146 extract	total_RNA	GSE5615GSM131146 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-32_3-4-1_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-32_3-4-1_REP3_ATH1	GSM131146.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	HrpZ 10uM	1	hour
GSE5615GSM131118	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-10	GSE5615GSM131118 sample	GSE5615GSM131118 extract	total_RNA	GSE5615GSM131118 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-4_1-4-1_REP_1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-4_1-4-1_REP_1_ATH1	GSM131118.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	HrpZ 10uM	1	hour
GSE5615GSM131132	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-10	GSE5615GSM131132 sample	GSE5615GSM131132 extract	total_RNA	GSE5615GSM131132 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-18_2-4-1_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-18_2-4-1_REP2_ATH1	GSM131132.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	HrpZ 10uM	1	hour
GSE5615GSM131139	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-3	GSE5615GSM131139 sample	GSE5615GSM131139 extract	total_RNA	GSE5615GSM131139 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-25_2-4-4_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-25_2-4-4_REP2_ATH1	GSM131139.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	HrpZ 10uM	4	hour
GSE5615GSM131111	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-3	GSE5615GSM131111 sample	GSE5615GSM131111 extract	total_RNA	GSE5615GSM131111 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-39_3-4-4_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-39_3-4-4_REP3_ATH1	GSM131111.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	HrpZ 10uM	4	hour
GSE5615GSM131125	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-3	GSE5615GSM131125 sample	GSE5615GSM131125 extract	total_RNA	GSE5615GSM131125 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-11_1-4-4_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-11_1-4-4_REP1_ATH1	GSM131125.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	HrpZ 10uM	4	hour
GSE5615GSM131129	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-7	GSE5615GSM131129 sample	GSE5615GSM131129 extract	total_RNA	GSE5615GSM131129 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-15_2-1-1_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-15_2-1-1_REP2_ATH1	GSM131129.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	water	1	hour
GSE5615GSM131143	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-7	GSE5615GSM131143 sample	GSE5615GSM131143 extract	total_RNA	GSE5615GSM131143 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-29_3-1-1_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-29_3-1-1_REP3_ATH1	GSM131143.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	water	1	hour
GSE5615GSM131115	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-7	GSE5615GSM131115 sample	GSE5615GSM131115 extract	total_RNA	GSE5615GSM131115 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-1_1-1-1_REP_1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-1_1-1-1_REP_1_ATH1	GSM131115.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	water	1	hour
GSE5615GSM131150	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-14	GSE5615GSM131150 sample	GSE5615GSM131150 extract	total_RNA	GSE5615GSM131150 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-36_3-1-4_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-36_3-1-4_REP3_ATH1	GSM131150.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	water	4	hour
GSE5615GSM131136	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-14	GSE5615GSM131136 sample	GSE5615GSM131136 extract	total_RNA	GSE5615GSM131136 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-22_2-1-4_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-22_2-1-4_REP2_ATH1	GSM131136.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	water	4	hour
GSE5615GSM131122	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-14	GSE5615GSM131122 sample	GSE5615GSM131122 extract	total_RNA	GSE5615GSM131122 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-8_1-1-4_REP_1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-8_1-1-4_REP_1_ATH1	GSM131122.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	water	4	hour
