Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]	FactorValue[time]	Unit[time unit]
GSE5746GSM133923	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	"flc-3, fri-sf-2"	apical region	"FLC-3 IN FRI-SF-2 IN COL:  germplasm: flc-3 in FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in FRI-Sf-2 in Col-0 background, early flowering"	P-G5746-1	GSE5746GSM133923 sample	GSE5746GSM133923 extract	total_RNA	GSE5746GSM133923 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-15_CHIP-207-C_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-15_CHIP-207-C_Rep3_ATH1	GSM133923.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	"flc-3, fri-sf-2"	short-day regime	0	day
GSE5746GSM133914	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	fri-sf-2	apical region	"FRI-Sf-2 in Col:  germplasm: FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region"	P-G5746-2	GSE5746GSM133914 sample	GSE5746GSM133914 extract	total_RNA	GSE5746GSM133914 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-6_CHIP-204-C_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-6_CHIP-204-C_Rep3_ATH1	GSM133914.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	fri-sf-2	long-day regime	3	day
GSE5746GSM133912	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	fri-sf-2	apical region	"FRI-Sf-2 in Col:  germplasm: FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region"	P-G5746-2	GSE5746GSM133912 sample	GSE5746GSM133912 extract	total_RNA	GSE5746GSM133912 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-4_CHIP-204-A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-4_CHIP-204-A_Rep1_ATH1	GSM133912.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	fri-sf-2	long-day regime	3	day
GSE5746GSM133913	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	fri-sf-2	apical region	"FRI-Sf-2 in Col:  germplasm: FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region"	P-G5746-2	GSE5746GSM133913 sample	GSE5746GSM133913 extract	total_RNA	GSE5746GSM133913 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-5_CHIP-204-B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-5_CHIP-204-B_Rep2_ATH1	GSM133913.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	fri-sf-2	long-day regime	3	day
GSE5746GSM133916	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	fri-sf-2	apical region	"FRI-Sf-2 in Col:  germplasm: FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region"	P-G5746-3	GSE5746GSM133916 sample	GSE5746GSM133916 extract	total_RNA	GSE5746GSM133916 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-8_CHIP-205-B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-8_CHIP-205-B_Rep2_ATH1	GSM133916.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	fri-sf-2	long-day regime	5	day
GSE5746GSM133915	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	fri-sf-2	apical region	"FRI-Sf-2 in Col:  germplasm: FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region"	P-G5746-3	GSE5746GSM133915 sample	GSE5746GSM133915 extract	total_RNA	GSE5746GSM133915 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-7_CHIP-205-A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-7_CHIP-205-A_Rep1_ATH1	GSM133915.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	fri-sf-2	long-day regime	5	day
GSE5746GSM133917	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	fri-sf-2	apical region	"FRI-Sf-2 in Col:  germplasm: FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region"	P-G5746-3	GSE5746GSM133917 sample	GSE5746GSM133917 extract	total_RNA	GSE5746GSM133917 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-9_CHIP-205-C_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-9_CHIP-205-C_Rep3_ATH1	GSM133917.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	fri-sf-2	long-day regime	5	day
GSE5746GSM133919	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	fri-sf-2	apical region	"FRI-Sf-2 in Col:  germplasm: FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region"	P-G5746-4	GSE5746GSM133919 sample	GSE5746GSM133919 extract	total_RNA	GSE5746GSM133919 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-11_CHIP-206-B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-11_CHIP-206-B_Rep2_ATH1	GSM133919.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	fri-sf-2	long-day regime	7	day
GSE5746GSM133918	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	fri-sf-2	apical region	"FRI-Sf-2 in Col:  germplasm: FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region"	P-G5746-4	GSE5746GSM133918 sample	GSE5746GSM133918 extract	total_RNA	GSE5746GSM133918 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-10_CHIP-206-A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-10_CHIP-206-A_Rep1_ATH1	GSM133918.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	fri-sf-2	long-day regime	7	day
GSE5746GSM133920	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	fri-sf-2	apical region	"FRI-Sf-2 in Col:  germplasm: FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region"	P-G5746-4	GSE5746GSM133920 sample	GSE5746GSM133920 extract	total_RNA	GSE5746GSM133920 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-12_CHIP-206-C_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-12_CHIP-206-C_Rep3_ATH1	GSM133920.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	fri-sf-2	long-day regime	7	day
GSE5746GSM133910	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	fri-sf-2	apical region	"FRI-Sf-2 in Col:  germplasm: FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region"	P-G5746-1	GSE5746GSM133910 sample	GSE5746GSM133910 extract	total_RNA	GSE5746GSM133910 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-2_CHIP-203-B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-2_CHIP-203-B_Rep2_ATH1	GSM133910.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	fri-sf-2	short-day regime	0	day
GSE5746GSM133911	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	fri-sf-2	apical region	"FRI-Sf-2 in Col:  germplasm: FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region"	P-G5746-1	GSE5746GSM133911 sample	GSE5746GSM133911 extract	total_RNA	GSE5746GSM133911 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-3_CHIP-203-C_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-3_CHIP-203-C_Rep3_ATH1	GSM133911.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	fri-sf-2	short-day regime	0	day
GSE5746GSM133909	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	fri-sf-2	apical region	"FRI-Sf-2 in Col:  germplasm: FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region"	P-G5746-1	GSE5746GSM133909 sample	GSE5746GSM133909 extract	total_RNA	GSE5746GSM133909 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-1_CHIP-203-A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-1_CHIP-203-A_Rep1_ATH1	GSM133909.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	fri-sf-2	short-day regime	0	day
