Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM1233401 1	Ambient CO2, Limiting nitrogen (N) availability, Midnight timepoint, replicate 3	Ambient CO2, Limiting nitrogen (N) availability, Midnight timepoint	Ambient_CO2_LIMITING_N_NIGHT_Rep3	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233401 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233401 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233401	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233401_4512_E_ALNH_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233401_sample_table.txt norm	GSM1233401_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233400 1	Elevated CO2, Ample nitrogen (N) availability, Midnight timepoint, replicate 1	Elevated CO2, Ample nitrogen (N) availability, Midnight timepoint	Elevated_CO2_AMPLE_N_NIGHT_Rep1	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233400 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233400 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233400	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233400_4511_E_EHND_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233400_sample_table.txt norm	GSM1233400_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233399 1	Ambient CO2, Limiting nitrogen (N) availability, Midnight timepoint, replicate 2	Ambient CO2, Limiting nitrogen (N) availability, Midnight timepoint	Ambient_CO2_LIMITING_N_NIGHT_Rep2	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233399 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233399 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233399	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233399_4495_E_A_LN_C_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233399_sample_table.txt norm	GSM1233399_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233398 1	Elevated CO2, Limiting nitrogen (N) availability, Midnight timepoint, replicate 2	Elevated CO2, Limiting nitrogen (N) availability, Midnight timepoint	Elevated_CO2_LIMITING_N_NIGHT_Rep2	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233398 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233398 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233398	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233398_4494_E_E_LN_F_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233398_sample_table.txt norm	GSM1233398_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233397 1	Ambient CO2, Ample nitrogen (N) availability, Midnight timepoint, replicate 1	Ambient CO2, Ample nitrogen (N) availability, Midnight timepoint	Ambient_CO2_AMPLE_N_NIGHT_Rep1	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233397 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233397 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233397	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233397_4493_E_A_HN_D_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233397_sample_table.txt norm	GSM1233397_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233396 1	Elevated CO2, Ample nitrogen (N) availability, Midnight timepoint, replicate 5	Elevated CO2, Ample nitrogen (N) availability, Midnight timepoint	Elevated_CO2_AMPLE_N_NIGHT_Rep5	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233396 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233396 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233396	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233396_4492_E_EHNB_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233396_sample_table.txt norm	GSM1233396_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233395 1	Elevated CO2, Ample nitrogen (N) availability, Midnight timepoint, replicate 4	Elevated CO2, Ample nitrogen (N) availability, Midnight timepoint	Elevated_CO2_AMPLE_N_NIGHT_Rep4	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233395 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233395 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233395	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233395_4491_E_EHNF_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233395_sample_table.txt norm	GSM1233395_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233394 1	Ambient CO2, Ample nitrogen (N) availability, Midnight timepoint, replicate 5	Ambient CO2, Ample nitrogen (N) availability, Midnight timepoint	Ambient_CO2_AMPLE_N_NIGHT_Rep5	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233394 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233394 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233394	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233394_4490_E_AHNC_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233394_sample_table.txt norm	GSM1233394_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233393 1	Elevated CO2, Limiting nitrogen (N) availability, Midnight timepoint, replicate 1	Elevated CO2, Limiting nitrogen (N) availability, Midnight timepoint	Elevated_CO2_LIMITING_N_NIGHT_Rep1	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233393 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233393 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233393	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233393_4471_E_ELNC_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233393_sample_table.txt norm	GSM1233393_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233392 1	Ambient CO2, Limiting nitrogen (N) availability, Midnight timepoint, replicate 1	Ambient CO2, Limiting nitrogen (N) availability, Midnight timepoint	Ambient_CO2_LIMITING_N_NIGHT_Rep1	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233392 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233392 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233392	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233392_4470_E_ALNB_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233392_sample_table.txt norm	GSM1233392_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
