Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [age]	Characteristics [ecotype]	Characteristics [ip antibody]	Characteristics [ip antibody vendor]	Characteristics [molecule subtype]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [variation]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [MOLECULE SUBTYPE]	Term Source REF	Term Accession Number	FactorValue [TREATMENT]	FactorValue [VARIATION]
GSM932749 1	SAMPLE 16	Polysomal RNA_35S:HF-RPL18_cold	Polysomal RNA from 35S:HF-RPL18, cold rep 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932749 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932749 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932749	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932749_04_PWTC4_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932749_sample_table.txt norm	GSM932749_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h cold (4C)	35S:HF-RPL18#12-2-4
GSM932748 1	SAMPLE 15	Polysomal RNA_35S:HF-RPL18_non-stress	Polysomal RNA from 35S:HF-RPL18, non-stress rep 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932748 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932748 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932748	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932748_03_PWTNS4_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932748_sample_table.txt norm	GSM932748_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h non-stress	35S:HF-RPL18#12-2-4
GSM932747 1	SAMPLE 14	Total RNA_35S:HF-RPL18_cold	Total RNA from 35S:HF-RPL18, cold rep 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932747 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932747 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932747	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932747_02_TWTC4_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932747_sample_table.txt norm	GSM932747_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h cold (4C)	35S:HF-RPL18#12-2-4
GSM932746 1	SAMPLE 13	Total RNA_35S:HF-RPL18_non-stress	Total RNA from 35S:HF-RPL18, non-stress rep 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932746 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932746 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932746	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932746_01_TWTNS4_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932746_sample_table.txt norm	GSM932746_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h non-stress	35S:HF-RPL18#12-2-4
GSM932745 1	SAMPLE 12	CSP1_IP_RNA_35S:HF-RPL18_cold	CSP1 immonoprecipitated RNA from 35S:HF-RPL18, cold rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	anti-CSP1	Gencript	CSP1 immonoprecipitated RNA	  	  	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932745 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932745 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932745	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932745_06_JBSPJ_IPWTC3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932745_sample_table.txt norm	GSM932745_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	CSP1 immonoprecipitated RNA	  	  	12h cold (4C)	35S:HF-RPL18#12-2-4
GSM932744 1	SAMPLE 11	CSP1_IP_RNA_35S:HF-RPL18_non-stress	CSP1 immonoprecipitated RNA from 35S:HF-RPL18, non-stress rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	anti-CSP1	Gencript	CSP1 immonoprecipitated RNA	  	  	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932744 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932744 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932744	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932744_05_JBSPJ_IPWTNS3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932744_sample_table.txt norm	GSM932744_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	CSP1 immonoprecipitated RNA	  	  	12h non-stress	35S:HF-RPL18#12-2-4
GSM932743 1	SAMPLE 10	Polysomal RNA_35S:HF-RPL18_cold	Polysomal RNA from 35S:HF-RPL18, cold rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932743 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932743 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932743	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932743_04_JBSPJ_PWTC3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932743_sample_table.txt norm	GSM932743_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h cold (4C)	35S:HF-RPL18#12-2-4
GSM932742 1	SAMPLE 9	Polysomal RNA_35S:HF-RPL18_non-stress	Polysomal RNA from 35S:HF-RPL18, non-stress rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932742 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932742 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932742	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932742_03_JBSPJ_PWTNS3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932742_sample_table.txt norm	GSM932742_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h non-stress	35S:HF-RPL18#12-2-4
GSM932741 1	SAMPLE 8	Total RNA_35S:HF-RPL18_cold	Total RNA from 35S:HF-RPL18, cold rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932741 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932741 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932741	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932741_02_JBSPJ_TWTC3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932741_sample_table.txt norm	GSM932741_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h cold (4C)	35S:HF-RPL18#12-2-4
GSM932740 1	SAMPLE 7	Total RNA_35S:HF-RPL18_non-stress	Total RNA from 35S:HF-RPL18, non-stress rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932740 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932740 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932740	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932740_01_JBSPJ_TWTNS3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932740_sample_table.txt norm	GSM932740_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h non-stress	35S:HF-RPL18#12-2-4
GSM932739 1	SAMPLE 6	CSP1_IP_RNA_35S:HF-RPL18_cold	CSP1 immonoprecipitated RNA from 35S:HF-RPL18, cold rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	anti-CSP1	Gencript	CSP1 immonoprecipitated RNA	  	  	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932739 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932739 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932739	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932739_06_IPWTC1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932739_sample_table.txt norm	GSM932739_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	CSP1 immonoprecipitated RNA	  	  	12h cold (4C)	35S:HF-RPL18#12-2-4
GSM932738 1	SAMPLE 5	CSP1_IP_RNA_35S:HF-RPL18_non-stress	CSP1 immonoprecipitated RNA from 35S:HF-RPL18, non-stress rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	anti-CSP1	Gencript	CSP1 immonoprecipitated RNA	  	  	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932738 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932738 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932738	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932738_05_IPWTNS1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932738_sample_table.txt norm	GSM932738_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	CSP1 immonoprecipitated RNA	  	  	12h non-stress	35S:HF-RPL18#12-2-4
GSM932737 1	SAMPLE 4	Polysomal RNA_35S:HF-RPL18_cold	Polysomal RNA from 35S:HF-RPL18, cold rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932737 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932737 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932737	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932737_04_PWTC1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932737_sample_table.txt norm	GSM932737_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h cold (4C)	35S:HF-RPL18#12-2-4
GSM932736 1	SAMPLE 3	Polysomal RNA_35S:HF-RPL18_non-stress	Polysomal RNA from 35S:HF-RPL18, non-stress rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932736 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932736 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932736	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932736_03_PWTNS1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932736_sample_table.txt norm	GSM932736_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h non-stress	35S:HF-RPL18#12-2-4
GSM932735 1	SAMPLE 2	Total RNA_35S:HF-RPL18_cold	Total RNA from 35S:HF-RPL18, cold rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932735 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932735 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932735	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932735_02_TWTC1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932735_sample_table.txt norm	GSM932735_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h cold (4C)	35S:HF-RPL18#12-2-4
GSM932734 1	SAMPLE 1	Total RNA_35S:HF-RPL18_non-stress	Total RNA from 35S:HF-RPL18, non-stress rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932734 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932734 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932734	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932734_01_TWTNS1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932734_sample_table.txt norm	GSM932734_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h non-stress	35S:HF-RPL18#12-2-4
