Source Name	Characteristics [organism]	Characteristics [ecotype]	Characteristics[age]	Unit[time unit]	Characteristics [organism part]	Characteristics[growth condition]	Comment[growth condition]	Comments[age exp begin]	Comment [date exp begin]	Material Type	Protocol REF	Sample Name	Description	Protocol REF	Parameter Value[RNA quality RIN]	Performer	Extract Name 	Material Type	Protocol REF	Performer	Parameter Value [system used]	Parameter Value [amount of RNA used]	Protocol REF	Parameter Value[system used]	Parameter Value[cDNA MassUnit]	Performer	Labeled Extract Name	Label	Protocol REF 	Parameter Value[hyb temp] 	Parameter Value[hyb duration]	Hybridization Name	Array Design REF 	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF 	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[organism part]	FactorValue [growth condition]
F6H2	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	hypocotyl	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F6H2	FLIGHT TAGES 2B plate6 HYPOCOTYLS Rep2	P-MTAB-28102	RIN	Zupanska A.	F6H2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F6H2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8424_Ferl_Paul_F6H2_(ATH1-121501).CEL	A-AFFY-2	8424_Ferl_Paul_F6H2_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	hypocotyl	spaceflight environment
G2H1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	hypocotyl	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G2H1	GROUND CONTROL TAGES 2B plate2 HYPOCOTYLS Rep1	P-MTAB-28102	RIN	Zupanska A.	G2H1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G2H1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8425_Ferl_Paul_G2H1_(ATH1-121501).CEL	A-AFFY-2	8425_Ferl_Paul_G2H1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	hypocotyl	ground control
G4H1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	hypocotyl	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G4H1	GROUND CONTROL TAGES 2B plate4 HYPOCOTYLS Rep1	P-MTAB-28102	RIN	Zupanska A.	G4H1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G4H1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8426_Ferl_Paul_G4H1_(ATH1-121501).CEL	A-AFFY-2	8426_Ferl_Paul_G4H1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	hypocotyl	ground control
G4H2	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	hypocotyl	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G4H2	GROUND CONTROL TAGES 2B plate4 HYPOCOTYLS Rep2	P-MTAB-28102	RIN	Zupanska A.	G4H2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G4H2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8427_Ferl_Paul_G4H2_(ATH1-121501).CEL	A-AFFY-2	8427_Ferl_Paul_G4H2_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	hypocotyl	ground control
G6H1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	hypocotyl	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G6H1	GROUND CONTROL TAGES 2B plate6 HYPOCOTYLS Rep1	P-MTAB-28102	RIN	Zupanska A.	G6H1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G6H1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8428_Ferl_Paul_G6H1_(ATH1-121501).CEL	A-AFFY-2	8428_Ferl_Paul_G6H1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	hypocotyl	ground control
G6H2	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	hypocotyl	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G6H2	GROUND CONTROL TAGES 2B plate6 HYPOCOTYLS Rep2	P-MTAB-28102	RIN	Zupanska A.	G6H2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G6H2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8429_Ferl_Paul_G6H2_(ATH1-121501).CEL	A-AFFY-2	8429_Ferl_Paul_G6H2_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	hypocotyl	ground control
F2R1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	root	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F2R1	FLIGHT TAGES 2B plate2 ROOTS Rep1	P-MTAB-28102	RIN	Zupanska A.	F2R1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F2R1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8430_Ferl_Paul_F2R1_(ATH1-121501).CEL	A-AFFY-2	8430_Ferl_Paul_F2R1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	root	spaceflight environment
F4R1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	root	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F4R1	FLIGHT TAGES 2B plate4 ROOTS Rep1	P-MTAB-28102	RIN	Zupanska A.	F4R1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F4R1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8431_Ferl_Paul_F4R1_(ATH1-121501).CEL	A-AFFY-2	8431_Ferl_Paul_F4R1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	root	spaceflight environment
F4R2	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	root	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F4R2	FLIGHT TAGES 2B plate4 ROOTS Rep2	P-MTAB-28102	RIN	Zupanska A.	F4R2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F4R2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8432_Ferl_Paul_F4R2_(ATH1-121501).CEL	A-AFFY-2	8432_Ferl_Paul_F4R2_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	root	spaceflight environment
F6R1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	root	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F6R1	FLIGHT TAGES 2B plate6 ROOTS Rep1	P-MTAB-28102	RIN	Zupanska A.	F6R1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F6R1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8433_Ferl_Paul_F6R1_(ATH1-121501).CEL	A-AFFY-2	8433_Ferl_Paul_F6R1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	root	spaceflight environment
F6R2	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	root	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F6R2	FLIGHT TAGES 2B plate6 ROOTS Rep2	P-MTAB-28102	RIN	Zupanska A.	F6R2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F6R2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8434_Ferl_Paul_F6R2_(ATH1-121501).CEL	A-AFFY-2	8434_Ferl_Paul_F6R2_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	root	spaceflight environment
G2R1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	root	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G2R1	GROUND CONTROL TAGES 2B plate2 ROOTS Rep1	P-MTAB-28102	RIN	Zupanska A.	G2R1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G2R1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8437_Ferl_Paul_G2R1_(ATH1-121501).CEL	A-AFFY-2	8437_Ferl_Paul_G2R1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	root	ground control
G4R1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	root	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G4R1	GROUND CONTROL TAGES 2B plate4 ROOTS Rep1	P-MTAB-28102	RIN	Zupanska A.	G4R1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G4R1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8435_Ferl_Paul_G4R1_(ATH1-121501).CEL	A-AFFY-2	8435_Ferl_Paul_G4R1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	root	ground control
G4R2	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	root	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G4R2	GROUND CONTROL TAGES 2B plate4 ROOTS Rep2	P-MTAB-28102	RIN	Zupanska A.	G4R2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G4R2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8436_Ferl_Paul_G4R2_(ATH1-121501).CEL	A-AFFY-2	8436_Ferl_Paul_G4R2_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	root	ground control
G6R1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	root	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G6R1	GROUND CONTROL TAGES 2B plate6 ROOTS Rep1	P-MTAB-28102	RIN	Zupanska A.	G6R1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G6R1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8438_Ferl_Paul_G6R1_(ATH1-121501).CEL	A-AFFY-2	8438_Ferl_Paul_G6R1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	root	ground control
G6R2	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	root	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G6R2	GROUND CONTROL TAGES 2B plate6 ROOTS Rep2	P-MTAB-28102	RIN	Zupanska A.	G6R2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G6R2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8439_Ferl_Paul_G6R2_(ATH1-121501).CEL	A-AFFY-2	8439_Ferl_Paul_G6R2_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	root	ground control
FLTAGES2	Arabidopsis thaliana	Wassilewskija	12	day	whole plant	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	FLTAGES2	FLIGHT TAGES 2B plate2	P-MTAB-28102	RIN	Zupanska A.	FLTAGES2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-28104	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug 	Zhang Y.	FLTAGES2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8311_FLTAGES2_25_Ferl.Paul_(ATH1-121501).CEL	A-AFFY-2	8311_FLTAGES2_25_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28107	Result_TAGES.txt	Result_TAGES.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	whole plant	spaceflight environment
FLTAGES4	Arabidopsis thaliana	Wassilewskija	12	day	whole plant	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	FLTAGES4	FLIGHT TAGES 2B plate4	P-MTAB-28102	RIN	Zupanska A.	FLTAGES4	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-28104	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug 	Zhang Y.	FLTAGES4	biotin	P-MTAB-28105	45 degrees_C	16 hour	8313_FLTAGES4_27_Ferl.Paul_(ATH1-121501).CEL	A-AFFY-2	8313_FLTAGES4_27_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28107	Result_TAGES.txt	Result_TAGES.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	whole plant	spaceflight environment
FLTAGES6	Arabidopsis thaliana	Wassilewskija	12	day	whole plant	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	FLTAGES6	FLIGHT TAGES 2B plate6	P-MTAB-28102	RIN	Zupanska A.	FLTAGES6	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-28104	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug 	Zhang Y.	FLTAGES6	biotin	P-MTAB-28105	45 degrees_C	16 hour	8315_FLTAGES6_29_Ferl.Paul_(ATH1-121501).CEL	A-AFFY-2	8315_FLTAGES6_29_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28107	Result_TAGES.txt	Result_TAGES.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	whole plant	spaceflight environment
GCTAGES2	Arabidopsis thaliana	Wassilewskija	12	day	whole plant	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	GCTAGES2	GROUND CONTROL TAGES 2B plate2	P-MTAB-28102	RIN	Zupanska A.	GCTAGES2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-28104	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug 	Zhang Y.	GCTAGES2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8312_GCTAGES2_26_Ferl.Paul_(ATH1-121501).CEL	A-AFFY-2	8312_GCTAGES2_26_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28107	Result_TAGES.txt	Result_TAGES.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	whole plant	ground control
