Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[infection]	FactorValue[time]	Unit[time unit]
GSE13739GSM345308	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 1d:  Gene expression data from wild type whole mature leaves at 1d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 1d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345308 sample	P-G13739-4	GSE13739GSM345308 extract	total_RNA	P-G13739-3	GSE13739GSM345308 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 1dpi, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345308.CEL	GSM345308.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	1	day
GSE13739GSM345340	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 3d:  Gene expression data from mutant whole mature leaves at 3d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 3d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345340 sample	P-G13739-4	GSE13739GSM345340 extract	total_RNA	P-G13739-3	GSE13739GSM345340 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 3dpi, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345340.CEL	GSM345340.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	3	day
GSE13739GSM345337	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 3d:  Gene expression data from mutant whole mature leaves at 3d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 3d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345337 sample	P-G13739-4	GSE13739GSM345337 extract	total_RNA	P-G13739-3	GSE13739GSM345337 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 3dpi, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345337.CEL	GSM345337.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	3	day
GSE13739GSM345339	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 3d:  Gene expression data from mutant whole mature leaves at 3d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 3d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345339 sample	P-G13739-4	GSE13739GSM345339 extract	total_RNA	P-G13739-3	GSE13739GSM345339 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 3dpi, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345339.CEL	GSM345339.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	3	day
GSE13739GSM345338	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 3d:  Gene expression data from mutant whole mature leaves at 3d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 3d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345338 sample	P-G13739-4	GSE13739GSM345338 extract	total_RNA	P-G13739-3	GSE13739GSM345338 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 3dpi, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345338.CEL	GSM345338.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	3	day
GSE13739GSM345309	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 3d:  Gene expression data from wild type whole mature leaves at 3d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 3d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345309 sample	P-G13739-4	GSE13739GSM345309 extract	total_RNA	P-G13739-3	GSE13739GSM345309 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 3dpi, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345309.CEL	GSM345309.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	3	day
GSE13739GSM345312	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 3d:  Gene expression data from wild type whole mature leaves at 3d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 3d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345312 sample	P-G13739-4	GSE13739GSM345312 extract	total_RNA	P-G13739-3	GSE13739GSM345312 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 3dpi, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345312.CEL	GSM345312.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	3	day
GSE13739GSM345311	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 3d:  Gene expression data from wild type whole mature leaves at 3d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 3d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345311 sample	P-G13739-4	GSE13739GSM345311 extract	total_RNA	P-G13739-3	GSE13739GSM345311 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 3dpi, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345311.CEL	GSM345311.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	3	day
GSE13739GSM345310	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 3d:  Gene expression data from wild type whole mature leaves at 3d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 3d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345310 sample	P-G13739-4	GSE13739GSM345310 extract	total_RNA	P-G13739-3	GSE13739GSM345310 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 3dpi, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345310.CEL	GSM345310.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	3	day
GSE13739GSM345343	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 5d:  Gene expression data from mutant whole mature leaves at 5d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 5d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345343 sample	P-G13739-4	GSE13739GSM345343 extract	total_RNA	P-G13739-3	GSE13739GSM345343 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 5dpi, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345343.CEL	GSM345343.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	5	day
GSE13739GSM345341	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 5d:  Gene expression data from mutant whole mature leaves at 5d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 5d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345341 sample	P-G13739-4	GSE13739GSM345341 extract	total_RNA	P-G13739-3	GSE13739GSM345341 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 5dpi, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345341.CEL	GSM345341.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	5	day
GSE13739GSM345342	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 5d:  Gene expression data from mutant whole mature leaves at 5d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 5d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345342 sample	P-G13739-4	GSE13739GSM345342 extract	total_RNA	P-G13739-3	GSE13739GSM345342 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 5dpi, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345342.CEL	GSM345342.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	5	day
GSE13739GSM345344	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 5d:  Gene expression data from mutant whole mature leaves at 5d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 5d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345344 sample	P-G13739-4	GSE13739GSM345344 extract	total_RNA	P-G13739-3	GSE13739GSM345344 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 5dpi, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345344.CEL	GSM345344.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	5	day
GSE13739GSM345316	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 5d:  Gene expression data from wild type whole mature leaves at 5d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 5d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345316 sample	P-G13739-4	GSE13739GSM345316 extract	total_RNA	P-G13739-3	GSE13739GSM345316 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 5dpi, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345316.CEL	GSM345316.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	5	day
GSE13739GSM345314	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 5d:  Gene expression data from wild type whole mature leaves at 5d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 5d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345314 sample	P-G13739-4	GSE13739GSM345314 extract	total_RNA	P-G13739-3	GSE13739GSM345314 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 5dpi, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345314.CEL	GSM345314.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	5	day
GSE13739GSM345313	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 5d:  Gene expression data from wild type whole mature leaves at 5d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 5d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345313 sample	P-G13739-4	GSE13739GSM345313 extract	total_RNA	P-G13739-3	GSE13739GSM345313 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 5dpi, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345313.CEL	GSM345313.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	5	day
GSE13739GSM345315	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 5d:  Gene expression data from wild type whole mature leaves at 5d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 5d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345315 sample	P-G13739-4	GSE13739GSM345315 extract	total_RNA	P-G13739-3	GSE13739GSM345315 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 5dpi, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345315.CEL	GSM345315.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	5	day
GSE13739GSM345346	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 7d:  Gene expression data from mutant whole mature leaves at 7d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 7d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345346 sample	P-G13739-4	GSE13739GSM345346 extract	total_RNA	P-G13739-3	GSE13739GSM345346 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 7dpi, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345346.CEL	GSM345346.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	7	day
GSE13739GSM345348	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 7d:  Gene expression data from mutant whole mature leaves at 7d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 7d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345348 sample	P-G13739-4	GSE13739GSM345348 extract	total_RNA	P-G13739-3	GSE13739GSM345348 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 7dpi, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345348.CEL	GSM345348.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	7	day
GSE13739GSM345345	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 7d:  Gene expression data from mutant whole mature leaves at 7d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 7d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345345 sample	P-G13739-4	GSE13739GSM345345 extract	total_RNA	P-G13739-3	GSE13739GSM345345 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 7dpi, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345345.CEL	GSM345345.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	7	day
GSE13739GSM345347	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 7d:  Gene expression data from mutant whole mature leaves at 7d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 7d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345347 sample	P-G13739-4	GSE13739GSM345347 extract	total_RNA	P-G13739-3	GSE13739GSM345347 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 7dpi, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345347.CEL	GSM345347.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	7	day
GSE13739GSM345352	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf uninfected 7d:  Gene expression data from 7d uninfected mutant whole mature leaves. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf uninfected 7d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345352 sample	P-G13739-4	GSE13739GSM345352 extract	total_RNA	P-G13739-3	GSE13739GSM345352 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 7d UI, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345352.CEL	GSM345352.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.2.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	none	7	day
GSE13739GSM345351	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf uninfected 7d:  Gene expression data from 7d uninfected mutant whole mature leaves. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf uninfected 7d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345351 sample	P-G13739-4	GSE13739GSM345351 extract	total_RNA	P-G13739-3	GSE13739GSM345351 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 7d UI, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345351.CEL	GSM345351.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.2.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	none	7	day
