Source Name	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Characteristics[days after germination]	Characteristics[genotype]	Characteristics[growth]	Characteristics[GrowthCondition]	Characteristics[minutes after dawn day 4]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [DAYS AFTER GERMINATION]	FactorValue [GENOTYPE]	FactorValue [GROWTH]	FactorValue [LIGHT]	FactorValue [MINUTES AFTER DAWN DAY 4]
GSM540924 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	Re-analysis of GSM159304	K Nozue 07.12.05 20 ATH1.CEL	  	Sample name: A20	"CCA1OX seedlings, dark, 2680 minutes after dawn day 4"	Arabidopsis thaliana	5	CCA1OX	growing	dark	2680	P-GSE21684-2	  	P-GSE21684-3	  	GSM540924 extract 1	total RNA	P-GSE21684-4	  	GSM540924 LE 1	biotin	P-GSE21684-5	  	GSM540924	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540924.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540924_sample_table.txt norm	GSM540924_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	CCA1OX	growing	dark	2680
GSM540923 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 07.12.05 19 ATH1.CEL	Sample name: A19	"CCA1OX seedlings, light, 2520 minutes after dawn day 4"	  	  	Arabidopsis thaliana	5	CCA1OX	not growing	light	2520	P-GSE21684-2	  	P-GSE21684-3	  	GSM540923 extract 1	total RNA	P-GSE21684-4	  	GSM540923 LE 1	biotin	P-GSE21684-5	  	GSM540923	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540923.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540923_sample_table.txt norm	GSM540923_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	CCA1OX	not growing	light	2520
GSM540922 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	Re-analysis of GSM159302	K Nozue 07.12.05 18 ATH1.CEL	  	Sample name: A18	"CCA1OX seedlings, dark, 1720 minutes after dawn day 4"	Arabidopsis thaliana	5	CCA1OX	growing	dark	1720	P-GSE21684-2	  	P-GSE21684-3	  	GSM540922 extract 1	total RNA	P-GSE21684-4	  	GSM540922 LE 1	biotin	P-GSE21684-5	  	GSM540922	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540922.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540922_sample_table.txt norm	GSM540922_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	CCA1OX	growing	dark	1720
GSM540921 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 07.12.05 17 ATH1.CEL	Sample name: A17	"CCA1OX seedlings, light, 1560 minutes after dawn day 4"	  	  	Arabidopsis thaliana	5	CCA1OX	not growing	light	1560	P-GSE21684-2	  	P-GSE21684-3	  	GSM540921 extract 1	total RNA	P-GSE21684-4	  	GSM540921 LE 1	biotin	P-GSE21684-5	  	GSM540921	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540921.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540921_sample_table.txt norm	GSM540921_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	CCA1OX	not growing	light	1560
GSM540920 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	Re-analysis of GSM159301	K Nozue 06.24.05 16 ATH1.CEL	  	Sample name: A16	"CCA1OX seedlings, dark, 1240 minutes after dawn day 4"	Arabidopsis thaliana	4	CCA1OX	growing	dark	1240	P-GSE21684-2	  	P-GSE21684-3	  	GSM540920 extract 1	total RNA	P-GSE21684-4	  	GSM540920 LE 1	biotin	P-GSE21684-5	  	GSM540920	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540920.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540920_sample_table.txt norm	GSM540920_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	CCA1OX	growing	dark	1240
GSM540919 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 06.24.05 15 ATH1.CEL	Sample name: A15	"CCA1OX seedlings, light, 1080 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	CCA1OX	not growing	light	1080	P-GSE21684-2	  	P-GSE21684-3	  	GSM540919 extract 1	total RNA	P-GSE21684-4	  	GSM540919 LE 1	biotin	P-GSE21684-5	  	GSM540919	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540919.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540919_sample_table.txt norm	GSM540919_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	CCA1OX	not growing	light	1080
GSM540918 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	Re-analysis of GSM159300	K Nozue 06.24.05 14 ATH1.CEL	  	Sample name: A14	"CCA1OX seedlings, dark, 280 minutes after dawn day 4"	Arabidopsis thaliana	4	CCA1OX	growing	dark	280	P-GSE21684-2	  	P-GSE21684-3	  	GSM540918 extract 1	total RNA	P-GSE21684-4	  	GSM540918 LE 1	biotin	P-GSE21684-5	  	GSM540918	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540918.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540918_sample_table.txt norm	GSM540918_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	CCA1OX	growing	dark	280
GSM540917 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 06.24.05 13 ATH1.CEL	Sample name: A13	"CCA1OX seedlings, light, 120 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	CCA1OX	not growing	light	120	P-GSE21684-2	  	P-GSE21684-3	  	GSM540917 extract 1	total RNA	P-GSE21684-4	  	GSM540917 LE 1	biotin	P-GSE21684-5	  	GSM540917	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540917.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540917_sample_table.txt norm	GSM540917_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	CCA1OX	not growing	light	120
GSM540916 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	Re-analysis of GSM159299	K Nozue 07.12.05 12 ATH1.CEL	  	Sample name: A12	"Col seedlings, dark, 4120 minutes after dawn day 4"	Arabidopsis thaliana	6	Col	not growing	dark	4120	P-GSE21684-2	  	P-GSE21684-3	  	GSM540916 extract 1	total RNA	P-GSE21684-4	  	GSM540916 LE 1	biotin	P-GSE21684-5	  	GSM540916	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540916.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540916_sample_table.txt norm	GSM540916_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	Col	not growing	dark	4120
GSM540915 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 07.12.05 11 ATH1.CEL	Sample name: A11	"Col seedlings, light, 3960 minutes after dawn day 4"	  	  	Arabidopsis thaliana	6	Col	not growing	light	3960	P-GSE21684-2	  	P-GSE21684-3	  	GSM540915 extract 1	total RNA	P-GSE21684-4	  	GSM540915 LE 1	biotin	P-GSE21684-5	  	GSM540915	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540915.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540915_sample_table.txt norm	GSM540915_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	Col	not growing	light	3960
GSM540914 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	Re-analysis of GSM159298	K Nozue 07.12.05 10 ATH1.CEL	  	Sample name: A10	"Col seedlings, dark, 3160 minutes after dawn day 4"	Arabidopsis thaliana	6	Col	growing	dark	3160	P-GSE21684-2	  	P-GSE21684-3	  	GSM540914 extract 1	total RNA	P-GSE21684-4	  	GSM540914 LE 1	biotin	P-GSE21684-5	  	GSM540914	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540914.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540914_sample_table.txt norm	GSM540914_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	Col	growing	dark	3160
GSM540913 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 07.12.05 09 ATH1.CEL	Sample name: A9	"Col seedlings, light, 3000 minutes after dawn day 4"	  	  	Arabidopsis thaliana	6	Col	not growing	light	3000	P-GSE21684-2	  	P-GSE21684-3	  	GSM540913 extract 1	total RNA	P-GSE21684-4	  	GSM540913 LE 1	biotin	P-GSE21684-5	  	GSM540913	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540913.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540913_sample_table.txt norm	GSM540913_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	Col	not growing	light	3000
GSM540912 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	Re-analysis of GSM159291	K Nozue 07.12.05 08 ATH1.CEL	  	Sample name: A8	"Col seedlings, dark, 2680 minutes after dawn day 4"	Arabidopsis thaliana	5	Col	not growing	dark	2680	P-GSE21684-2	  	P-GSE21684-3	  	GSM540912 extract 1	total RNA	P-GSE21684-4	  	GSM540912 LE 1	biotin	P-GSE21684-5	  	GSM540912	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540912.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540912_sample_table.txt norm	GSM540912_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	Col	not growing	dark	2680
GSM540911 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 07.12.05 07 ATH1.CEL	Sample name: A7	"Col seedlings, light, 2520 minutes after dawn day 4"	  	  	Arabidopsis thaliana	5	Col	not growing	light	2520	P-GSE21684-2	  	P-GSE21684-3	  	GSM540911 extract 1	total RNA	P-GSE21684-4	  	GSM540911 LE 1	biotin	P-GSE21684-5	  	GSM540911	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540911.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540911_sample_table.txt norm	GSM540911_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	Col	not growing	light	2520
GSM540910 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	Re-analysis of GSM159273	K Nozue 07.12.05 06 ATH1.CEL	  	Sample name: A6	"Col seedlings, dark, 1720 minutes after dawn day 4"	Arabidopsis thaliana	5	Col	growing	dark	1720	P-GSE21684-2	  	P-GSE21684-3	  	GSM540910 extract 1	total RNA	P-GSE21684-4	  	GSM540910 LE 1	biotin	P-GSE21684-5	  	GSM540910	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540910.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540910_sample_table.txt norm	GSM540910_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	Col	growing	dark	1720
GSM540909 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 07.12.05 05 ATH1.CEL	Sample name: A5	"Col seedlings, light, 1560 minutes after dawn day 4"	  	  	Arabidopsis thaliana	5	Col	not growing	light	1560	P-GSE21684-2	  	P-GSE21684-3	  	GSM540909 extract 1	total RNA	P-GSE21684-4	  	GSM540909 LE 1	biotin	P-GSE21684-5	  	GSM540909	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540909.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540909_sample_table.txt norm	GSM540909_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	Col	not growing	light	1560
GSM540908 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	Re-analysis of GSM158681	K Nozue 06.24.05 04 ATH1.CEL	  	Sample name: A4	"Col seedlings, dark, 1240 minutes after dawn day 4"	Arabidopsis thaliana	4	Col	not growing	dark	1240	P-GSE21684-2	  	P-GSE21684-3	  	GSM540908 extract 1	total RNA	P-GSE21684-4	  	GSM540908 LE 1	biotin	P-GSE21684-5	  	GSM540908	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540908.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540908_sample_table.txt norm	GSM540908_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	Col	not growing	dark	1240
GSM540907 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 06.24.05 03 ATH1.CEL	Sample name: A3	"Col seedlings, light, 1080 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	Col	not growing	light	1080	P-GSE21684-2	  	P-GSE21684-3	  	GSM540907 extract 1	total RNA	P-GSE21684-4	  	GSM540907 LE 1	biotin	P-GSE21684-5	  	GSM540907	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540907.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540907_sample_table.txt norm	GSM540907_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	Col	not growing	light	1080
GSM540906 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	Re-analysis of GSM158680	K Nozue 06.24.05 02 ATH1.CEL	  	Sample name: A2	"Col seedlings, dark, 280 minutes after dawn day 4"	Arabidopsis thaliana	4	Col	growing	dark	280	P-GSE21684-2	  	P-GSE21684-3	  	GSM540906 extract 1	total RNA	P-GSE21684-4	  	GSM540906 LE 1	biotin	P-GSE21684-5	  	GSM540906	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540906.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540906_sample_table.txt norm	GSM540906_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	Col	growing	dark	280
GSM540905 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 06.24.05 01 ATH1.CEL	Sample name: A1	"Col seedlings, light, 120 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	Col	not growing	light	120	P-GSE21684-2	  	P-GSE21684-3	  	GSM540905 extract 1	total RNA	P-GSE21684-4	  	GSM540905 LE 1	biotin	P-GSE21684-5	  	GSM540905	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540905_sample_table.txt norm	GSM540905_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	Col	not growing	light	120
