Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[Genotype]	Characteristics[OrganismPart]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM PART]	FactorValue[GENOTYPE]
GSE14578GSM362215	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr Control, total mRNA, Shoot total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	7 day old Arabidopsis Seedling shoots, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	p35S:HisFLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362215 sample	P-G14578-8	GSE14578GSM362215 extract	total_RNA	P-G14578-7	GSE14578GSM362215 LE biotin	biotin	synthetic_RNA	shoot_control_total_rep1	A-AFFY-2	P-AFFY-6	GSM362215.CEL	GSM362215.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	shoot	p35S:HisFLAG-RPL18B
GSE14578GSM362221	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr Control, p35S-enriched polysomal mRNA, Shoot polysomal RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	7 day old Arabidopsis Seedling shoots, 2hr Control, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	p35S:HisFLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362221 sample	P-G14578-8	GSE14578GSM362221 extract	total_RNA	P-G14578-7	GSE14578GSM362221 LE biotin	biotin	synthetic_RNA	shoot_control_p35S_rep1	A-AFFY-2	P-AFFY-6	GSM362221.CEL	GSM362221.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	shoot	p35S:HisFLAG-RPL18B
GSE14578GSM362222	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr Control, p35S-enriched polysomal mRNA, Shoot polysomal RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	7 day old Arabidopsis Seedling shoots, 2hr Control, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	p35S:HisFLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362222 sample	P-G14578-8	GSE14578GSM362222 extract	total_RNA	P-G14578-7	GSE14578GSM362222 LE biotin	biotin	synthetic_RNA	shoot_control_p35S_rep2	A-AFFY-2	P-AFFY-6	GSM362222.CEL	GSM362222.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	shoot	p35S:HisFLAG-RPL18B
GSE14578GSM362217	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr Control, total mRNA, Shoot total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	7 day old Arabidopsis Seedling shoots, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	p35S:HisFLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362217 sample	P-G14578-8	GSE14578GSM362217 extract	total_RNA	P-G14578-7	GSE14578GSM362217 LE biotin	biotin	synthetic_RNA	shoot_control_total_rep3	A-AFFY-2	P-AFFY-6	GSM362217.CEL	GSM362217.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	shoot	p35S:HisFLAG-RPL18B
GSE14578GSM362219	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, total mRNA, Shoot total RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	p35S:HisFLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362219 sample	P-G14578-8	GSE14578GSM362219 extract	total_RNA	P-G14578-7	GSE14578GSM362219 LE biotin	biotin	synthetic_RNA	shoot_hypoxia_total_rep2	A-AFFY-2	P-AFFY-6	GSM362219.CEL	GSM362219.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	shoot	p35S:HisFLAG-RPL18B
GSE14578GSM362224	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, p35S-enriched polysomal mRNA, Shoot polysomal RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	p35S:HisFLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362224 sample	P-G14578-8	GSE14578GSM362224 extract	total_RNA	P-G14578-7	GSE14578GSM362224 LE biotin	biotin	synthetic_RNA	shoot_hypoxia_p35S_rep2	A-AFFY-2	P-AFFY-6	GSM362224.CEL	GSM362224.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	shoot	p35S:HisFLAG-RPL18B
GSE14578GSM362223	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, p35S-enriched polysomal mRNA, Shoot polysomal RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	p35S:HisFLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362223 sample	P-G14578-8	GSE14578GSM362223 extract	total_RNA	P-G14578-7	GSE14578GSM362223 LE biotin	biotin	synthetic_RNA	shoot_hypoxia_p35S_rep1	A-AFFY-2	P-AFFY-6	GSM362223.CEL	GSM362223.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	shoot	p35S:HisFLAG-RPL18B
GSE14578GSM362220	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, total mRNA, Shoot total RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	p35S:HisFLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362220 sample	P-G14578-8	GSE14578GSM362220 extract	total_RNA	P-G14578-7	GSE14578GSM362220 LE biotin	biotin	synthetic_RNA	shoot_hypoxia_total_rep3	A-AFFY-2	P-AFFY-6	GSM362220.CEL	GSM362220.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	shoot	p35S:HisFLAG-RPL18B
GSE14578GSM362218	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, total mRNA, Shoot total RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	p35S:HisFLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362218 sample	P-G14578-8	GSE14578GSM362218 extract	total_RNA	P-G14578-7	GSE14578GSM362218 LE biotin	biotin	synthetic_RNA	shoot_hypoxia_total_rep1	A-AFFY-2	P-AFFY-6	GSM362218.CEL	GSM362218.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	shoot	p35S:HisFLAG-RPL18B
GSE14578GSM362239	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr Control, pCER5-enriched polysomal mRNA, Shoot epidermal RNA under control conditions. Age: 7 day old seedlings; Genotype: pCER5:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	7 day old Arabidopsis Seedling shoots, 2hr Control, pCER5-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pCER5:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	pCER5:His6FLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362239 sample	P-G14578-8	GSE14578GSM362239 extract	total_RNA	P-G14578-7	GSE14578GSM362239 LE biotin	biotin	synthetic_RNA	shoot_control_pCER5_rep1	A-AFFY-2	P-AFFY-6	GSM362239.CEL	GSM362239.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	shoot	pCER5:His6FLAG-RPL18B
GSE14578GSM362240	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr Control, pCER5-enriched polysomal mRNA, Shoot epidermal RNA under control conditions. Age: 7 day old seedlings; Genotype: pCER5:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	7 day old Arabidopsis Seedling shoots, 2hr Control, pCER5-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pCER5:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	pCER5:His6FLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362240 sample	P-G14578-8	GSE14578GSM362240 extract	total_RNA	P-G14578-7	GSE14578GSM362240 LE biotin	biotin	synthetic_RNA	shoot_control_pCER5_rep2	A-AFFY-2	P-AFFY-6	GSM362240.CEL	GSM362240.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	shoot	pCER5:His6FLAG-RPL18B
GSE14578GSM362241	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, pCER5-enriched polysomal mRNA, Shoot epidermal RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: pCER5:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, pCER5-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pCER5:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	pCER5:His6FLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362241 sample	P-G14578-8	GSE14578GSM362241 extract	total_RNA	P-G14578-7	GSE14578GSM362241 LE biotin	biotin	synthetic_RNA	shoot_hypoxia_pCER5_rep1	A-AFFY-2	P-AFFY-6	GSM362241.CEL	GSM362241.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	shoot	pCER5:His6FLAG-RPL18B
GSE14578GSM362242	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, pCER5-enriched polysomal mRNA, Shoot epidermal RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: pCER5:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	7 day old Arabidopsis Seedling shoots, 2hr hypoxia, pCER5-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pCER5:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: hypoxia	pCER5:His6FLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362242 sample	P-G14578-8	GSE14578GSM362242 extract	total_RNA	P-G14578-7	GSE14578GSM362242 LE biotin	biotin	synthetic_RNA	shoot_hypoxia_pCER5_rep2	A-AFFY-2	P-AFFY-6	GSM362242.CEL	GSM362242.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	shoot	pCER5:His6FLAG-RPL18B
GSE14578GSM362203	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, pCO2-enriched polysomal mRNA, Root cortex (CO2) RNA under control conditions. Age: 7 day old seedlings; Genotype: pCO2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, pCO2-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pCO2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	pCO2:His6FLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362203 sample	P-G14578-8	GSE14578GSM362203 extract	total_RNA	P-G14578-7	GSE14578GSM362203 LE biotin	biotin	synthetic_RNA	root_control_pCO2_rep1	A-AFFY-2	P-AFFY-6	GSM362203.CEL	GSM362203.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root	pCO2:His6FLAG-RPL18B
GSE14578GSM362204	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, pCO2-enriched polysomal mRNA, Root cortex (CO2) RNA under control conditions. Age: 7 day old seedlings; Genotype: pCO2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, pCO2-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pCO2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	pCO2:His6FLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362204 sample	P-G14578-8	GSE14578GSM362204 extract	total_RNA	P-G14578-7	GSE14578GSM362204 LE biotin	biotin	synthetic_RNA	root_control_pCO2_rep2	A-AFFY-2	P-AFFY-6	GSM362204.CEL	GSM362204.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root	pCO2:His6FLAG-RPL18B
GSE14578GSM362205	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pCO2-enriched polysomal mRNA, Root cortex (CO2) RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: pCO2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pCO2-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pCO2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	pCO2:His6FLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362205 sample	P-G14578-8	GSE14578GSM362205 extract	total_RNA	P-G14578-7	GSE14578GSM362205 LE biotin	biotin	synthetic_RNA	root_hypoxia_pCO2_rep1	A-AFFY-2	P-AFFY-6	GSM362205.CEL	GSM362205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	root	pCO2:His6FLAG-RPL18B
GSE14578GSM362206	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pCO2-enriched polysomal mRNA, Root cortex (CO2) RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: pCO2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pCO2-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pCO2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	pCO2:His6FLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362206 sample	P-G14578-8	GSE14578GSM362206 extract	total_RNA	P-G14578-7	GSE14578GSM362206 LE biotin	biotin	synthetic_RNA	root_hypoxia_pCO2_rep2	A-AFFY-2	P-AFFY-6	GSM362206.CEL	GSM362206.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	root	pCO2:His6FLAG-RPL18B
GSE14578GSM362193	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, pGL2-enriched polysomal mRNA, Root atrichoblast RNA under control conditions. Age: 7 day old seedlings; Genotype: pGL2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, pGL2-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pGL2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	pGL2:His6FLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362193 sample	P-G14578-8	GSE14578GSM362193 extract	total_RNA	P-G14578-7	GSE14578GSM362193 LE biotin	biotin	synthetic_RNA	root_control_pGL2_rep2	A-AFFY-2	P-AFFY-6	GSM362193.CEL	GSM362193.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root	pGL2:His6FLAG-RPL18B
GSE14578GSM362194	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, pGL2-enriched polysomal mRNA, Root atrichoblast RNA under control conditions. Age: 7 day old seedlings; Genotype: pGL2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, pGL2-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pGL2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	pGL2:His6FLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362194 sample	P-G14578-8	GSE14578GSM362194 extract	total_RNA	P-G14578-7	GSE14578GSM362194 LE biotin	biotin	synthetic_RNA	root_control_pGL2_rep3	A-AFFY-2	P-AFFY-6	GSM362194.CEL	GSM362194.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root	pGL2:His6FLAG-RPL18B
GSE14578GSM362192	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, pGL2-enriched polysomal mRNA, Root atrichoblast RNA under control conditions. Age: 7 day old seedlings; Genotype: pGL2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, pGL2-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pGL2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	pGL2:His6FLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362192 sample	P-G14578-8	GSE14578GSM362192 extract	total_RNA	P-G14578-7	GSE14578GSM362192 LE biotin	biotin	synthetic_RNA	root_control_pGL2_rep1	A-AFFY-2	P-AFFY-6	GSM362192.CEL	GSM362192.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root	pGL2:His6FLAG-RPL18B
GSE14578GSM362195	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pGL2-enriched polysomal mRNA, Root atrichoblast RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: pGL2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, pGL2-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: pGL2:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	pGL2:His6FLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362195 sample	P-G14578-8	GSE14578GSM362195 extract	total_RNA	P-G14578-7	GSE14578GSM362195 LE biotin	biotin	synthetic_RNA	root_hypoxia_pGL2_rep1	A-AFFY-2	P-AFFY-6	GSM362195.CEL	GSM362195.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	root	pGL2:His6FLAG-RPL18B
