Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[Ecotype]	Characteristics[CellType]	Characteristics[DevelopmentalStage]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[CELL TYPE]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM PART]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSE10576GSM265418	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 1 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G10576-6	P-G10576-5	GSE10576GSM265418 sample	P-G10576-7	GSE10576GSM265418 extract	total_RNA	P-G10576-3	GSE10576GSM265418 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 1, standard conditions, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 1, standard conditions, rep 1	GSM265418.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	control	root longitudinal zone	n/a	hours
GSE10576GSM265419	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 1 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G10576-6	P-G10576-5	GSE10576GSM265419 sample	P-G10576-7	GSE10576GSM265419 extract	total_RNA	P-G10576-3	GSE10576GSM265419 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 1, standard conditions, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 1, standard conditions, rep 2	GSM265419.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	control	root longitudinal zone	n/a	hours
GSE10576GSM265428	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 2 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10576-6	P-G10576-5	GSE10576GSM265428 sample	P-G10576-7	GSE10576GSM265428 extract	total_RNA	P-G10576-3	GSE10576GSM265428 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 2, -Fe conditions, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 2, -Fe conditions, rep 1	GSM265428.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	root longitudinal zone	24	hours
GSE10576GSM265429	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 2 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10576-6	P-G10576-5	GSE10576GSM265429 sample	P-G10576-7	GSE10576GSM265429 extract	total_RNA	P-G10576-3	GSE10576GSM265429 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 2, -Fe conditions, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 2, -Fe conditions, rep 2	GSM265429.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	root longitudinal zone	24	hours
GSE10576GSM265420	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 2 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G10576-6	P-G10576-5	GSE10576GSM265420 sample	P-G10576-7	GSE10576GSM265420 extract	total_RNA	P-G10576-3	GSE10576GSM265420 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 2, standard conditions, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 2, standard conditions, rep 1	GSM265420.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	control	root longitudinal zone	n/a	hours
GSE10576GSM265421	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 2 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G10576-6	P-G10576-5	GSE10576GSM265421 sample	P-G10576-7	GSE10576GSM265421 extract	total_RNA	P-G10576-3	GSE10576GSM265421 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 2, standard conditions, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 2, standard conditions, rep 2	GSM265421.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	control	root longitudinal zone	n/a	hours
GSE10576GSM265430	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 3 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10576-6	P-G10576-5	GSE10576GSM265430 sample	P-G10576-7	GSE10576GSM265430 extract	total_RNA	P-G10576-3	GSE10576GSM265430 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 3, -Fe conditions, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 3, -Fe conditions, rep 1	GSM265430.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	root longitudinal zone	24	hours
GSE10576GSM265431	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 3 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10576-6	P-G10576-5	GSE10576GSM265431 sample	P-G10576-7	GSE10576GSM265431 extract	total_RNA	P-G10576-3	GSE10576GSM265431 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 3, -Fe conditions, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 3, -Fe conditions, rep 2	GSM265431.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	root longitudinal zone	24	hours
GSE10576GSM265423	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 3 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G10576-6	P-G10576-5	GSE10576GSM265423 sample	P-G10576-7	GSE10576GSM265423 extract	total_RNA	P-G10576-3	GSE10576GSM265423 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 3, standard conditions, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 3, standard conditions, rep 2	GSM265423.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	control	root longitudinal zone	n/a	hours
GSE10576GSM265422	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 3 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G10576-6	P-G10576-5	GSE10576GSM265422 sample	P-G10576-7	GSE10576GSM265422 extract	total_RNA	P-G10576-3	GSE10576GSM265422 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 3, standard conditions, rep1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 3, standard conditions, rep1	GSM265422.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	control	root longitudinal zone	n/a	hours
GSE10576GSM265432	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 4 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10576-6	P-G10576-5	GSE10576GSM265432 sample	P-G10576-7	GSE10576GSM265432 extract	total_RNA	P-G10576-3	GSE10576GSM265432 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 4, -Fe conditions, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 4, -Fe conditions, rep 1	GSM265432.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	root longitudinal zone	24	hours
GSE10576GSM265433	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 4 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10576-6	P-G10576-5	GSE10576GSM265433 sample	P-G10576-7	GSE10576GSM265433 extract	total_RNA	P-G10576-3	GSE10576GSM265433 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 4, -Fe conditions, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 4, -Fe conditions, rep 2	GSM265433.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	root longitudinal zone	24	hours
GSE10576GSM265424	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 4 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G10576-6	P-G10576-5	GSE10576GSM265424 sample	P-G10576-7	GSE10576GSM265424 extract	total_RNA	P-G10576-3	GSE10576GSM265424 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 4, standard conditions, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 4, standard conditions, rep 1	GSM265424.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	control	root longitudinal zone	n/a	hours
GSE10576GSM265425	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 4 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G10576-6	P-G10576-5	GSE10576GSM265425 sample	P-G10576-7	GSE10576GSM265425 extract	total_RNA	P-G10576-3	GSE10576GSM265425 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 4, standard conditions, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 4, standard conditions, rep 2	GSM265425.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	control	root longitudinal zone	n/a	hours
GSE10576GSM265467	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	whole root	Columbia	n/a	seedling	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 12 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 12 hours	P-G10576-8	P-G10576-1	GSE10576GSM265467 sample	P-G10576-10	GSE10576GSM265467 extract	total_RNA	P-G10576-9	GSE10576GSM265467 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 12 hour, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 12 hour, rep 1	GSM265467.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	whole root	12	hours
GSE10576GSM265468	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	whole root	Columbia	n/a	seedling	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 12 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 12 hours	P-G10576-8	P-G10576-1	GSE10576GSM265468 sample	P-G10576-10	GSE10576GSM265468 extract	total_RNA	P-G10576-9	GSE10576GSM265468 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 12 hour, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 12 hour, rep 2	GSM265468.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	whole root	12	hours
GSE10576GSM265469	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	whole root	Columbia	n/a	seedling	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 24 hours	P-G10576-8	P-G10576-1	GSE10576GSM265469 sample	P-G10576-10	GSE10576GSM265469 extract	total_RNA	P-G10576-9	GSE10576GSM265469 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 24 hour, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 24 hour, rep 1	GSM265469.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	whole root	24	hours
GSE10576GSM265470	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	whole root	Columbia	n/a	seedling	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 24 hours	P-G10576-8	P-G10576-1	GSE10576GSM265470 sample	P-G10576-10	GSE10576GSM265470 extract	total_RNA	P-G10576-9	GSE10576GSM265470 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 24 hour, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 24 hour, rep 2	GSM265470.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	whole root	24	hours
GSE10576GSM265463	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	whole root	Columbia	n/a	seedling	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 3 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 3 hours	P-G10576-8	P-G10576-1	GSE10576GSM265463 sample	P-G10576-10	GSE10576GSM265463 extract	total_RNA	P-G10576-9	GSE10576GSM265463 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 3 hour, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 3 hour, rep 1	GSM265463.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	whole root	3	hours
GSE10576GSM265464	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	whole root	Columbia	n/a	seedling	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 3 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 3 hours	P-G10576-8	P-G10576-1	GSE10576GSM265464 sample	P-G10576-10	GSE10576GSM265464 extract	total_RNA	P-G10576-9	GSE10576GSM265464 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 3 hour, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 3 hour, rep 2	GSM265464.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	whole root	3	hours
GSE10576GSM265471	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	whole root	Columbia	n/a	seedling	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 48 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 48 hours	P-G10576-8	P-G10576-1	GSE10576GSM265471 sample	P-G10576-10	GSE10576GSM265471 extract	total_RNA	P-G10576-9	GSE10576GSM265471 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 48 hour, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 48 hour, rep 1	GSM265471.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	whole root	48	hours
GSE10576GSM265472	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	whole root	Columbia	n/a	seedling	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 48 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 48 hours	P-G10576-8	P-G10576-1	GSE10576GSM265472 sample	P-G10576-10	GSE10576GSM265472 extract	total_RNA	P-G10576-9	GSE10576GSM265472 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 48 hour, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 48 hour, rep 2	GSM265472.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	whole root	48	hours
