Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[Genotype]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[ORGANISM PART]
GSE5633GSM131684	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ufo-1	shoot apex, inflorescence (after bolting)	ufo-1:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131684 sample	GSE5633GSM131684 extract	total_RNA	GSE5633GSM131684 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_52_C	A-AFFY-2	P-AFFY-6	ATGE_52_C	GSM131684.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ufo-1	shoot apex, inflorescence (after bolting)
GSE5633GSM131674	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ap2-6	shoot apex, inflorescence (after bolting)	ap2-6:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131674 sample	GSE5633GSM131674 extract	total_RNA	GSE5633GSM131674 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_49_B	A-AFFY-2	P-AFFY-6	ATGE_49_B	GSM131674.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ap2-6	shoot apex, inflorescence (after bolting)
GSE5633GSM131670	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ap1-15	shoot apex, inflorescence (after bolting)	ap1-15:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131670 sample	GSE5633GSM131670 extract	total_RNA	GSE5633GSM131670 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_48_A	A-AFFY-2	P-AFFY-6	ATGE_48_A	GSM131670.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ap1-15	shoot apex, inflorescence (after bolting)
GSE5633GSM131668	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	lfy-12	shoot apex, inflorescence (after bolting)	lfy-12:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131668 sample	GSE5633GSM131668 extract	total_RNA	GSE5633GSM131668 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_47_B	A-AFFY-2	P-AFFY-6	ATGE_47_B	GSM131668.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	lfy-12	shoot apex, inflorescence (after bolting)
GSE5633GSM131657	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	stem, 2nd internode	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: stem, 2nd internode	GSE5633GSM131657 sample	GSE5633GSM131657 extract	total_RNA	GSE5633GSM131657 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_27_C	A-AFFY-2	P-AFFY-6	ATGE_27_C	GSM131657.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	stem, 2nd internode
GSE5633GSM131683	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ufo-1	shoot apex, inflorescence (after bolting)	ufo-1:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131683 sample	GSE5633GSM131683 extract	total_RNA	GSE5633GSM131683 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_52_B	A-AFFY-2	P-AFFY-6	ATGE_52_B	GSM131683.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ufo-1	shoot apex, inflorescence (after bolting)
GSE5633GSM131672	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ap1-15	shoot apex, inflorescence (after bolting)	ap1-15:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131672 sample	GSE5633GSM131672 extract	total_RNA	GSE5633GSM131672 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_48_C	A-AFFY-2	P-AFFY-6	ATGE_48_C	GSM131672.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ap1-15	shoot apex, inflorescence (after bolting)
GSE5633GSM131644	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	hypocotyl	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: hypocotyl	GSE5633GSM131644 sample	GSE5633GSM131644 extract	total_RNA	GSE5633GSM131644 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_2_B	A-AFFY-2	P-AFFY-6	ATGE_2_B	GSM131644.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	hypocotyl
GSE5633GSM131652	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	shoot apex, transition (before bolting)	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, transition (before bolting)	GSE5633GSM131652 sample	GSE5633GSM131652 extract	total_RNA	GSE5633GSM131652 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_8_A	A-AFFY-2	P-AFFY-6	ATGE_8_A	GSM131652.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	shoot apex, transition (before bolting)
GSE5633GSM131659	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	1st node	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: tissue sampled includes part of the stem (approx. 1 mm below and above the branching point), part of the side shoot (approx. 1 mm in length) as well as the base of the 1st cauline leaf. Tissue: 1st node	GSE5633GSM131659 sample	GSE5633GSM131659 extract	total_RNA	GSE5633GSM131659 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_28_B2	A-AFFY-2	P-AFFY-6	ATGE_28_B2	GSM131659.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	1st node
GSE5633GSM131663	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	shoot apex, inflorescence (after bolting)	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: apex + flowers up to stage 7/8. Tissue: shoot apex, inflorescence (after bolting)	GSE5633GSM131663 sample	GSE5633GSM131663 extract	total_RNA	GSE5633GSM131663 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_29_C2	A-AFFY-2	P-AFFY-6	ATGE_29_C2	GSM131663.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	shoot apex, inflorescence (after bolting)
GSE5633GSM131662	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	shoot apex, inflorescence (after bolting)	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: apex + flowers up to stage 7/8. Tissue: shoot apex, inflorescence (after bolting)	GSE5633GSM131662 sample	GSE5633GSM131662 extract	total_RNA	GSE5633GSM131662 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_29_B2	A-AFFY-2	P-AFFY-6	ATGE_29_B2	GSM131662.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	shoot apex, inflorescence (after bolting)
GSE5633GSM131665	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	clv3-7	shoot apex, inflorescence (after bolting)	clv3-7:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131665 sample	GSE5633GSM131665 extract	total_RNA	GSE5633GSM131665 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_46_B	A-AFFY-2	P-AFFY-6	ATGE_46_B	GSM131665.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	clv3-7	shoot apex, inflorescence (after bolting)
