Source Name	Material Type	Characteristics[Organism]	Characteristics[BioSourceType]	Characteristics[DevelopmentalStage]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[GeneticModification]	Characteristics[Genotype]	Characteristics[StrainOrLine]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[COMPOUND]	Factor Value[DOSE]	Unit[ConcentrationUnit]	Factor Value[GENOTYPE]	Factor Value[CHIP-ANTIBODY]
WUS-GR DEX 5 - ChIP-chip	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9910	E_WUS-GR DEX 5 - ChIP-chip	genomic_DNA	P-MTAB-9912	  	L_WUS-GR DEX 5 - ChIP-chip	biotin	  	ArrayExpress	H_WUS-GR DEX 5 - ChIP-chip	A-MEXP-1477	  	ArrayExpress	20070318_ChIP_WUS_GR_DEX_3_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.4.zip	Dexamethasone	4	h	35S::WUS-GR	WUS-AB
WUS-GR DEX 6 - ChIP-chip	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9910	E_WUS-GR DEX 6 - ChIP-chip	genomic_DNA	P-MTAB-9912	  	L_WUS-GR DEX 6 - ChIP-chip	biotin	  	ArrayExpress	H_WUS-GR DEX 6 - ChIP-chip	A-MEXP-1477	  	ArrayExpress	20070318_ChIP_WUS_GR_DEX_3_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.4.zip	Dexamethasone	4	h	35S::WUS-GR	WUS-AB
WUS-GR MOCK 1 - Expression	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9904	E_WUS-GR MOCK 1 - Expression	total_RNA	  	ArrayExpress	L_WUS-GR MOCK 1 - Expression	biotin	  	ArrayExpress	H_WUS-GR MOCK 1 - Expression	A-AFFY-2	  	ArrayExpress	20071220_WUSGR_L2_3_MOCK_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.4.zip	MOCK	4	h	35S::WUS-GR	0
WUS-GR MOCK 2 - Expression	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9904	E_WUS-GR MOCK 2 - Expression	total_RNA	  	ArrayExpress	L_WUS-GR MOCK 2 - Expression	biotin	  	ArrayExpress	H_WUS-GR MOCK 2 - Expression	A-AFFY-2	  	ArrayExpress	20071220_WUSGR_L2_3_MOCK_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.4.zip	MOCK	4	h	35S::WUS-GR	0
wus1 - Expression veg apex 1	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wus	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_wus1 - Expression veg apex 1	total_RNA	  	ArrayExpress	L_wus1 - Expression veg apex 1	biotin	  	ArrayExpress	H_wus1 - Expression veg apex 1	A-AFFY-2	  	ArrayExpress	CHIP_257_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.4.zip	0	0	0	wus	0
wus1 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wus	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_wus1 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_wus1 - Expression veg apex 2	biotin	  	ArrayExpress	H_wus1 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	283_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.4.zip	0	0	0	wus	0
wus2 - Expression veg apex 1	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wus	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_wus2 - Expression veg apex 1	total_RNA	  	ArrayExpress	L_wus2 - Expression veg apex 1	biotin	  	ArrayExpress	H_wus2 - Expression veg apex 1	A-AFFY-2	  	ArrayExpress	CHIP_257_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.4.zip	0	0	0	wus	0
wus2 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wus	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_wus2 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_wus2 - Expression veg apex 2	biotin	  	ArrayExpress	H_wus2 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	283_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.4.zip	0	0	0	wus	0
wus3 - Expression veg apex 1	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wus	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_wus3 - Expression veg apex 1	total_RNA	  	ArrayExpress	L_wus3 - Expression veg apex 1	biotin	  	ArrayExpress	H_wus3 - Expression veg apex 1	A-AFFY-2	  	ArrayExpress	CHIP_257_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.4.zip	0	0	0	wus	0
wus3 - Expression veg apex 2	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wus	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9904	E_wus3 - Expression veg apex 2	total_RNA	  	ArrayExpress	L_wus3 - Expression veg apex 2	biotin	  	ArrayExpress	H_wus3 - Expression veg apex 2	A-AFFY-2	  	ArrayExpress	283_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.4.zip	0	0	0	wus	0
